gene_id	start	end	n_variants
ENSG00000186092.7	65419	71585	0
ENSG00000284733.2	450740	451678	0
ENSG00000284662.2	685716	686654	0
ENSG00000187634.13	923923	944575	59
ENSG00000188976.11	944203	959309	36
ENSG00000187961.15	960584	965719	15
ENSG00000187583.11	966482	975865	21
ENSG00000187642.10	975198	982117	13
ENSG00000188290.11	998962	1000172	3
ENSG00000187608.10	1001138	1014540	37
ENSG00000188157.15	1020120	1056118	91
ENSG00000237330.3	1070967	1074306	8
ENSG00000131591.18	1081818	1116361	78
ENSG00000162571.14	1173880	1197936	63
ENSG00000186891.14	1203508	1206592	6
ENSG00000186827.12	1211326	1214153	4
ENSG00000078808.20	1216931	1232031	27
ENSG00000176022.7	1232237	1235041	7
ENSG00000184163.3	1242446	1246722	8
ENSG00000160087.21	1253909	1273864	28
ENSG00000162572.21	1280436	1292029	21
ENSG00000131584.19	1292390	1309609	30
ENSG00000169972.13	1308597	1311677	5
ENSG00000127054.22	1311585	1324687	20
ENSG00000224051.7	1324756	1328896	13
ENSG00000169962.5	1331280	1335314	9
ENSG00000107404.21	1335276	1349418	30
ENSG00000162576.17	1352689	1361777	29
ENSG00000175756.14	1373730	1375207	2
ENSG00000221978.13	1385711	1399335	19
ENSG00000242485.6	1401909	1407293	4
ENSG00000235098.9	1418420	1421769	5
ENSG00000205116.4	1425871	1430255	13
ENSG00000179403.12	1434861	1442882	13
ENSG00000215915.10	1449689	1470163	16
ENSG00000160072.20	1471765	1497848	21
ENSG00000197785.14	1512162	1534685	20
ENSG00000205090.10	1534778	1540624	8
ENSG00000160075.12	1541673	1574863	75
ENSG00000228594.4	1598012	1600135	1
ENSG00000197530.13	1615454	1630605	9
ENSG00000189409.14	1632163	1635263	0
ENSG00000248333.9	1635225	1659012	7
ENSG00000189339.12	1659529	1692795	41
ENSG00000008128.23	1702379	1724357	19
ENSG00000008130.15	1751232	1780457	69
ENSG00000078369.19	1785285	1892292	143
ENSG00000169885.10	1915108	1917296	6
ENSG00000178821.13	1917590	1919279	5
ENSG00000142609.20	1921951	2003837	130
ENSG00000187730.9	2019329	2030758	16
ENSG00000067606.17	2050411	2185395	96
ENSG00000162585.17	2184461	2212720	13
ENSG00000157933.11	2227388	2310213	110
ENSG00000116151.14	2321253	2391707	127
ENSG00000157916.20	2391775	2405442	18
ENSG00000157911.11	2403964	2413797	18
ENSG00000149527.18	2425980	2505532	116
ENSG00000157881.16	2508537	2526597	30
ENSG00000197921.6	2528745	2530263	4
ENSG00000157873.18	2555639	2565382	14
ENSG00000157870.17	2586491	2591469	4
ENSG00000142606.16	2590639	2633016	72
ENSG00000215912.13	2636986	2801693	31
ENSG00000169717.7	3021467	3022903	0
ENSG00000142611.17	3069168	3438621	802
ENSG00000130762.15	3454665	3481113	47
ENSG00000162591.17	3487951	3611508	175
ENSG00000158109.15	3625015	3630127	9
ENSG00000116213.16	3630767	3652761	15
ENSG00000078900.15	3652516	3736201	89
ENSG00000162592.10	3746460	3771645	50
ENSG00000235169.11	3772749	3775982	8
