isoform_id	A5	A5_genomic_start	A5_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000686149	1	92211554	92213195	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000478079	3	105091314;105102194;105110365	105091609;105102649;105110368	ENSG00000005483	KMT2E	104943993,104946823,104946825,104948471,104948607,104955559,104956193,104959922,104961372,104965663,104969244,104973469,104977439,104980207,104983476,104983478,104985458,104992054,104993292,104993602,104993923,104994744,104996276,104999613,105002811,105003209,105004451,105015728,105019656,105019658,105023812,105042135,105046025,105054880,105055712,105056505,105056984,105058596,105059325,105060297,105061744,105062336,105064525,105065289,105066746,105068124,105069641,105070234,105074487,105083116,105084018,105084077,105085012,105086231,105088534,105089168,105090027,105093063,105094103,105095702,105098384,105100056,105105683,105106760,105109032,105109646
ENST00000544440	1	77242253	77243059	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000226328	1	70789592	70790082	ENSG00000018189	RUFY3	70705911,70706422,70709488,70710249,70710251,70710253,70710255,70710257,70713168,70716465,70719667,70724106,70725528,70730987,70732429,70732449,70734704,70736014,70737311,70737360,70741579,70741979,70745695,70746737,70753814,70756311,70757867,70757980,70757982,70760157,70762720,70762722,70763784,70764323,70766389,70769026,70769966,70771225,70777775,70778101,70778999,70780438,70782781,70783309,70784062,70785705,70788153,70794218,70797359,70798720,70804109,70804519,70804521,70805547,70805700,70808124
ENST00000437179	2	27423641;27484067	27424037;27484079	ENSG00000033867	SLC4A7	27373833,27377537,27383113,27388954,27399255,27408354,27413159,27414342,27414898,27416571,27416573,27418045,27418047,27418115,27419714,27423908,27424511,27425916,27426753,27429134,27430296,27430298,27431169,27432479,27432553,27432666,27443722,27443724,27447410,27447483,27449572,27452736,27452961,27454684,27462970,27468761,27468763,27468843,27471094,27471517,27475877,27476715,27481062
ENST00000515144	1	14465640	14466451	ENSG00000038382	TRIO	14146429,14149136,14150216,14150418,14151050,14151280,14151879,14152276,14153118,14160857,14162857,14163125,14163127,14163669,14164437,14164811,14165317,14165356,14166268,14168608,14169080,14169842,14170441,14171199,14173355,14174204,14175767,14177383,14179581,14180992,14186722,14189610,14190940,14191129,14193115,14194046,14206820,14207575,14208380,14208422,14212007,14214058,14215226,14216085,14216487,14217061,14220646,14226404,14228386,14230478,14233682,14235720,14237458,14238241,14238380,14238536,14238588,14239720,14242986,14249137,14249532,14249756,14249896,14250340,14252945,14253168,14254466,14255501,14259740,14260454,14261971,14262128,14263269,14263736,14263848,14267486,14270123,14274750,14276313,14278294,14278907,14279760,14279762,14283514,14283528,14283649,14287211,14287506,14295004,14295262,14299305,14299337,14301761,14305238,14306614,14307534,14309104,14311044,14312209,14313417,14316767,14321422,14321517,14322380,14324848,14325084,14327789,14328061,14329636,14329831,14330511,14330513,14331744,14331746,14332496,14333725,14335960,14337204,14338472,14343132,14343502,14345239,14347766,14348506,14348582,14348588,14348590,14348617,14348635,14348637,14348699,14348779,14348896,14349058,14349115,14349117,14349991,14350709,14350971,14351626,14355142,14356762,14357143,14357570,14357981,14358749,14363603,14363687,14363831,14365314,14367814,14370034,14374379,14375237,14376429,14376784,14376786,14379540,14380759,14383386,14383388,14385284,14385582,14387050,14387138,14389369,14390727,14390970,14391753,14392620,14393722,14393739,14394976,14396614,14397132,14398313,14399505,14399812,14400422,14401892,14401915,14402468,14405049,14406263,14411162,14411203,14413358,14415996,14418939,14420109,14420631,14422161,14423006,14429405,14430353,14433440,14434964,14434966,14436025,14436711,14437625,14440569,14442155,14442512,14446482,14446603,14446605,14448457,14452088,14452571,14452573,14452678,14457770,14461906,14463263,14463327,14463329,14463875,14467682,14468992,14470613,14472371,14472562,14473893,14474107,14477088,14481288,14482022,14482251,14483718,14486914,14489185,14490560,14490562,14491718,14491898,14493425,14496357,14498082,14499060,14499421,14503020,14505696,14507756,14507758,14510095,14513089,14514437,14515081,14515083,14516925,14518960,14524678,14524703,14526592,14529326
ENST00000409016	1	98555691	98555808	ENSG00000040933	INPP4A	98445467,98446484,98447437,98450155,98451132,98456472,98457042,98457281,98457337,98459554,98461719,98461836,98463832,98464313,98464477,98466200,98466499,98471183,98471185,98471187,98472549,98473786,98475643,98477253,98479451,98483526,98484045,98484474,98485164,98488929,98489878,98494244,98495760,98496734,98500393,98502258,98503545,98507629,98514993,98517405,98520572,98520806,98521193,98531929,98533472,98534607,98535394,98538354,98538356,98538460,98538676,98538678,98539079,98539335,98547404,98548431,98548580,98549016,98550751,98551413,98551507,98551907,98552550,98553774,98553776,98555632,98555783,98555902,98555949,98558039,98559894,98560249,98561742,98562228,98563562,98563902,98563904,98564686,98565038,98565427,98568501,98568759,98568769,98568944,98572878,98573766,98574973,98577133,98577238,98577450,98578967,98580240,98583096,98583712,98583714,98584395,98585591,98586645,98586895,98588111,98589088,98589531,98591283,98593782,98593964,98593966
ENST00000628915	1	135605016	135606676	ENSG00000048991	R3HDM1	135533969,135536884,135538989,135540551,135547263,135548379,135548884,135551197,135555705,135556503,135557971,135559092,135560458,135561584,135563204,135566037,135566649,135578128,135579467,135579469,135580118,135583407,135589884,135592042,135597376,135598135,135601423,135603751,135604750,135605829,135609912,135611536,135614972,135617493,135618641,135622466,135622925,135628475,135629492,135629865,135630145,135631188,135632904,135641310,135641439,135646531,135648484,135648511,135648985,135651493,135653285,135657882,135658858,135660398,135660400,135662453,135665585,135670592,135673147,135697921,135698120,135699333,135701429,135701749,135703173,135703388,135704467,135704469,135704471,135704615,135705242,135709498,135710487,135710524,135712404,135714942,135715043,135717665,135718384,135720253,135720796,135721091
ENST00000344113	1	64048155	64049279	ENSG00000054654	SYNE2	63762724,63762726,63764692,63766055,63767451,63769767,63772123,63772125,63773706,63774802,63776206,63778308,63778659,63780807,63782334,63784066,63784068,63784070,63784072,63787108,63788692,63790200,63795788,63797145,63797798,63797800,63799223,63810300,63811174,63817555,63817683,63822972,63823323,63824750,63827240,63828065,63829765,63830575,63831700,63832587,63836257,63840882,63843958,63844033,63844308,63845885,63851451,63854428,63855494,63856200,63860850,63861033,63861655,63862942,63867017,63868719,63873105,63873340,63873805,63875948,63883881,63886394,63889879,63891933,63892245,63894151,63895523,63897416,63897532,63897955,63904288,63906747,63907131,63907964,63909035,63909939,63910592,63912374,63915989,63918607,63919108,63920983,63925440,63929685,63933068,63934169,63937991,63938925,63938949,63938963,63938971,63938985,63938993,63938995,63941128,63941553,63942640,63943478,63943541,63945517,63945927,63947705,63948223,63957735,63963043,63963045,63963067,63964158,63968530,63968765,63969313,63971256,63971266,63976016,63976018,63976568,63979153,63979364,63979515,63980833,63986244,63992738,63993977,63997277,63997926,64002638,64005125,64007868,64011651,64014413,64014723,64016234,64016874,64017197,64019666,64020417,64021384,64021679,64023877,64026907,64032122,64032154,64039982,64041417,64042023,64044282,64044911,64046497,64048944,64049319,64050401,64053790,64054162,64056532,64063102,64064821,64065242,64065315,64066119,64069255,64072298,64075830,64087024,64089988,64090441,64091816,64091930,64094396,64095214,64095417,64097490,64100022,64102489,64105927,64110996,64112085,64113444,64113532,64116562,64120148,64122967,64125762,64126093,64129573,64130017,64132831,64135986,64137633,64138275,64138388,64140450,64142616,64142877,64142963,64145025,64147270,64147733,64148183,64151395,64151648,64151663,64153525,64153789,64153801,64155090,64155796,64158645,64158727,64160350,64161211,64165346,64168610,64169502,64169989,64170043,64171042,64171065,64171577,64178603,64184809,64186082,64190074,64191797,64194109,64196674,64199245,64201041,64202549,64203472,64208050,64208273,64208275,64208420,64209905,64210309,64210400,64215368,64215370,64216081,64216129,64216131,64217474,64219450,64220625,64223304,64223424,64223545,64224223,64224414,64226111
ENST00000440577	1	20258237	20258243	ENSG00000055917	PUM2	20251024,20252278,20252280,20253826,20257957,20260322,20260925,20262559,20264555,20265354,20265356,20267749,20268684,20268833,20276066,20279798,20280602,20283532,20284345,20284843,20287546,20289242,20289760,20290905,20292120,20294229,20302581,20302583,20302585,20302998,20310483,20311750,20317254,20318381,20318548,20319164,20319217,20322478,20329039,20330348,20332097,20334180,20335068,20338884,20339185,20339235,20339237,20342067,20342202,20346258,20349344,20351625
