isoform_id	EP1-BRN3B-RO	EP1-WT_hRO_2	H9-BRN3B-RO	H9-BRN3B_hRO_2	H9-CRX_hRO_2
ENST00000466213.5	218	99	153	127	161
ENST00000468598.5	380	149	326	215	252
ENST00000470472.5	78	42	78	65	42
ENST00000490668.5	54	16	32	20	12
ENST00000696553.1	487	411	465	264	262
transcript74331.chr1.nnic	378	179	400	165	166
ENST00000272937.10	283	275	124	577	622
ENST00000409160.7	213	118	50	223	275
ENST00000409574.1	0	21	0	34	22
ENST00000426725.3	117	53	90	35	44
ENST00000438436.4	22	3	26	23	22
ENST00000664922.3	5	5	7	7	2
transcript1917.chr2.nnic	11	10	4	14	12
transcript211979.chr2.nnic	293	1196	118	1221	1327
ENST00000402696.9	276	32	119	0	6
ENST00000413699.7	63	27	42	42	40
ENST00000467842.1	910	375	337	14	43
ENST00000474287.5	22	2	7	0	0
ENST00000611050.4	606	247	413	409	424
ENST00000644185.1	96	30	60	55	46
transcript129541.chr3.nnic	12131	979	5519	20	42
transcript22429.chr3.nnic	554	581	479	432	411
transcript22431.chr3.nnic	698	487	677	595	509
ENST00000182527.4	234	53	187	58	71
ENST00000324723.10	2	2	4	2	0
ENST00000369143.2	18	13	25	16	12
ENST00000369162.7	37	24	32	26	20
ENST00000522650.5	6	2	12	15	9
transcript49832.chr6.nnic	38	19	25	2	4
transcript82395.chr6.nic	37	2	69	29	22
ENST00000355968.10	158	69	124	43	31
ENST00000468812.6	147	78	111	157	143
ENST00000489459.5	45	36	45	47	39
ENST00000620047.5	64	117	18	35	34
ENST00000678643.1	30	13	13	12	21
transcript40735.chr7.nnic	43	26	18	10	14
transcript42834.chr7.nnic	33	15	30	14	9
ENST00000265770.11	200	214	166	447	283
ENST00000350889.9	23	24	12	35	30
transcript10065.chr8.nic	30	40	34	38	21
transcript10317.chr8.nnic	83	132	64	116	83
ENST00000368778.7	4	1	1	2	2
ENST00000368797.10	365	87	381	100	97
ENST00000429642.2	2	2	7	5	5
ENST00000470483.1	16	57	31	17	24
ENST00000491735.1	4	10	5	5	4
transcript1239.chr10.nnic	268	154	164	186	163
transcript125394.chr10.nnic	12	11	14	5	4
transcript125395.chr10.nic	32	11	18	5	11
transcript125450.chr10.nic	31	13	19	9	9
transcript125454.chr10.nic	3	33	7	6	3
transcript1290.chr10.nnic	197	46	142	132	110
ENST00000265909.9	124	84	128	57	36
ENST00000533214.1	17	13	22	8	6
transcript146838.chr11.nnic	3	7	4	1	8
transcript146860.chr11.nnic	12	2	6	2	0
transcript146888.chr11.nic	6	5	2	3	2
transcript146914.chr11.nnic	23	4	33	18	17
transcript146994.chr11.nnic	16	7	18	6	11
transcript147012.chr11.nic	21	9	31	2	8
ENST00000188376.9	51	22	35	37	29
ENST00000396076.5	893	749	851	968	802
ENST00000470985.3	584	801	469	660	512
ENST00000545584.2	18	2	29	15	8
ENST00000545942.6	90	29	81	28	23
ENST00000549338.5	1631	861	1547	1599	1202
ENST00000551123.5	332	491	333	428	367
ENST00000644132.1	19	15	8	13	5
ENST00000644801.1	8	9	8	3	5
ENST00000645022.1	157	22	107	71	73
ENST00000647112.1	316	374	334	374	327
transcript10247.chr12.nic	79	4	107	44	28
ENST00000267970.9	123	53	92	41	43
ENST00000424443.7	745	569	743	515	447
ENST00000560715.5	44	36	35	28	29
ENST00000561277.5	144	82	152	99	102
transcript76019.chr15.nnic	760	237	731	382	331
transcript76186.chr15.nnic	99	33	82	27	27
ENST00000590421.2	17	2	44	50	42
ENST00000591313.7	96	55	70	59	42
ENST00000592377.1	23	79	28	97	97
transcript115601.chr17.nnic	29	20	24	29	33
ENST00000443185.7	100	57	117	95	109
ENST00000543743.1	36	95	36	65	59
ENST00000617840.1	10	16	13	11	4
