#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000624927.3	677	48	0.37046	6.50592746734619	1	0.0180749	noncoding
ENST00000445118.7	6616	103	0.27739	5.326461601257324	1	0.301246	noncoding
ENST00000669922.1	5441	123	0.30121	10.227409553527831	1	0.173209	noncoding
ENST00000610067.7	2065	57	0.28883000000000003	7.634522438049316	1	0.0205926	noncoding
ENST00000659124.2	5333	92	0.30457	5.298724174499512	1	0.184308	noncoding
BambuTx1	5121	103	0.27587	5.326461601257324	1	0.30438	noncoding
ENST00000667414.1	1752	64	0.36072000000000004	4.167116737365721	1	0.112542	noncoding
ENST00000666741.2	5486	125	0.28063000000000005	6.563619041442871	1	0.328418	noncoding
ENST00000416570.6	2381	59	0.3432	7.897651100158692	1	0.0249367	noncoding
ENST00000691316.1	3092	125	0.29196	6.563619041442871	1	0.338878	noncoding
ENST00000670824.1	2495	123	0.30197	10.227409553527831	1	0.174719	noncoding
ENST00000428771.6	1040	248	0.38166	11.277341651916505	1	0.988662	coding
ENST00000304952.11	885	222	0.38166	11.114494514465331	1	0.972887	coding
ENST00000481869.1	1038	140	0.38619	11.386099815368652	1	0.574428	coding
ENST00000484667.2	667	190	0.40831	10.988652229309082	1	0.962297	coding
ENST00000379370.7	7326	2046	0.37862	6.018078422546386	1	1	coding
ENST00000620552.4	7394	2069	0.37862	6.00523281097412	1	1	coding
ENST00000651234.1	7477	1964	0.37367	6.143806266784667	1	1	coding
ENST00000652369.1	7408	1941	0.37862	6.163017845153808	1	1	coding
ENST00000461111.1	3385	216	0.30955	8.762816810607909	1	0.907668	coding
ENST00000379339.5	2429	381	0.35573999999999995	10.071073722839355	1	0.999944	coding
ENST00000465822.5	1933	186	0.31809	9.666985893249514	1	0.730378	coding
ENST00000421241.7	1832	199	0.36376	9.953612327575684	1	0.938846	coding
ENST00000379325.7	2010	190	0.30528	9.49472637176514	1	0.700508	coding
ENST00000487177.5	3315	156	0.2545	10.041740608215331	1	0.224896	noncoding
ENST00000477196.5	3214	255	0.27673	11.331366157531736	1	0.612579	coding
ENST00000482816.5	982	190	0.35085	9.49472637176514	1	0.899659	coding
ENST00000472741.5	661	84	0.24705000000000002	11.6381067276001	1	0.073385	noncoding
ENST00000480643.1	579	50	0.36376	11.999967765808105	1	0.0278148	noncoding
ENST00000360001.12	1933	363	0.49151	4.758412742614746	1	1	coding
ENST00000263741.12	2079	349	0.45797	4.988838005065917	1	1	coding
ENST00000494748.1	3516	131	0.33101	4.316375923156738	1	0.826597	coding
ENST00000478938.1	2591	176	0.39291000000000004	4.501557350158691	1	0.995845	coding
ENST00000470030.6	2369	252	0.45408999999999994	7.153437232971191	1	0.999935	coding
ENST00000540437.5	2629	607	0.43943000000000004	8.09099178314209	1	1	coding
ENST00000545578.5	2263	572	0.42819	8.134894752502444	1	1	coding
ENST00000497304.6	932	103	0.4288	10.884858131408691	1	0.460172	noncoding
ENST00000435064.6	2114	601	0.41794	8.27479114532471	1	1	coding
ENST00000462432.5	2863	323	0.39213000000000003	9.383389472961426	1	0.999957	coding
ENST00000478641.5	3079	126	0.29612000000000005	10.583468437194824	1	0.167533	noncoding
ENST00000429572.5	1104	290	0.3765	8.841983985900882	1	0.999713	coding
ENST00000496353.1	2428	208	0.28308	9.730616188049318	1	0.660544	coding
ENST00000474033.5	1171	61	0.3202900000000001	9.302675056457517	1	0.0290844	noncoding
ENST00000342753.8	2231	342	0.40895000000000004	6.462843513488769	1	1	coding
ENST00000309212.11	2293	443	0.42212000000000005	6.746299552917481	1	1	coding
ENST00000445648.5	2001	451	0.42627999999999994	6.422942543029785	1	1	coding
ENST00000477278.3	2728	434	0.3956799999999999	6.62261791229248	1	1	coding
ENST00000476718.1	1001	77	0.42529	7.6640218734741214	1	0.141167	noncoding
ENST00000464351.1	405	0	0.38190999999999997	0.0	-1	1.15804e-05	noncoding
ENST00000480479.5	2792	142	0.35019000000000006	6.8254194259643555	1	0.704567	coding
ENST00000400809.8	3112	521	0.32084999999999997	10.268991661071777	1	0.999992	coding
ENST00000463260.5	1941	60	0.30091	10.710729026794432	1	0.0340554	noncoding
ENST00000496007.5	4452	227	0.29576	9.14453411102295	1	0.880275	coding
BambuTx4	4253	299	0.32445999999999997	10.787059593200684	1	0.984443	coding
ENST00000481223.6	2815	299	0.36865	10.787059593200684	1	0.998338	coding
ENST00000492998.5	745	142	0.45883999999999997	6.8254194259643555	1	0.938321	coding
BambuTx823	2317	112	0.32883	8.931852912902833	1	0.192425	noncoding
ENST00000537107.6	2024	400	0.41057	6.094242668151854	1	1	coding
ENST00000520296.5	1632	88	0.32247000000000003	8.953901100158692	1	0.0768122	noncoding
