isoform_id	OTHER	SP_Sec_SPI	CS_Position	aa_removed	transcriptClevageAfter	genomicClevageAfter	has_signal_peptide
BambuTx35	3.05e-4	0.999663	CS pos: 16-17. Pr: 0.9719	16	120	157993724	yes
ENST00000039989.9	0.350325	0.649664	CS pos: 38-39. Pr: 0.3324	38	149	43359068	yes
ENST00000072516.7	0.00451	0.995469	CS pos: 20-21. Pr: 0.8945	20	230	190564349	yes
ENST00000166244.8	7.53e-4	0.999227	CS pos: 27-28. Pr: 0.9569	27	228	22563716	yes
ENST00000166534.8	1.84e-4	0.999808	CS pos: 21-22. Pr: 0.9774	21	285	132218564	yes
ENST00000178638.8	2.21e-4	0.999739	CS pos: 29-30. Pr: 0.5854	29	213	63375677	yes
ENST00000193322.8	0.002317	0.997663	CS pos: 31-32. Pr: 0.9579	31	183	108074559	yes
ENST00000200181.8	2.17e-4	0.999756	CS pos: 27-28. Pr: 0.9766	27	245	75727196	yes
ENST00000212355.9	2.33e-4	0.999756	CS pos: 20-21. Pr: 0.9539	20	447	91861472	yes
ENST00000215912.10	2.2e-4	0.999735	CS pos: 19-20. Pr: 0.9800	19	201	31292288	yes
ENST00000216658.9	2.99e-4	0.9997	CS pos: 18-19. Pr: 0.9335	18	73	73239832	yes
ENST00000216877.10	2.3e-4	0.999733	CS pos: 19-20. Pr: 0.9761	19	457	2964334	yes
ENST00000217961.5	2.42e-4	0.999723	CS pos: 23-24. Pr: 0.9654	23	289	7253253	yes
ENST00000219454.10	0.001073	0.998904	CS pos: 31-32. Pr: 0.9683	31	187	84295064	yes
ENST00000220809.9	2.89e-4	0.999701	CS pos: 22-23. Pr: 0.9697	22	164	42193120	yes
ENST00000222399.11	2.03e-4	0.999763	CS pos: 21-22. Pr: 0.9643	21	200	108001708	yes
ENST00000223061.6	0.002237	0.997708	CS pos: 25-26. Pr: 0.9424	25	169	100602531	yes
ENST00000227266.10	2.01e-4	0.999793	CS pos: 24-25. Pr: 0.9359	24	136	88337601	yes
ENST00000230418.8	3.88e-4	0.999602	CS pos: 30-31. Pr: 0.9594	30	237	43128987	yes
ENST00000230419.9	3.88e-4	0.999602	CS pos: 30-31. Pr: 0.9594	30	265	43128987	yes
ENST00000231004.5	1.94e-4	0.999784	CS pos: 21-22. Pr: 0.9706	21	337	122077923	yes
ENST00000231188.9	0.002835	0.997104	CS pos: 29-30. Pr: 0.8811	29	266	178994858	yes
ENST00000231338.7	2.01e-4	0.999762	CS pos: 22-23. Pr: 0.9800	22	154	34043060	yes
ENST00000233092.10	0.169681	0.830312	CS pos: 23-24. Pr: 0.7810	23	145	178478431	yes
ENST00000233156.9	2.74e-4	0.99969	CS pos: 28-29. Pr: 0.9758	28	322	187503685	yes
ENST00000237623.11	1.96e-4	0.999789	CS pos: 16-17. Pr: 0.9773	16	196	87976943	yes
ENST00000237696.10	0.359054	0.640936	CS pos: 38-39. Pr: 0.4305	38	156	158732302	yes
ENST00000240093.8	4.35e-4	0.999546	CS pos: 22-23. Pr: 0.9529	22	588	28503079	yes
ENST00000241069.11	3.76e-4	0.999608	CS pos: 31-32. Pr: 0.9714	31	200	100894140	yes
ENST00000242208.5	2.81e-4	0.999709	CS pos: 20-21. Pr: 0.9731	20	289	41700315	yes
ENST00000243786.3	4.72e-4	0.999513	CS pos: 18-19. Pr: 0.9617	18	119	219572428	yes
ENST00000244763.9	0.191198	0.808768	CS pos: 21-22. Pr: 0.7754	21	142	7313058	yes
ENST00000247933.9	2.82e-4	0.999707	CS pos: 26-27. Pr: 0.9575	26	166	987162	yes
ENST00000248484.9	2.36e-4	0.999732	CS pos: 29-30. Pr: 0.9787	29	558	23593362	yes
ENST00000249377.4	2.39e-4	0.999722	CS pos: 15-16. Pr: 0.9739	15	326	102933958	yes
ENST00000252034.12	2.85e-4	0.999684	CS pos: 26-27. Pr: 0.9718	26	93	74028265	yes
ENST00000252483.10	3.04e-4	0.999654	CS pos: 31-32. Pr: 0.9704	31	322	44865275	yes
ENST00000252485.8	3.04e-4	0.999654	CS pos: 31-32. Pr: 0.9704	31	444	44865275	yes
ENST00000252599.9	4.19e-4	0.999544	CS pos: 36-37. Pr: 0.8886	36	173	17555821	yes
ENST00000254351.9	2.31e-4	0.999744	CS pos: 22-23. Pr: 0.9772	22	329	20224802	yes
ENST00000254898.7	1.85e-4	0.999779	CS pos: 23-24. Pr: 0.9795	23	319	97888169	yes
ENST00000257261.10	0.227766	0.772207	CS pos: 28-29. Pr: 0.5932	28	114	61816369	yes
ENST00000257414.12	2.2e-4	0.999757	CS pos: 18-19. Pr: 0.9786	18	303	116504891	yes
ENST00000257879.11	0.418237	0.581765	CS pos: 33-34. Pr: 0.5494	33	321	55707584	yes
ENST00000257966.13	0.002135	0.997846	CS pos: 27-28. Pr: 0.9131	27	402	57694242	yes
ENST00000259053.6	2.02e-4	0.999783	CS pos: 22-23. Pr: 0.8383	22	76	159798133	yes
ENST00000260128.8	0.176864	0.823112	CS pos: 22-23. Pr: 0.7471	22	783	69564041	yes
ENST00000260408.8	2.56e-4	0.999744	CS pos: 19-20. Pr: 0.6811	19	230	58717726	yes
ENST00000261292.9	2.67e-4	0.99971	CS pos: 20-21. Pr: 0.9641	20	312	49562368	yes
ENST00000261336.7	3.75e-4	0.999594	CS pos: 23-24. Pr: 0.6989	23	123	9208273	yes
ENST00000261735.4	2.68e-4	0.999687	CS pos: 32-33. Pr: 0.9449	32	136	112013561	yes
ENST00000261799.9	2.25e-4	0.999773	CS pos: 32-33. Pr: 0.9761	32	551	150135823	yes
ENST00000261862.8	4.23e-4	0.999572	CS pos: 25-26. Pr: 0.9805	25	382	71154908	yes
ENST00000261908.11	0.009011	0.990971	CS pos: 33-34. Pr: 0.8919	33	312	73052774	yes
ENST00000261947.4	5.95e-4	0.999375	CS pos: 27-28. Pr: 0.9473	27	480	180071622	yes
ENST00000261978.9	0.050782	0.949197	CS pos: 35-36. Pr: 0.8363	35	398	74611840	yes
ENST00000262288.8	2.9e-4	0.999722	CS pos: 26-27. Pr: 0.9579	26	107	56981083	yes
ENST00000262464.9	8.35e-4	0.999114	CS pos: 28-29. Pr: 0.9515	28	726	128537520	yes
ENST00000262607.3	0.001939	0.998035	CS pos: 29-30. Pr: 0.8942	29	299	17209591	yes
ENST00000262631.11	0.003442	0.99654	CS pos: 19-20. Pr: 0.7569	19	408	35032544	yes
ENST00000262722.11	2.67e-4	0.999678	CS pos: 29-30. Pr: 0.9728	29	190	45518689	yes
ENST00000262738.9	0.09366	0.90632	CS pos: 25-26. Pr: 0.7982	25	525	46537096	yes
ENST00000262768.11	1.97e-4	0.99979	CS pos: 26-27. Pr: 0.9748	26	377	78925011	yes
ENST00000263512.5	0.07334	0.926643	CS pos: 44-45. Pr: 0.7870	44	658	154488809	yes
ENST00000263574.9	3.16e-4	0.999652	CS pos: 31-32. Pr: 0.7075	31	165	130070070	yes
ENST00000263741.12	0.010506	0.989476	CS pos: 36-37. Pr: 0.9334	36	401	1228686	yes
