isoform_id	A3	A3_genomic_start	A3_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000002501	1	90008924	90009004	ENSG00000003249	DBNDD1	90006619,90009716,90010190,90010865,90011007,90013445,90013940,90015393,90015558,90015560,90015707,90015709,90018800
ENST00000474154	1	37243863	37243911	ENSG00000003509	NDUFAF7	37233295,37241073,37247274,37248075,37252366,37253252
ENST00000266022	1	49967198	49967470	ENSG00000004534	RBM6	49941030,49942749,49942751,49942761,49945322,49945750,49946000,49947781,49950623,49952644,49960109,49967999,49968854,49970220,49971134,49972383,49973273,49973275,49975593,49975683,49977641,49978369,49979015,49979353,49983335,49984165,49986930,49988692,49990137,49990468,49990470,49991813,49996361,49997665,49997868,49999496,50006620,50007609,50010505,50016186,50017830,50018497,50018736,50021239,50026524,50027142,50031274,50031870,50031919,50032853,50037269,50040081,50040360,50040541,50043445,50048402,50050909,50051208,50051845,50055908,50058112,50060983,50061668,50063471,50064485,50065504,50065651,50068519,50069560,50069562,50072459,50073838,50079255,50080257,50080365,50080440,50082516,50086670,50087845,50094624,50099299,50099445,50099447
ENST00000599848	1	18859383	18860321	ENSG00000005007	UPF1	18833180,18833517,18833811,18837839,18840239,18844983,18845559,18846589,18847848,18847850,18849084,18852084,18853262,18853740,18856171,18856988,18857791,18858581,18860943,18861020,18862170,18863567,18863856,18863858,18864512,18867995
ENST00000262803	1	18859383	18860321	ENSG00000005007	UPF1	18833180,18833517,18833811,18837839,18840239,18844983,18845559,18846589,18847848,18847850,18849084,18852084,18853262,18853740,18856171,18856988,18857791,18858581,18860943,18861020,18862170,18863567,18863856,18863858,18864512,18867995
ENST00000265717	3	107145761;107153072;107156709	107146308;107153177;107156984	ENSG00000005249	PRKAR2B	107045147,107046279,107046281,107046283,107046659,107048520,107049263,107055278,107057269,107062484,107063947,107069334,107076123,107078515,107079502,107083992,107087694,107089607,107091585,107092965,107093977,107098317,107098319,107099627,107103512,107104176,107113768,107117198,107118599,107119866,107121269,107121402,107124562,107127623,107130086,107131156,107131895,107133950,107137062,107137589,107141107,107142589,107145012,107147770,107149114,107149934,107153588,107153826,107155060,107155798,107156151,107156229,107159487,107159576
ENST00000706592	1	107156709	107156984	ENSG00000005249	PRKAR2B	107045147,107046279,107046281,107046283,107046659,107048520,107049263,107055278,107057269,107062484,107063947,107069334,107076123,107078515,107079502,107083992,107087694,107089607,107091585,107092965,107093977,107098317,107098319,107099627,107103512,107104176,107113768,107117198,107118599,107119866,107121269,107121402,107124562,107127623,107130086,107131156,107131895,107133950,107137062,107137589,107141107,107142589,107145012,107147770,107149114,107149934,107153588,107153826,107155060,107155798,107156151,107156229,107159487,107159576
ENST00000706580	2	107145761;107153072	107146308;107153177	ENSG00000005249	PRKAR2B	107045147,107046279,107046281,107046283,107046659,107048520,107049263,107055278,107057269,107062484,107063947,107069334,107076123,107078515,107079502,107083992,107087694,107089607,107091585,107092965,107093977,107098317,107098319,107099627,107103512,107104176,107113768,107117198,107118599,107119866,107121269,107121402,107124562,107127623,107130086,107131156,107131895,107133950,107137062,107137589,107141107,107142589,107145012,107147770,107149114,107149934,107153588,107153826,107155060,107155798,107156151,107156229,107159487,107159576
ENST00000647869	1	11765467	11765470	ENSG00000005302	MSL3	11766698,11770688,11771880,11773086,11773729
ENST00000348227	2	74422120;74423191	74422153;74423319	ENSG00000005448	WDR54	74423355
ENST00000683823	2	77165391;77243951	77166302;77244929	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000682321	3	77118495;77165391;77243951	77118519;77166302;77244929	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000357337	2	77165391;77243951	77166302;77244929	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000413643	1	87900221	87900282	ENSG00000006634	DBF4	87878609,87879821,87882278,87886127,87890400,87890785,87891499,87895651,87896378,87897465,87899041,87899776,87902874,87903619
ENST00000265755	1	74515345	74515441	ENSG00000006704	GTF2IRD1	74457929,74461247,74461723,74466296,74467089,74467645,74467970,74467972,74467974,74472061,74473408,74475745,74478075,74479324,74481763,74483139,74483578,74487193,74489313,74491570,74491794,74492603,74493431,74493863,74495606,74496037,74496071,74496073,74496085,74496087,74496089,74496113,74496127,74496129,74496176,74496217,74496229,74496263,74496297,74496321,74496333,74496343,74496359,74496404,74496426,74496456,74496528,74496577,74496603,74496631,74496667,74496669,74496671,74499631,74499633,74500110,74500683,74504125,74505797,74510917,74517564,74517748,74519498,74519771,74520199,74525624,74526595,74526608,74533125,74533279,74533440,74534968,74535001,74535549,74535578,74537123,74537440,74537461,74537480,74537500,74542806,74542968,74544544,74544546,74544699,74550066,74551983,74557450,74560352,74568118,74568714,74571272,74573779,74574128,74576950,74578135,74579270,74583613,74585256,74586129,74586131,74586133,74586265,74587644,74588006,74588438,74595585,74597490,74599319,74599446
ENST00000338034	1	13000274	13000897	ENSG00000006744	ELAC2	12997005,12997607,12998563,12999295,13001992,13005505,13007781,13014977,13016094,13017080
ENST00000505450	1	15971082	15971945	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000539194	1	15971082	15971945	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000447510	1	15971082	15971945	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000508167	1	15971082	15971945	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000540805	1	15971082	15971945	ENSG00000007062	PROM1	15963856,15963899,15968428,15968732,15969995,15970637,15971794,15973479,15978600,15979115,15979117,15979313,15979370,15981699,15983577,15983708,15984993,15989931,15990537,15994197,15994910,15996140,15999537,16002083,16003100,16007234,16009397,16011526,16011592,16011679,16013781,16013812,16017177,16018235,16018284,16019123,16019405,16020708,16021038,16021693,16022739,16023200,16023419,16023904,16025627,16025629,16025694,16029825,16030477,16030696,16031754,16032553,16032953,16034642,16034644,16035803,16040805,16041634,16041963,16042385,16043445,16044036,16044699,16045301,16045679,16045782,16046677,16047349,16050776,16053097,16053110,16053142,16055131,16056691,16058515,16059573,16060045,16060588,16065199,16065255,16066740,16066800,16073322,16074295,16078338,16081113,16082981,16083037
ENST00000007264	1	787744	787981	ENSG00000007376	RPUSD1	785120
ENST00000629543	1	190570	190595	ENSG00000007392	LUC7L	191004,191448,191469,192436,195288,204106,204108,205174,206769,209358,209852,210155,212161,212332,213638,215671,222255,223027,224792,225354,227075,227077,227079,227081,227083
ENST00000293872	1	190570	190595	ENSG00000007392	LUC7L	191004,191448,191469,192436,195288,204106,204108,205174,206769,209358,209852,210155,212161,212332,213638,215671,222255,223027,224792,225354,227075,227077,227079,227081,227083
ENST00000426824	1	1343344	1343393	ENSG00000007516	BAIAP3	1336735,1337122,1340436,1340577,1340605,1340656,1340704,1341311,1341883,1343468,1348462
ENST00000567203	1	1343344	1343393	ENSG00000007516	BAIAP3	1336735,1337122,1340436,1340577,1340605,1340656,1340704,1341311,1341883,1343468,1348462
ENST00000417368	1	122098866	122098896	ENSG00000008311	AASS	122065827,122066523,122067667,122070511,122074100,122074686,122080693,122083524,122084538,122084554,122095065,122095067,122104877,122105595,122107110,122107435,122107664,122109494,122111193,122113448,122113630,122114708,122115476,122115715,122116003,122116005,122116063,122116226,122118708,122118735,122119981,122123953,122125067,122130487,122134816,122136142,122136440,122136442,122137063,122139768,122142495,122142497
ENST00000396210	1	16362568	16363795	ENSG00000008394	MGST1	16347740,16348482,16349021,16355557,16355733,16357404,16357406,16357423,16358999,16359336,16359724,16361009,16361862,16365614,16365718,16365726,16366610,16366612,16367412,16369290,16371921,16375025,16377611,16381039,16385427,16387174,16387216,16391408,16392404,16395916,16398691,16400154,16403158,16404100,16407605,16407607,16407609,16408166,16409455,16409457,16411205,16413338,16415423,16416222,16416934,16420499,16422020,16424368,16425703,16426600,16431147,16431749,16436787,16438773,16439637,16440206,16442525,16443664,16444728,16445656,16448809,16457110,16459835,16465052,16467193,16468951,16469159,16474808,16477404,16477761,16479678,16481356,16483391,16483680,16485737,16489862,16490992,16494297,16494633,16496051,16496536,16498326,16498773,16499901,16501258,16502551,16509488,16512102,16513900,16514007,16514436,16525609,16526483,16527209,16527784,16531592,16531838,16534050,16534052,16535561,16535595,16537884,16540799,16543153,16546900,16547794,16547926,16549444,16549446,16551535,16551537,16553330,16555764,16558390,16558493,16559899,16560431,16561035,16561037,16561039,16561375,16561688,16562667,16564260,16566811,16575620,16578686,16580245,16582915,16585145,16585588,16586346,16586365,16587728,16588166,16589948,16590048,16590083,16592443,16592537,16593358,16599266,16601621,16602157,16602187,16602189,16603329,16604554,16604885,16605245,16606732,16608051,16608159,16608161,16608163
ENST00000329492	1	50603133	50603223	ENSG00000008735	MAPK8IP2	50605925,50613907
ENST00000394128	1	40053635	40054092	ENSG00000008838	MED24	40022247,40022747,40026019,40026966,40029152,40029343,40031893,40032852,40033057,40033181,40033612,40039126,40040763,40045922,40046976,40048499,40050317,40053998,40061056
ENST00000261534	1	77306441	77306503	ENSG00000009830	POMT2	77275398,77276100,77276252,77279855,77280465,77281431,77287193,77287792,77292976,77293615,77294018,77295866,77299624,77299626,77303607,77305567,77305990,77308298,77310141,77311297,77314288,77314438,77316064,77317059,77319725
ENST00000540757	2	4590320;4604897	4590330;4604914	ENSG00000010219	DYRK4	4562245,4562665,4563214,4565009,4565249,4566584,4566915,4567948,4568530,4569801,4574403,4575453,4576268,4578481,4578946,4579373,4579565,4579620,4580409,4580659,4581974,4582020,4585379,4586091,4590308,4592134,4593341,4595054,4595181,4595818,4596153,4602054,4604197,4604493,4612889
ENST00000396840	2	6548825;6549896	6549265;6550467	ENSG00000010295	IFFO1	6539761,6539763,6543012,6543485,6548869,6549128,6550157,6550299,6552448,6552922,6555753
ENST00000011898	1	3199984	3201177	ENSG00000011105	TSPAN9	3082201,3082203,3086083,3087088,3087152,3088119,3088231,3088644,3089772,3092021,3093901,3100367,3101431,3103307,3103604,3105879,3106067,3107562,3107564,3112321,3113732,3113734,3123698,3123700,3124552,3128124,3129011,3131290,3132231,3136593,3137844,3137846,3140426,3141039,3141041,3145747,3150855,3151181,3151199,3151201,3151203,3151205,3151207,3154837,3162372,3164366,3165897,3167643,3170627,3170629,3173554,3178435,3179658,3181955,3183088,3184710,3185119,3187337,3187770,3187874,3189076,3189242,3189244,3189986,3190309,3190840,3191666,3192708,3193534,3194531,3195766,3196467,3201410,3203307,3204048,3205535,3206732,3207019,3208047,3209546,3210469,3211768,3213898,3213959,3218038,3218120,3218371,3219269,3220408,3221503,3222193,3223076,3223862,3225498,3227037,3228220,3228233,3230773,3231834,3232733,3233500,3233730,3234308,3238833,3238937,3240966,3241908,3247943,3249910,3250214,3250949,3254843,3254894,3254912,3255264,3259488,3261613,3261615,3261803,3266574,3267836,3267905,3271473,3271715,3272312,3272488,3275900,3277518,3278071,3279323,3279676,3281273,3281811,3282122
