#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000616016	3465	845	0.41608	8.709694862365723	1	1	coding
ENST00000618323	3468	846	0.41608	8.709694862365723	1	1	coding
ENST00000342066	2557	682	0.42995000000000005	7.337368202209473	1	1	coding
ENST00000341065	2191	585	0.43303	6.61875286102295	1	1	coding
ENST00000379370	7326	2046	0.37862	6.018078422546386	1	1	coding
ENST00000620552	7394	2069	0.37862	6.00523281097412	1	1	coding
ENST00000651234	7477	1964	0.37367	6.143806266784667	1	1	coding
ENST00000652369	7408	1941	0.37862	6.163017845153808	1	1	coding
ENST00000461111	3385	216	0.30955	8.762816810607909	1	0.907668	coding
ENST00000379339	2429	381	0.35573999999999995	10.071073722839355	1	0.999944	coding
ENST00000421241	1832	199	0.36376	9.953612327575684	1	0.938846	coding
ENST00000379325	2010	190	0.30528	9.49472637176514	1	0.700508	coding
ENST00000487177	3315	156	0.2545	10.041740608215331	1	0.224896	noncoding
ENST00000477196	3214	255	0.27673	11.331366157531736	1	0.612579	coding
ENST00000472741	661	84	0.24705000000000002	11.6381067276001	1	0.073385	noncoding
ENST00000480643	579	50	0.36376	11.999967765808105	1	0.0278148	noncoding
ENST00000492936	5319	760	0.3885	6.655868721008302	1	1	coding
ENST00000354700	3793	835	0.43697	5.693129920959472	1	1	coding
ENST00000467278	2725	565	0.40147999999999995	5.747581672668457	1	1	coding
ENST00000353662	2280	760	0.40892	6.655868721008302	1	1	coding
ENST00000478065	2393	90	0.28291	5.2785463333129865	1	0.186074	noncoding
ENST00000479108	485	114	0.41263	4.800814628601075	1	0.81699	coding
ENST00000470030	2369	252	0.45408999999999994	7.153437232971191	1	0.999935	coding
ENST00000540437	2629	607	0.43943000000000004	8.09099178314209	1	1	coding
ENST00000545578	2263	572	0.42819	8.134894752502444	1	1	coding
ENST00000497304	932	103	0.4288	10.884858131408691	1	0.460172	noncoding
ENST00000435064	2114	601	0.41794	8.27479114532471	1	1	coding
ENST00000462432	2863	323	0.39213000000000003	9.383389472961426	1	0.999957	coding
ENST00000429572	1104	290	0.3765	8.841983985900882	1	0.999713	coding
ENST00000496353	2428	208	0.28308	9.730616188049318	1	0.660544	coding
ENST00000338370	1072	200	0.39618000000000003	10.757790946960448	1	0.968541	coding
ENST00000321751	798	200	0.42163999999999996	10.757790946960448	1	0.986692	coding
ENST00000338338	753	200	0.42175	10.757790946960448	1	0.986742	coding
ENST00000378853	875	200	0.44377999999999995	10.757790946960448	1	0.993833	coding
ENST00000480479	2792	142	0.35019000000000006	6.8254194259643555	1	0.704567	coding
ENST00000400809	3112	521	0.32084999999999997	10.268991661071777	1	0.999992	coding
ENST00000463260	1941	60	0.30091	10.710729026794432	1	0.0340554	noncoding
ENST00000496007	4452	227	0.29576	9.14453411102295	1	0.880275	coding
ENST00000481223	2815	299	0.36865	10.787059593200684	1	0.998338	coding
ENST00000492998	745	142	0.45883999999999997	6.8254194259643555	1	0.938321	coding
ENST00000378733	1381	174	0.35535	7.706992149353028	1	0.906853	coding
ENST00000624426	796	113	0.36889	9.878829002380368	1	0.315397	noncoding
ENST00000479659	4247	600	0.39172999999999997	8.176670265197757	1	1	coding
ENST00000489635	3034	855	0.40134	8.364531135559083	1	1	coding
ENST00000355826	3206	1000	0.39111	8.719107246398927	1	1	coding
ENST00000511502	3326	673	0.37515	8.938106346130372	1	1	coding
ENST00000477990	2821	122	0.27469	5.10228862762451	1	0.56532	coding
ENST00000487053	3252	817	0.39452	8.24287929534912	1	1	coding
ENST00000378712	2890	754	0.39576	7.41046314239502	1	1	coding
ENST00000507082	1578	55	0.33296000000000003	6.707308006286621	1	0.0203479	noncoding
ENST00000463492	486	47	0.34931	7.776192665100098	1	0.0143668	noncoding
ENST00000504599	3311	970	0.39111	8.38735294342041	1	1	coding
ENST00000404249	2984	781	0.45978	5.316969490051269	1	1	coding
ENST00000356200	2653	747	0.4764	5.250013160705565	1	1	coding
ENST00000509982	2306	421	0.42973	5.113713264465332	1	1	coding
ENST00000358779	2419	771	0.44005999999999995	5.259959983825683	1	1	coding
ENST00000378633	2458	784	0.45670999999999995	5.284343910217284	1	1	coding
ENST00000460465	2333	408	0.42973	5.0868852615356435	1	1	coding
ENST00000479362	700	151	0.42261	9.559710502624512	-1	0.176351	noncoding
ENST00000610897	3145	341	0.33359	5.603949546813964	1	0.999995	coding
ENST00000378609	3163	341	0.32987	5.603949546813964	1	0.999994	coding
ENST00000378567	2385	593	0.44007	5.48583812713623	1	1	coding
ENST00000400921	2294	410	0.44778	4.64581470489502	1	1	coding
ENST00000481140	713	95	0.3147	4.435510444641113	-1	0.0550367	noncoding
ENST00000478770	1542	348	0.46016	5.13400478363037	1	1	coding
ENST00000505322	1859	458	0.48202999999999996	5.587920951843262	1	1	coding
ENST00000378531	1645	498	0.41037999999999997	6.644898796081543	1	1	coding
ENST00000606372	1960	464	0.36117	7.3213396072387695	1	1	coding
ENST00000378529	1500	351	0.369	6.0559900283813475	1	0.999999	coding
ENST00000469374	1907	136	0.35025	8.790473747253419	1	0.5	coding
ENST00000449373	4764	178	0.30229999999999996	10.062177085876463	1	0.537329	coding
ENST00000378525	1648	201	0.34113	8.864805793762208	1	0.9332	coding
ENST00000607031	3138	117	0.30615000000000003	11.165295600891113	1	0.137255	noncoding
ENST00000675966	7766	629	0.33595	8.537112998962403	1	1	coding
ENST00000378230	6431	926	0.3965	7.54323902130127	1	1	coding
ENST00000674623	6559	962	0.3965	7.535054206848145	1	1	coding
ENST00000674879	7030	527	0.30781000000000003	8.864741325378418	1	0.999999	coding
ENST00000674985	6435	527	0.36009	8.864741325378418	1	1	coding
ENST00000675108	6700	672	0.36009	6.613409996032716	1	1	coding
ENST00000675200	6344	678	0.40859	7.961410331726074	1	1	coding
ENST00000675666	6363	965	0.37395	6.796317863464354	1	1	coding
ENST00000675677	6233	860	0.38264000000000004	8.443053627014162	1	1	coding
ENST00000676009	6394	738	0.36009	7.0291872024536115	1	1	coding
ENST00000676052	6449	932	0.3965	7.536020469665529	1	1	coding
ENST00000675334	4953	859	0.40154	7.109216499328612	1	1	coding
ENST00000675375	5326	868	0.39546000000000003	7.546194648742676	1	1	coding
ENST00000428079	3152	894	0.47150000000000003	6.5789087295532225	1	1	coding
ENST00000461667	3328	867	0.43365000000000004	6.337229347229004	1	1	coding
ENST00000460696	3967	96	0.34160999999999997	5.096775245666502	1	0.28415	noncoding
ENST00000378161	4370	158	0.34380999999999995	9.117779731750488	1	0.682107	coding
ENST00000478423	4467	915	0.44217999999999996	8.417975425720218	1	1	coding
ENST00000378156	4955	1427	0.50048	8.402567481994634	1	1	coding
ENST00000489180	5548	912	0.40819999999999995	8.555937767028809	1	1	coding
ENST00000468253	781	81	0.26552000000000003	9.359471702575682	-1	0.165671	noncoding
ENST00000622020	3004	912	0.46845000000000003	8.555937767028809	1	1	coding
ENST00000466897	1192	137	0.35545	8.709501457214355	1	0.543244	coding
ENST00000377837	1222	105	0.34917	10.413400840759277	-1	0.16997	noncoding
ENST00000377836	507	77	0.42956	10.495275688171386	1	0.198917	noncoding
ENST00000377834	4262	174	0.32373999999999997	9.87960262298584	1	0.652687	coding
ENST00000487949	2664	568	0.44160000000000005	5.250354194641112	1	1	coding
ENST00000535355	3695	1076	0.45176	5.882574272155761	1	1	coding
ENST00000400913	3668	1007	0.45176	5.732633018493654	1	1	coding
ENST00000340850	3699	1007	0.4592	5.732633018493654	1	1	coding
ENST00000377732	3753	1044	0.45176	5.922645759582519	1	1	coding
ENST00000400915	3731	1063	0.4379	5.925146675109862	1	1	coding
ENST00000377740	4191	1084	0.46486000000000005	6.036153221130371	1	1	coding
ENST00000490738	538	51	0.37213	8.739930534362792	1	0.0236444	noncoding
ENST00000303635	8314	1674	0.44236000000000003	7.294000053405762	1	1	coding
ENST00000476163	863	51	0.38604	8.739930534362792	1	0.0266099	noncoding
ENST00000473578	567	81	0.39752	9.46100940704346	1	0.139424	noncoding
ENST00000557126	486	102	0.38056	9.38725757598877	1	0.256897	noncoding
ENST00000476864	6282	1561	0.43973999999999996	6.983829689025879	1	1	coding
ENST00000461311	431	25	0.43754	4.133468055725097	1	0.0212044	noncoding
ENST00000495233	3678	705	0.36913	9.230857276916506	1	1	coding
ENST00000710284	4288	573	0.34615	9.29783992767334	1	1	coding
ENST00000710285	4575	686	0.34615	9.285590934753419	1	1	coding
ENST00000700424	3102	592	0.36913	9.232984733581542	1	1	coding
ENST00000377532	6365	1211	0.36338000000000004	6.387588691711425	1	1	coding
ENST00000614998	6261	1192	0.36613	6.32409954071045	1	1	coding
ENST00000361923	6203	1202	0.36613	6.4386301040649405	1	1	coding
ENST00000493678	1088	190	0.47279000000000004	6.329215049743653	1	0.997833	coding
ENST00000338639	1127	190	0.47774000000000005	6.329215049743653	1	0.997831	coding
ENST00000471889	2496	749	0.39867	7.150197410583496	1	1	coding
ENST00000289877	2401	749	0.38306999999999997	7.150197410583496	1	1	coding
ENST00000377298	4760	982	0.43652	4.810420417785645	1	1	coding
BambuTx16	4577	953	0.44944	4.880730247497559	1	1	coding
ENST00000435891	3829	615	0.44917	4.668834495544433	1	1	coding
