gene_id	seqnames	start	end	width	strand	isoform_id	gene_name
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI
ENSG00000003436	chr2	187513616	187513641	26	-	ENST00000392365.5	TFPI
ENSG00000009950	chr7	73605910	73605925	16	-	ENST00000434326.5	MLXIPL
ENSG00000009950	chr7	73605910	73605925	16	-	ENST00000434326.5	MLXIPL
ENSG00000009950	chr7	73605910	73605925	16	-	ENST00000434326.5	MLXIPL
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000336604.8	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000336604.8	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000336604.8	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000356896.8	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000356896.8	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000356896.8	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000465801.5	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000465801.5	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000465801.5	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000619571.5	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000619571.5	IFFO1
ENSG00000010295	chr12	6549476	6549484	9	-	ENST00000619571.5	IFFO1
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000265748.7	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000265748.7	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000265748.7	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000396068.6	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000396068.6	ANLN
ENSG00000011426	chr7	36426015	36426036	22	+	ENST00000396068.6	ANLN
ENSG00000022976	chr14	102338816	102338830	15	+	ENST00000560568.5	ZNF839
ENSG00000022976	chr14	102338816	102338830	15	+	ENST00000560568.5	ZNF839
ENSG00000022976	chr14	102338816	102338830	15	+	ENST00000560568.5	ZNF839
ENSG00000036054	chr3	100310403	100310421	19	+	ENST00000496167.1	TBC1D23
ENSG00000036054	chr3	100310403	100310421	19	+	ENST00000496167.1	TBC1D23
ENSG00000036054	chr3	100310403	100310421	19	+	ENST00000496167.1	TBC1D23
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000042381.9	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000042381.9	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000042381.9	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000428437.6	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000428437.6	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000428437.6	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000540839.7	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000540839.7	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000540839.7	RIPOR1
ENSG00000040487	chr1	19312341	19312358	18	+	ENST00000400548.6	SLC66A1
ENSG00000040487	chr1	19312341	19312358	18	+	ENST00000400548.6	SLC66A1
ENSG00000040487	chr1	19312341	19312358	18	+	ENST00000400548.6	SLC66A1
ENSG00000040487	chr1	19324754	19324762	9	+	ENST00000432465.1	SLC66A1
ENSG00000040487	chr1	19324754	19324762	9	+	ENST00000432465.1	SLC66A1
ENSG00000040487	chr1	19324754	19324762	9	+	ENST00000432465.1	SLC66A1
