gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000022976	chr14	102338816	102338830	15	+	ENST00000560568.5	ZNF839	ZNF839
ENSG00000022976	chr14	102338816	102338830	15	+	ENST00000560568.5	ZNF839	ZNF839
ENSG00000022976	chr14	102338816	102338830	15	+	ENST00000560568.5	ZNF839	ZNF839
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000540839.7	RIPOR1	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000540839.7	RIPOR1	RIPOR1
ENSG00000039523	chr16	67539728	67539751	24	+	ENST00000540839.7	RIPOR1	RIPOR1
ENSG00000055955	chr3	52818257	52818283	27	-	ENST00000266041.9	ITIH4	ITIH4
ENSG00000055955	chr3	52818257	52818283	27	-	ENST00000266041.9	ITIH4	ITIH4
ENSG00000055955	chr3	52818257	52818283	27	-	ENST00000266041.9	ITIH4	ITIH4
ENSG00000055955	chr3	52820291	52820317	27	-	ENST00000266041.9	ITIH4	ITIH4
ENSG00000055955	chr3	52820291	52820317	27	-	ENST00000266041.9	ITIH4	ITIH4
ENSG00000055955	chr3	52820291	52820317	27	-	ENST00000266041.9	ITIH4	ITIH4
ENSG00000065609	chr6	83601585	83601599	15	-	ENST00000439399.6	SNAP91	SNAP91
ENSG00000065609	chr6	83601585	83601599	15	-	ENST00000439399.6	SNAP91	SNAP91
ENSG00000065609	chr6	83601585	83601599	15	-	ENST00000439399.6	SNAP91	SNAP91
ENSG00000065609	chr6	83614857	83614862	6	-	ENST00000439399.6	SNAP91	SNAP91
ENSG00000065609	chr6	83614857	83614862	6	-	ENST00000439399.6	SNAP91	SNAP91
ENSG00000065609	chr6	83614857	83614862	6	-	ENST00000439399.6	SNAP91	SNAP91
ENSG00000067798	chr12	78049993	78050007	15	+	ENST00000549464.5	NAV3	NAV3
ENSG00000067798	chr12	78049993	78050007	15	+	ENST00000549464.5	NAV3	NAV3
ENSG00000067798	chr12	78049993	78050007	15	+	ENST00000549464.5	NAV3	NAV3
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000344366.7	CA12	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000344366.7	CA12	CA12
ENSG00000074410	chr15	63375658	63375678	21	-	ENST00000344366.7	CA12	CA12
ENSG00000077157	chr1	202558877	202558893	17	+	ENST00000608999.6	PPP1R12B	PPP1R12B
ENSG00000077157	chr1	202558877	202558893	17	+	ENST00000608999.6	PPP1R12B	PPP1R12B
ENSG00000077157	chr1	202558877	202558893	17	+	ENST00000608999.6	PPP1R12B	PPP1R12B
ENSG00000085552	chr1	159945573	159945596	24	-	ENST00000361509.7	IGSF9	IGSF9
ENSG00000085552	chr1	159945573	159945596	24	-	ENST00000361509.7	IGSF9	IGSF9
ENSG00000085552	chr1	159945573	159945596	24	-	ENST00000361509.7	IGSF9	IGSF9
ENSG00000093144	chr6	127316450	127316459	10	-	ENST00000461239.2	ECHDC1	ECHDC1
ENSG00000093144	chr6	127316450	127316459	10	-	ENST00000461239.2	ECHDC1	ECHDC1
ENSG00000093144	chr6	127316450	127316459	10	-	ENST00000461239.2	ECHDC1	ECHDC1
ENSG00000100697	chr14	95092569	95092593	25	-	ENST00000696734.1	DICER1	DICER1
ENSG00000100697	chr14	95092569	95092593	25	-	ENST00000696734.1	DICER1	DICER1
ENSG00000100697	chr14	95092569	95092593	25	-	ENST00000696734.1	DICER1	DICER1
ENSG00000104866	chr19	45141418	45141441	24	+	ENST00000422370.2	PPP1R37	PPP1R37
ENSG00000104866	chr19	45141418	45141441	24	+	ENST00000422370.2	PPP1R37	PPP1R37
ENSG00000104866	chr19	45141418	45141441	24	+	ENST00000422370.2	PPP1R37	PPP1R37
ENSG00000105642	chr19	17993054	17993062	9	+	ENST00000684775.1	KCNN1	KCNN1
ENSG00000105642	chr19	17993054	17993062	9	+	ENST00000684775.1	KCNN1	KCNN1
ENSG00000105642	chr19	17993054	17993062	9	+	ENST00000684775.1	KCNN1	KCNN1
ENSG00000105953	chr7	44606627	44606653	27	+	ENST00000447398.6	OGDH	OGDH
ENSG00000105953	chr7	44606627	44606653	27	+	ENST00000447398.6	OGDH	OGDH
ENSG00000105953	chr7	44606627	44606653	27	+	ENST00000447398.6	OGDH	OGDH
ENSG00000106012	chr7	2601441	2601464	24	+	ENST00000402050.7	IQCE	IQCE
ENSG00000106012	chr7	2601441	2601464	24	+	ENST00000402050.7	IQCE	IQCE
ENSG00000106012	chr7	2601441	2601464	24	+	ENST00000402050.7	IQCE	IQCE
ENSG00000106701	chr9	105479354	105479376	23	+	ENST00000394926.7	FSD1L	FSD1L
ENSG00000106701	chr9	105479354	105479376	23	+	ENST00000394926.7	FSD1L	FSD1L
ENSG00000106701	chr9	105479354	105479376	23	+	ENST00000394926.7	FSD1L	FSD1L
ENSG00000109323	chr4	102723862	102723884	23	-	ENST00000506478.1	MANBA	MANBA
ENSG00000109323	chr4	102723862	102723884	23	-	ENST00000506478.1	MANBA	MANBA
ENSG00000109323	chr4	102723862	102723884	23	-	ENST00000506478.1	MANBA	MANBA
ENSG00000111752	chr12	8916061	8916069	9	+	ENST00000543824.5	PHC1	PHC1
ENSG00000111752	chr12	8916061	8916069	9	+	ENST00000543824.5	PHC1	PHC1
ENSG00000111752	chr12	8916061	8916069	9	+	ENST00000543824.5	PHC1	PHC1
ENSG00000113716	chr5	150000046	150000055	10	+	ENST00000613459.4	HMGXB3	HMGXB3
ENSG00000113716	chr5	150000046	150000055	10	+	ENST00000613459.4	HMGXB3	HMGXB3
ENSG00000113716	chr5	150000046	150000055	10	+	ENST00000613459.4	HMGXB3	HMGXB3
ENSG00000114541	chr3	69249226	69249248	23	-	ENST00000398540.8	FRMD4B	FRMD4B
ENSG00000114541	chr3	69249226	69249248	23	-	ENST00000398540.8	FRMD4B	FRMD4B
