isoform_id	ATTS	ATTS_genomic_start	ATTS_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000686149	1	92197498	92199420	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000265577	1	8113184	8113255	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000478079	1	105114083	105115019	ENSG00000005483	KMT2E	104943993,104946823,104946825,104948471,104948607,104955559,104956193,104959922,104961372,104965663,104969244,104973469,104977439,104980207,104983476,104983478,104985458,104992054,104993292,104993602,104993923,104994744,104996276,104999613,105002811,105003209,105004451,105015728,105019656,105019658,105023812,105042135,105046025,105054880,105055712,105056505,105056984,105058596,105059325,105060297,105061744,105062336,105064525,105065289,105066746,105068124,105069641,105070234,105074487,105083116,105084018,105084077,105085012,105086231,105088534,105089168,105090027,105093063,105094103,105095702,105098384,105100056,105105683,105106760,105109032,105109646
ENST00000544440	1	77042474	77044657	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000226328	1	70793785;70794795;70799405;70800141;70802956;70804348;70806516	70793904;70794894;70799875;70800205;70802983;70804416;70808619	ENSG00000018189	RUFY3	70705911,70706422,70709488,70710249,70710251,70710253,70710255,70710257,70713168,70716465,70719667,70724106,70725528,70730987,70732429,70732449,70734704,70736014,70737311,70737360,70741579,70741979,70745695,70746737,70753814,70756311,70757867,70757980,70757982,70760157,70762720,70762722,70763784,70764323,70766389,70769026,70769966,70771225,70777775,70778101,70778999,70780438,70782781,70783309,70784062,70785705,70788153,70794218,70797359,70798720,70804109,70804519,70804521,70805547,70805700,70808124
ENST00000607609	1	150159628	150160065	ENSG00000023902	PLEKHO1	150153332,150154627,150157991,150163418,150163430,150163462,150164296,150164488,150164660
ENST00000547997	1	95301172	95302799	ENSG00000028203	VEZT	95218628,95221433,95221717,95224930,95225963,95226503,95226527,95227485,95230669,95232639,95233048,95241371,95243243,95244351,95256196,95258938,95259667,95260981,95262203,95263702,95263704,95264760,95265005,95265007,95267107,95270794,95272028,95272339,95273350,95273352,95273354,95275735,95278938,95281138,95283190,95286918,95290145,95291943,95292126,95294696,95300595,95301781
ENST00000374467	1	33572547	33572552	ENSG00000030110	BAK1	33573614,33575223,33575458,33578460
ENST00000348476	1	58373730	58373887	ENSG00000032219	ARID4A	58303809,58305436,58306154,58306747,58306926,58306950,58308493,58310566,58315947,58318085,58320515,58325716,58327948,58327950,58328861,58335458,58339115,58342781,58346078,58351787,58354420,58356384,58357384,58357608,58358429,58359361,58359363,58359365,58362065,58368820
ENST00000437179	1	27372723	27376606	ENSG00000033867	SLC4A7	27373833,27377537,27383113,27388954,27399255,27408354,27413159,27414342,27414898,27416571,27416573,27418045,27418047,27418115,27419714,27423908,27424511,27425916,27426753,27429134,27430296,27430298,27431169,27432479,27432553,27432666,27443722,27443724,27447410,27447483,27449572,27452736,27452961,27454684,27462970,27468761,27468763,27468843,27471094,27471517,27475877,27476715,27481062
