seq_id,aln_start,aln_end,env_start,env_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,score,evalue,significance,clan
BambuTx1010,176,323,173,338,PF03062.24,MBOAT,Family,5,137,337,28.0,1.5e-06,1,CL0517
BambuTx1062,11,182,11,183,PF00071.27,Ras,Domain,1,161,162,181.2,1.2e-53,1,CL0023
BambuTx1063,24,98,23,99,PF00611.28,FCH,Family,2,77,78,70.3,1.6e-19,1,CL0145
BambuTx1064,1,147,1,148,PF00335.25,Tetraspanin,Family,75,224,225,121.8,4.1e-35,1,CL0347
BambuTx107,2,256,1,257,PF00375.23,SDF,Family,134,386,387,275.1,1.2e-81,1,No_Clan
BambuTx1086,5,227,4,227,PF00230.25,MIP,Family,2,222,222,296.1,2.1e-88,1,CL0716
BambuTx120,5,49,5,49,PF16860.10,CX9C,Domain,1,44,44,63.0,2.1e-17,1,CL0351
BambuTx120,58,91,58,92,PF06747.18,CHCH,Domain,1,34,35,29.4,7.4e-07,1,CL0351
BambuTx141,93,159,93,168,PF07815.19,Abi_HHR,Family,1,67,77,121.2,1.8e-35,1,No_Clan
BambuTx141,390,434,390,435,PF00018.33,SH3_1,Domain,1,47,48,57.1,1.2e-15,1,CL0010
BambuTx143,85,103,85,103,PF10522.14,RII_binding_1,Motif,1,19,19,19.4,0.00099,1,No_Clan
BambuTx143,307,335,304,335,PF00418.24,Tubulin-binding,Family,4,31,31,45.3,6.9e-12,1,No_Clan
BambuTx143,336,365,336,366,PF00418.24,Tubulin-binding,Family,1,30,31,58.2,6.5e-16,1,No_Clan
BambuTx143,367,398,367,398,PF00418.24,Tubulin-binding,Family,1,31,31,57.9,8.1e-16,1,No_Clan
BambuTx178,105,349,105,349,PF00102.32,Y_phosphatase,Domain,1,234,234,299.7,1.8e-89,1,CL0031
BambuTx178,406,639,406,640,PF00102.32,Y_phosphatase,Domain,1,233,234,212.7,6.5e-63,1,CL0031
BambuTx210,148,329,147,329,PF00596.26,Aldolase_II,Domain,2,183,183,157.1,5.3e-46,1,No_Clan
BambuTx214,157,248,148,252,PF00640.28,PID,Domain,49,136,140,33.8,3.5e-08,1,CL0266
BambuTx214,561,616,561,616,PF11830.13,DUF3350,Family,1,63,63,80.6,8.3e-23,1,No_Clan
BambuTx214,675,884,674,885,PF00566.24,RabGAP-TBC,Family,2,215,216,191.5,1.8e-56,1,CL0816
BambuTx224,70,158,70,158,PF04410.19,Gar1,Domain,1,92,92,102.7,8.5e-30,1,CL0105
BambuTx270,118,222,106,224,PF00566.24,RabGAP-TBC,Family,104,214,216,35.8,7.6e-09,1,CL0816
BambuTx272,1,102,1,103,PF00622.34,SPRY,Family,16,120,121,78.4,5.3e-22,1,CL0004
BambuTx272,139,163,138,164,PF08513.16,LisH,Domain,2,26,27,27.4,2.8e-06,1,CL0561
