gene,logFC,logCPM,F,PValue,FDR,median_tx_length,median_gc_pct,n_transcripts,max_tx_length
ENSG00000151789,6.99433084885739,6.91391402994947,2052.57274217846,4.21430692924841e-16,5.57889951293905e-12,1320,44.65,20,10478
ENSG00000075151,4.08869647259624,7.43024659212488,1321.32071279514,7.83844849651772e-15,5.18826905984508e-11,5344,47.26,23,7832
ENSG00000049618,2.94496412774604,6.672269249413,990.746347396615,5.32990797433208e-14,2.3519107254736e-10,3028,51.24,37,10813
ENSG00000278677,4.80815171267294,4.24866637207291,914.369815614688,9.46516315410484e-14,3.06144450109805e-10,487,58.11,1,487
ENSG00000197381,4.67457614838605,5.04583114537875,869.751422062149,1.27972992734143e-13,3.06144450109805e-10,3013,53.19,15,6902
ENSG00000167470,3.74898364002412,4.88849989524783,858.387841527469,1.387571159283e-13,3.06144450109805e-10,3261,64.44,5,3892
ENSG00000204842,3.50759892605305,5.80437809252312,833.690361084086,1.67833476306981e-13,3.17397079907402e-10,2134,49.71,43,4674
ENSG00000143952,3.80223908600507,4.66890291933136,800.940946065602,2.20059575210122e-13,3.64143582078949e-10,3966,39.02,4,4725
ENSG00000160111,6.7451589574679,6.05094590762193,787.982998080882,2.52652074996231e-13,3.71623129866678e-10,694,61.72,20,6913
ENSG00000188517,4.39096089904903,5.00926583017641,757.909813662788,3.1764035891843e-13,4.20492307136218e-10,2587,43.95,8,8026
ENSG00000105583,-7.08039287144477,7.05518619580812,706.459634953399,5.2386767485813e-13,5.82946826198047e-10,619,55.26,3,627
ENSG00000146872,3.03922785758602,5.46137922622078,701.099995467001,5.28430421089028e-13,5.82946826198047e-10,3572,44.11,32,6560
ENSG00000130396,3.26293126073653,6.30710318793614,688.136251011135,5.97469998483353e-13,6.08408295378664e-10,4686,48.65,23,8000
ENSG00000142599,3.48464080579249,6.54453643009091,664.628862520301,7.51537960106642e-13,7.10632822563695e-10,852,54.46,22,8026
ENSG00000109762,4.86905470757464,4.03362370285276,648.89172126539,9.30817848858854e-13,7.9723821709955e-10,2544,41.17,8,3745
ENSG00000272772,-7.4741237350982,7.50261702110211,644.339828769075,9.63575424806829e-13,7.9723821709955e-10,1239,40.11,1,1239
ENSG00000065883,2.81144056362405,5.19462025322264,618.479827311174,1.20981295530887e-12,8.92448032244212e-10,2672,42.74,23,9525
ENSG00000153815,4.6748518151935,4.00117002971096,622.327096605303,1.21348123435533e-12,8.92448032244212e-10,2288,57.19,11,4719
ENSG00000196151,3.07275401847645,4.34639743478107,582.516375038125,1.80248781336025e-12,1.18102865097738e-09,1811,41.58,5,1920
ENSG00000101333,5.00259500589495,6.01231874655031,581.474291202131,1.82052343566981e-12,1.18102865097738e-09,5205,40.41,61,7825
ENSG00000149657,5.21971343263602,3.34645641338439,598.052889329871,1.89765477981807e-12,1.18102865097738e-09,1079,60.7,5,2576
ENSG00000181588,4.82540405790329,3.08187333750093,593.124532387211,1.96273079932788e-12,1.18102865097738e-09,2623,65.88,2,3114
ENSG00000182979,3.62995296060995,5.03653272176669,548.763013698506,2.66454899126681e-12,1.53362171940826e-09,888,61.35,20,2888
ENSG00000107758,3.11418561066938,4.62558758191335,544.251857362435,2.81349318179962e-12,1.55187594752764e-09,2768,41.64,6,3519
ENSG00000116141,3.33925901870455,4.59119748718166,536.197432609388,3.10650033421781e-12,1.64255496054321e-09,3954,41.44,18,5768
ENSG00000221823,5.92655457576075,3.86990471206939,554.015937162576,3.22604841925694e-12,1.64255496054321e-09,851,40.67,3,3024
ENSG00000214753,3.41772788718382,4.57019145932158,530.063578369959,3.35369888372684e-12,1.64430614158429e-09,2826,47.95,2,5214
ENSG00000144935,2.93931251395209,4.64006537877117,525.790806341079,3.52966349466485e-12,1.66877447651333e-09,4324,39.73,5,4561
ENSG00000112787,4.80852463369644,4.34212898743677,519.595964023276,3.92069244830758e-12,1.738353358798e-09,1246,68.47,9,5568
ENSG00000143862,4.78629750893785,3.01038113723241,533.8262994287,3.9394622121121e-12,1.738353358798e-09,1079,56.46,4,1789
ENSG00000038382,5.06655618940982,5.99392117883461,513.417044602711,4.13106308875342e-12,1.76409719899735e-09,817,53.68,27,11460
ENSG00000168216,3.17809027581041,6.2004377764147,505.87905719144,4.53868990749686e-12,1.85529312836607e-09,1966,37.18,37,3900
ENSG00000118513,7.25929656418321,5.49059630772915,515.073586219574,4.70973017252583e-12,1.85529312836607e-09,2436,44.33,41,3684
ENSG00000105176,3.9811656852728,5.56672078959489,502.2610432457,4.76506771147050e-12,1.85529312836607e-09,578,42.61,13,3460
ENSG00000251322,4.91397118740987,3.66203329047404,498.365355213108,5.50720874928893e-12,2.08298369780248e-09,3600,67.2,12,8004
ENSG00000137693,3.03187740488265,6.07725638249297,486.580765513569,5.85890941826928e-12,2.14215793992095e-09,1638,43.51,11,5401
ENSG00000213066,2.29724006575534,5.75085887069889,484.975178800124,5.9872974601205e-12,2.14215793992095e-09,3549,39.11,41,13956
ENSG00000285589,3.37346848522225,5.16932246242564,465.41513175987,7.85380995562728e-12,2.69890539210519e-09,5025,55.74,1,5025
ENSG00000116560,2.53093272413482,7.36853206171334,462.673414126811,8.14751899324385e-12,2.69890539210519e-09,693,44.24,11,4041
ENSG00000109846,9.09617228100816,6.82692580374164,482.139290536945,8.18776102584686e-12,2.69890539210519e-09,887,50.96,21,3414
ENSG00000133740,3.55683745361029,4.30826915180742,460.962878239026,8.41150405770693e-12,2.69890539210519e-09,1322,38.51,8,5042
ENSG00000143164,2.50946583551671,4.73072255640443,459.298518081148,8.56277583233253e-12,2.69890539210519e-09,1277,44.1,12,3522
ENSG00000134046,3.77282902949204,3.58355509788956,451.625888714721,9.80437835839269e-12,3.01838048159075e-09,1182,45.12,5,5064
ENSG00000120549,3.76486134754514,7.41364792854826,439.424251951628,1.14197222177126e-11,3.43577915268363e-09,3242,49.25,18,8471
ENSG00000170027,2.59301988503515,6.16487760067237,437.141226670302,1.18177423044393e-11,3.47651716947039e-09,3705,46.48,1,3705
ENSG00000008952,2.24718547012717,6.22451680255084,429.879565811195,1.31841647272831e-11,3.78575497060741e-09,634,39.52,10,6526
ENSG00000185842,4.28541206839092,5.69255171954888,427.81163672117,1.36367234374683e-11,3.78575497060741e-09,940,37.41,20,14065
ENSG00000144445,3.78577985030444,4.10786512473758,428.041050847336,1.3726864978785e-11,3.78575497060741e-09,1510,40.12,11,4782
ENSG00000151474,3.8087685670202,5.1818819753162,423.851078455239,1.44976144142693e-11,3.9167228493081e-09,662,51.55,21,6861
ENSG00000124593,4.03766238304803,5.00446799552828,419.589203966689,1.55166536544987e-11,4.10818922156508e-09,3043,58.6,3,3947
ENSG00000103495,2.7874809192454,5.77767145814152,413.8262994614,1.69221244994165e-11,4.39245262986815e-09,1455,62.52,15,2765
ENSG00000137463,6.0218633979632,4.56585982688199,417.832007939345,1.75680921299369e-11,4.41880285504868e-09,1224,44.04,1,1224
