gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000004766	chr7	93259614	93259632	19	+	ENST00000458707.1	VPS50	VPS50
ENSG00000004866	chr7	117129793	117129809	17	+	ENST00000449366.5	ST7	ST7
ENSG00000005810	chr13	77157937	77157957	21	-	ENST00000466564.3	MYCBP2	MYCBP2
ENSG00000007372	chr11	31801762	31801776	15	-	ENST00000423822.7	PAX6	PAX6
ENSG00000007372	chr11	31801762	31801776	15	-	ENST00000639943.1	PAX6	PAX6
ENSG00000007866	chr6	35479305	35479316	12	-	ENST00000338863.13	TEAD3	TEAD3
ENSG00000007866	chr6	35479305	35479316	12	-	ENST00000402886.9	TEAD3	TEAD3
ENSG00000007866	chr6	35479305	35479316	12	-	ENST00000639578.3	TEAD3	TEAD3
ENSG00000010017	chr6	13652659	13652681	23	-	BambuTx183	RANBP9	RANBP9
ENSG00000010017	chr6	13652659	13652681	23	-	ENST00000011619.6	RANBP9	RANBP9
ENSG00000010803	chr1	41160875	41160898	24	-	ENST00000326197.11	SCMH1	SCMH1
ENSG00000010803	chr1	41160875	41160898	24	-	ENST00000337495.9	SCMH1	SCMH1
ENSG00000010803	chr1	41160875	41160898	24	-	ENST00000372596.5	SCMH1	SCMH1
ENSG00000010803	chr1	41160875	41160898	24	-	ENST00000372597.5	SCMH1	SCMH1
ENSG00000010803	chr1	41160875	41160898	24	-	ENST00000695335.1	SCMH1	SCMH1
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000529432.5	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000529750.5	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000534764.1	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000635736.2	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123584312	123584332	21	+	ENST00000638086.1	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123618345	123618356	12	+	ENST00000529432.5	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123618345	123618356	12	+	ENST00000529750.5	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123618345	123618356	12	+	ENST00000638086.1	GRAMD1B	GRAMD1B
ENSG00000023171	chr11	123618345	123618356	12	+	ENST00000646146.1	GRAMD1B	GRAMD1B
ENSG00000026652	chr6	161273938	161273963	26	-	ENST00000624499.2	AGPAT4	AGPAT4
ENSG00000030110	chr6	33574506	33574525	20	-	ENST00000442998.6	BAK1	BAK1
ENSG00000033867	chr3	27390311	27390312	2	-	ENST00000425128.6	SLC4A7	SLC4A7
ENSG00000033867	chr3	27428268	27428286	19	-	ENST00000425128.6	SLC4A7	SLC4A7
ENSG00000033867	chr3	27433167	27433191	25	-	ENST00000425128.6	SLC4A7	SLC4A7
ENSG00000047932	chr6	117577448	117577471	24	-	ENST00000368498.7	GOPC	GOPC
ENSG00000047932	chr6	117577448	117577471	24	-	ENST00000535237.2	GOPC	GOPC
ENSG00000050767	chr5	178290362	178290369	8	-	ENST00000390654.8	COL23A1	COL23A1
ENSG00000050767	chr5	178290362	178290369	8	-	ENST00000407622.3	COL23A1	COL23A1
ENSG00000050767	chr5	178290362	178290369	8	-	ENST00000679896.1	COL23A1	COL23A1
ENSG00000050767	chr5	178290362	178290369	8	-	ENST00000680268.1	COL23A1	COL23A1
ENSG00000050767	chr5	178290362	178290369	8	-	ENST00000680889.1	COL23A1	COL23A1
ENSG00000050767	chr5	178290362	178290369	8	-	ENST00000681261.1	COL23A1	COL23A1
ENSG00000053900	chr4	25405601	25405619	19	+	ENST00000504256.5	ANAPC4	ANAPC4
ENSG00000054523	chr1	10273014	10273031	18	+	ENST00000377086.5	KIF1B	KIF1B
ENSG00000054523	chr1	10273014	10273031	18	+	ENST00000620295.2	KIF1B	KIF1B
ENSG00000054523	chr1	10273014	10273031	18	+	ENST00000676179.1	KIF1B	KIF1B
ENSG00000061676	chr2	183024978	183024995	18	-	ENST00000360982.2	NCKAP1	NCKAP1
ENSG00000061676	chr2	183024978	183024995	18	-	ENST00000703824.1	NCKAP1	NCKAP1
ENSG00000064601	chr20	45891356	45891379	24	+	ENST00000607814.7	CTSA	CTSA
ENSG00000065882	chr4	38020677	38020695	19	+	ENST00000510573.6	TBC1D1	TBC1D1
ENSG00000065882	chr4	38044474	38044490	17	+	ENST00000443855.5	TBC1D1	TBC1D1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394303.8	CACNB1	CACNB1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000394310.7	CACNB1	CACNB1
ENSG00000067191	chr17	39185131	39185150	20	-	ENST00000539338.6	CACNB1	CACNB1
ENSG00000067955	chr16	67082213	67082234	22	+	ENST00000564034.6	CBFB	CBFB
ENSG00000069849	chr3	141916555	141916574	20	+	ENST00000465172.5	ATP1B3	ATP1B3
ENSG00000071054	chr2	101868029	101868037	9	+	ENST00000324219.9	MAP4K4	MAP4K4
ENSG00000071054	chr2	101868029	101868037	9	+	ENST00000625522.3	MAP4K4	MAP4K4
ENSG00000072756	chr3	3126965	3126990	26	+	ENST00000434583.5	TRNT1	TRNT1
ENSG00000073921	chr11	85978070	85978093	24	-	ENST00000532317.5	PICALM	PICALM
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000263710.8	CLASP1	CLASP1
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000409078.8	CLASP1	CLASP1
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000541377.5	CLASP1	CLASP1
ENSG00000074054	chr2	121401868	121401870	3	-	ENST00000700755.1	CLASP1	CLASP1
ENSG00000074054	chr2	121409024	121409047	24	-	ENST00000409078.8	CLASP1	CLASP1
ENSG00000074054	chr2	121409024	121409047	24	-	ENST00000455322.7	CLASP1	CLASP1
ENSG00000074054	chr2	121409024	121409047	24	-	ENST00000541377.5	CLASP1	CLASP1
ENSG00000074054	chr2	121444939	121444962	24	-	ENST00000455322.7	CLASP1	CLASP1
ENSG00000075539	chr4	48502828	48502845	18	-	ENST00000358350.9	FRYL	FRYL
ENSG00000077157	chr1	202558877	202558893	17	+	ENST00000391959.5	PPP1R12B	PPP1R12B
ENSG00000077157	chr1	202558877	202558893	17	+	ENST00000608999.6	PPP1R12B	PPP1R12B
ENSG00000077157	chr1	202558877	202558893	17	+	ENST00000704899.1	PPP1R12B	PPP1R12B
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000325590.9	AMPH	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000356264.7	AMPH	AMPH
ENSG00000078053	chr7	38429842	38429865	24	-	ENST00000441628.5	AMPH	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000325590.9	AMPH	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000356264.7	AMPH	AMPH
ENSG00000078053	chr7	38432189	38432212	24	-	ENST00000441628.5	AMPH	AMPH
ENSG00000078070	chr3	183015551	183015566	16	-	ENST00000495767.5	MCCC1	MCCC1
ENSG00000079841	chr6	72099975	72099986	12	+	ENST00000370419.6	RIMS1	RIMS1
