gene_ref	gene_id	gene_name	condition_1	condition_2	isoformUpregulated	isoformDownregulated	iso_ref_up	iso_ref_down	featureCompared	isoformsDifferent	switchConsequence
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	intron_retention	TRUE	Intron retention gain
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	coding_potential	NA	NA
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	NMD_status	FALSE	NA
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	domains_identified	FALSE	NA
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	domain_isotype	FALSE	NA
geneComp_00000015	ENSG00000001631	KRIT1	FT	RGC	ENST00000686149	ENST00000688180	isoComp_00000036	isoComp_00000038	signal_peptide_identified	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	intron_retention	TRUE	Intron retention loss
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	coding_potential	NA	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	ORF_seq_similarity	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	NMD_status	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	domains_identified	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	domain_isotype	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000265577	isoComp_00000072	isoComp_00000068	signal_peptide_identified	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	intron_retention	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	coding_potential	NA	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	ORF_seq_similarity	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	NMD_status	TRUE	NMD insensitive
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	domains_identified	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	domain_isotype	FALSE	NA
geneComp_00000029	ENSG00000003147	ICA1	FT	RGC	ENST00000422063	ENST00000650486	isoComp_00000072	isoComp_00000073	signal_peptide_identified	FALSE	NA
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	intron_retention	FALSE	NA
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	coding_potential	NA	NA
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	NMD_status	FALSE	NA
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	domains_identified	FALSE	NA
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	domain_isotype	FALSE	NA
geneComp_00000048	ENSG00000004766	VPS50	FT	RGC	ENST00000305866	ENST00000458707	isoComp_00000147	isoComp_00000148	signal_peptide_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	intron_retention	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	coding_potential	NA	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	NMD_status	TRUE	NMD sensitive
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	domains_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	domain_isotype	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000265437	isoComp_00000163	isoComp_00000158	signal_peptide_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	intron_retention	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	coding_potential	NA	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	NMD_status	TRUE	NMD sensitive
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	domains_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	domain_isotype	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000417919	ENST00000393451	isoComp_00000163	isoComp_00000162	signal_peptide_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	intron_retention	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	coding_potential	NA	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	NMD_status	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	domains_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	domain_isotype	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000265437	isoComp_00000166	isoComp_00000158	signal_peptide_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	intron_retention	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	coding_potential	NA	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	NMD_status	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	domains_identified	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	domain_isotype	FALSE	NA
geneComp_00000054	ENSG00000004866	ST7	FT	RGC	ENST00000487459	ENST00000393451	isoComp_00000166	isoComp_00000162	signal_peptide_identified	FALSE	NA
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	intron_retention	FALSE	NA
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	coding_potential	NA	NA
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	NMD_status	FALSE	NA
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	domains_identified	FALSE	NA
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	domain_isotype	FALSE	NA
geneComp_00000086	ENSG00000005882	PDK2	FT	RGC	ENST00000505897	ENST00000503176	isoComp_00000264	isoComp_00000263	signal_peptide_identified	FALSE	NA
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	intron_retention	FALSE	NA
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	coding_potential	NA	NA
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	NMD_status	FALSE	NA
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	domains_identified	FALSE	NA
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	domain_isotype	FALSE	NA
geneComp_00000135	ENSG00000007372	PAX6	FT	RGC	ENST00000638914	ENST00000639386	isoComp_00000422	isoComp_00000426	signal_peptide_identified	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	intron_retention	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	coding_potential	NA	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	NMD_status	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	domains_identified	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	domain_isotype	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000326197	isoComp_00000616	isoComp_00000614	signal_peptide_identified	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	intron_retention	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	coding_potential	NA	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	ORF_seq_similarity	TRUE	ORF is shorter
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	NMD_status	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	domains_identified	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	domain_isotype	FALSE	NA
geneComp_00000204	ENSG00000010803	SCMH1	FT	RGC	ENST00000372596	ENST00000695335	isoComp_00000616	isoComp_00000620	signal_peptide_identified	FALSE	NA
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	intron_retention	TRUE	Intron retention loss
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	coding_potential	NA	NA
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	NMD_status	TRUE	NMD insensitive
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	domains_identified	FALSE	NA
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	domain_isotype	FALSE	NA
geneComp_00000214	ENSG00000011132	APBA3	FT	RGC	ENST00000316757	ENST00000590064	isoComp_00000643	isoComp_00000645	signal_peptide_identified	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	intron_retention	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	coding_potential	NA	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	NMD_status	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	domains_identified	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	domain_isotype	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000441915	ENST00000456560	isoComp_00000738	isoComp_00000739	signal_peptide_identified	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000616701	ENST00000456560	isoComp_00000740	isoComp_00000739	intron_retention	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000616701	ENST00000456560	isoComp_00000740	isoComp_00000739	coding_potential	NA	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000616701	ENST00000456560	isoComp_00000740	isoComp_00000739	ORF_seq_similarity	TRUE	ORF is longer
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000616701	ENST00000456560	isoComp_00000740	isoComp_00000739	NMD_status	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000616701	ENST00000456560	isoComp_00000740	isoComp_00000739	domains_identified	FALSE	NA
geneComp_00000241	ENSG00000012171	SEMA3B	FT	RGC	ENST00000616701	ENST00000456560	isoComp_00000740	isoComp_00000739	domain_isotype	FALSE	NA
