**** Job starts ****
2024-10-30 11:26:33
**** JHPCE info ****
User: sparthib
Job id: 10313799
Job name: bam2vcf.txt
Node name: compute-129
Loading LIBD SLURM module for gatk/4.5.0.0

The following have been reloaded with a version change:
  1) conda/3-24.3.0 => conda/3-23.3.1

Genotyping
11:26:45.087 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/jhpce/shared/libd/core/gatk/4.5.0.0/gatk/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
11:26:45.245 INFO  GenotypeGVCFs - ------------------------------------------------------------
11:26:45.248 INFO  GenotypeGVCFs - The Genome Analysis Toolkit (GATK) v4.5.0.0
11:26:45.248 INFO  GenotypeGVCFs - For support and documentation go to https://software.broadinstitute.org/gatk/
11:26:45.248 INFO  GenotypeGVCFs - Executing as sparthib@compute-129.cm.cluster on Linux v5.14.0-427.13.1.el9_4.x86_64 amd64
11:26:45.248 INFO  GenotypeGVCFs - Java runtime: Java HotSpot(TM) 64-Bit Server VM v19.0.1+10-21
11:26:45.248 INFO  GenotypeGVCFs - Start Date/Time: October 30, 2024 at 11:26:45 AM EDT
11:26:45.248 INFO  GenotypeGVCFs - ------------------------------------------------------------
11:26:45.248 INFO  GenotypeGVCFs - ------------------------------------------------------------
11:26:45.249 INFO  GenotypeGVCFs - HTSJDK Version: 4.1.0
11:26:45.249 INFO  GenotypeGVCFs - Picard Version: 3.1.1
11:26:45.249 INFO  GenotypeGVCFs - Built for Spark Version: 3.5.0
11:26:45.249 INFO  GenotypeGVCFs - HTSJDK Defaults.COMPRESSION_LEVEL : 2
11:26:45.250 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
11:26:45.250 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
11:26:45.250 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
11:26:45.250 INFO  GenotypeGVCFs - Deflater: IntelDeflater
11:26:45.250 INFO  GenotypeGVCFs - Inflater: IntelInflater
11:26:45.250 INFO  GenotypeGVCFs - GCS max retries/reopens: 20
11:26:45.250 INFO  GenotypeGVCFs - Requester pays: disabled
11:26:45.250 INFO  GenotypeGVCFs - Initializing engine
11:26:45.459 INFO  FeatureManager - Using codec VCFCodec to read file file:///dcs04/hicks/data/sparthib/retina_lrs/09_ASE/H9_DNA_Seq_data/vcf/SRR1091088.g.vcf.gz
11:26:45.790 INFO  GenotypeGVCFs - Done initializing engine
11:26:45.853 INFO  ProgressMeter - Starting traversal
11:26:45.853 INFO  ProgressMeter -        Current Locus  Elapsed Minutes    Variants Processed  Variants/Minute
11:26:46.226 WARN  ReferenceConfidenceVariantContextMerger - Detected invalid annotations: When trying to merge variant contexts at location chr1:789489 the annotation MLEAC=[1, 0] was not a numerical value and was ignored
11:26:46.288 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr1:789489 and possibly subsequent; at least 10 samples must have called genotypes
11:26:55.854 INFO  ProgressMeter -         chr1:8834899              0.2               1345000        8070000.0
11:27:05.856 INFO  ProgressMeter -        chr1:21097882              0.3               3398000       10192471.1
11:27:15.860 INFO  ProgressMeter -        chr1:30711916              0.5               5095000       10187622.9
11:27:25.863 INFO  ProgressMeter -        chr1:39396160              0.7               6623000        9932017.0
11:27:35.866 INFO  ProgressMeter -        chr1:48459695              0.8               8149000        9776258.2
11:27:45.867 INFO  ProgressMeter -        chr1:59245280              1.0               9923000        9920685.2
11:27:55.867 INFO  ProgressMeter -        chr1:72462492              1.2              11975000       10262233.3
11:28:05.867 INFO  ProgressMeter -        chr1:86545418              1.3              14023000       10515409.8
11:28:15.871 INFO  ProgressMeter -        chr1:99748362              1.5              16073000       10713190.7
11:28:25.872 INFO  ProgressMeter -       chr1:113511706              1.7              18086000       10849538.6
11:28:35.872 INFO  ProgressMeter -       chr1:152745350              1.8              20073000       10947018.2
11:28:45.875 INFO  ProgressMeter -       chr1:165237530              2.0              22121000       11058472.6
11:28:55.876 INFO  ProgressMeter -       chr1:178354126              2.2              24180000       11158025.9
11:29:05.877 INFO  ProgressMeter -       chr1:191452959              2.3              26138000       11200080.0
11:29:15.882 INFO  ProgressMeter -       chr1:204413481              2.5              28092000       11234702.9
11:29:25.883 INFO  ProgressMeter -       chr1:217314815              2.7              30123000       11294007.4
11:29:35.883 INFO  ProgressMeter -       chr1:229867049              2.8              32099000       11327059.9
11:29:45.883 INFO  ProgressMeter -       chr1:241250102              3.0              33932000       11308781.9
11:29:55.885 INFO  ProgressMeter -         chr2:5295742              3.2              35910000       11338090.4
11:30:05.886 INFO  ProgressMeter -        chr2:18149774              3.3              37906000       11369924.0
11:30:15.886 INFO  ProgressMeter -        chr2:31029066              3.5              39989000       11423633.4
11:30:25.890 INFO  ProgressMeter -        chr2:43561690              3.7              41988000       11449347.2
11:30:35.891 INFO  ProgressMeter -        chr2:55960948              3.8              43960000       11465931.7
11:30:45.892 INFO  ProgressMeter -        chr2:69071975              4.0              46040000       11508129.9
11:30:55.894 INFO  ProgressMeter -        chr2:81483998              4.2              47993000       11516431.3
11:31:05.896 INFO  ProgressMeter -       chr2:101302474              4.3              50071000       11552935.5
11:31:15.899 INFO  ProgressMeter -       chr2:116082753              4.5              52098000       11575361.2
11:31:25.901 INFO  ProgressMeter -       chr2:129204153              4.7              54124000       11596053.5
11:31:35.901 INFO  ProgressMeter -       chr2:143704499              4.8              56144000       11614077.7
11:31:45.903 INFO  ProgressMeter -       chr2:157222590              5.0              58185000       11635060.8
11:31:55.903 INFO  ProgressMeter -       chr2:170409918              5.2              60209000       11651475.6
11:32:05.907 INFO  ProgressMeter -       chr2:183168105              5.3              62239000       11667843.6
11:32:15.911 INFO  ProgressMeter -       chr2:197262014              5.5              64268000       11683037.5
11:32:25.914 INFO  ProgressMeter -       chr2:210015274              5.7              66340000       11704958.8
11:32:35.918 INFO  ProgressMeter -       chr2:222630906              5.8              68279000       11702831.5
11:32:45.918 INFO  ProgressMeter -       chr2:234875724              6.0              70217000       11700720.7
11:32:55.919 INFO  ProgressMeter -         chr3:5191873              6.2              72185000       11703588.0
11:33:05.922 INFO  ProgressMeter -        chr3:17442861              6.3              74182000       11710820.9
11:33:15.926 INFO  ProgressMeter -        chr3:30874785              6.5              76208000       11722143.6
11:33:25.927 INFO  ProgressMeter -        chr3:43721319              6.7              78263000       11737307.9
11:33:35.926 INFO  ProgressMeter -        chr3:55437251              6.8              80320000       11752053.9
11:33:45.930 INFO  ProgressMeter -        chr3:67545640              7.0              82336000       11760129.7
11:33:55.932 INFO  ProgressMeter -        chr3:80858277              7.2              84336000       11765652.4
11:34:05.935 INFO  ProgressMeter -        chr3:98571805              7.3              86340000       11771442.6
11:34:15.939 INFO  ProgressMeter -       chr3:112158374              7.5              88354000       11778282.4
11:34:25.942 INFO  ProgressMeter -       chr3:124926633              7.7              90374000       11785632.8
11:34:35.943 INFO  ProgressMeter -       chr3:137040634              7.8              92326000       11784066.4
11:34:45.944 INFO  ProgressMeter -       chr3:150384999              8.0              94384000       11795763.7
11:34:55.946 INFO  ProgressMeter -       chr3:164203198              8.2              96425000       11804902.3
11:35:05.950 INFO  ProgressMeter -       chr3:177682500              8.3              98437000       11810148.8
11:35:15.952 INFO  ProgressMeter -       chr3:190348276              8.5             100483000       11819258.3
11:35:25.956 INFO  ProgressMeter -         chr4:4685710              8.7             102492000       11823658.0
11:35:35.959 INFO  ProgressMeter -        chr4:17504239              8.8             104459000       11823182.5
11:35:45.962 INFO  ProgressMeter -        chr4:31064581              9.0             106455000       11825946.2
11:35:55.965 INFO  ProgressMeter -        chr4:44752498              9.2             108476000       11831336.2
11:36:05.968 INFO  ProgressMeter -        chr4:60845805              9.3             110486000       11835355.2
11:36:15.969 INFO  ProgressMeter -        chr4:74776562              9.5             112443000       11833697.0
11:36:25.972 INFO  ProgressMeter -        chr4:87726855              9.7             114482000       11840536.2
11:36:35.977 INFO  ProgressMeter -       chr4:101621604              9.8             116533000       11848323.4
11:36:45.980 INFO  ProgressMeter -       chr4:115370031             10.0             118568000       11854310.6
11:36:55.984 INFO  ProgressMeter -       chr4:129336019             10.2             120582000       11857978.0
11:37:05.985 INFO  ProgressMeter -       chr4:143533369             10.3             122583000       11860345.9
11:37:15.990 INFO  ProgressMeter -       chr4:156996575             10.5             124604000       11864467.6
11:37:25.994 INFO  ProgressMeter -       chr4:170719910             10.7             126568000       11863136.4
11:37:35.994 INFO  ProgressMeter -       chr4:183796593             10.8             128492000       11858227.7
11:37:45.994 INFO  ProgressMeter -         chr5:6165501             11.0             130428000       11854558.3
11:37:55.998 INFO  ProgressMeter -        chr5:18974129             11.2             132422000       11856120.7
11:38:06.002 INFO  ProgressMeter -        chr5:33517143             11.3             134400000       11856225.6
11:38:16.003 INFO  ProgressMeter -        chr5:50770926             11.5             136415000       11859595.7
11:38:26.004 INFO  ProgressMeter -        chr5:64383329             11.7             138462000       11865611.8
11:38:36.004 INFO  ProgressMeter -        chr5:79102606             11.8             140533000       11873503.0
11:38:46.006 INFO  ProgressMeter -        chr5:92834767             12.0             142619000       11882408.2
11:38:56.007 INFO  ProgressMeter -       chr5:107296063             12.2             144658000       11887190.9
11:39:06.008 INFO  ProgressMeter -       chr5:120411020             12.3             146662000       11889023.2
11:39:16.008 INFO  ProgressMeter -       chr5:133640355             12.5             148709000       11894261.9
11:39:26.013 INFO  ProgressMeter -       chr5:146203111             12.7             150789000       11901889.1
11:39:36.016 INFO  ProgressMeter -       chr5:158885622             12.8             152826000       11905999.1
11:39:46.019 INFO  ProgressMeter -       chr5:172015316             13.0             154844000       11908542.5
11:39:56.021 INFO  ProgressMeter -         chr6:3184731             13.2             156854000       11910429.2
11:40:06.025 INFO  ProgressMeter -        chr6:15351439             13.3             158852000       11911339.1
11:40:16.028 INFO  ProgressMeter -        chr6:27897753             13.5             160845000       11911870.9
11:40:26.030 INFO  ProgressMeter -        chr6:38717020             13.7             162725000       11904137.8
11:40:36.032 INFO  ProgressMeter -        chr6:51427106             13.8             164755000       11907432.0
11:40:46.037 INFO  ProgressMeter -        chr6:68216620             14.0             166751000       11908177.3
11:40:56.039 INFO  ProgressMeter -        chr6:82016212             14.2             168762000       11910019.6
11:41:06.043 INFO  ProgressMeter -        chr6:95605919             14.3             170747000       11909950.1
11:41:16.045 INFO  ProgressMeter -       chr6:108929669             14.5             172765000       11912198.7
11:41:26.045 INFO  ProgressMeter -       chr6:122279861             14.7             174802000       11915718.4
11:41:36.045 INFO  ProgressMeter -       chr6:135909657             14.8             176861000       11920641.8
11:41:46.048 INFO  ProgressMeter -       chr6:149229442             15.0             178933000       11926282.6
11:41:56.051 INFO  ProgressMeter -       chr6:161594480             15.2             180931000       11926921.4
11:42:06.053 INFO  ProgressMeter -         chr7:3587664             15.3             182905000       11926007.3
11:42:16.054 INFO  ProgressMeter -        chr7:15720897             15.5             184735000       11915811.7
11:42:26.056 INFO  ProgressMeter -        chr7:28022242             15.7             186700000       11914448.3
11:42:36.059 INFO  ProgressMeter -        chr7:40934444             15.8             188726000       11916952.7
11:42:46.064 INFO  ProgressMeter -        chr7:54033131             16.0             190747000       11919080.2
11:42:56.066 INFO  ProgressMeter -        chr7:71917600             16.2             192732000       11918949.8
11:43:06.067 INFO  ProgressMeter -        chr7:86508861             16.3             194770000       11922102.6
11:43:16.067 INFO  ProgressMeter -       chr7:100295924             16.5             196877000       11929360.7
11:43:26.069 INFO  ProgressMeter -       chr7:113303104             16.7             198876000       11929983.1
11:43:36.069 INFO  ProgressMeter -       chr7:127588674             16.8             200941000       11934536.8
11:43:46.072 INFO  ProgressMeter -       chr7:139926076             17.0             202991000       11938083.9
11:43:56.073 INFO  ProgressMeter -       chr7:153418821             17.2             205004000       11939430.4
