seq_id	aln_start	aln_end	env_start	env_end	hmm_acc	hmm_name	type	hmm_start	hmm_end	hmm_length	score	evalue	significance	clan
BambuTx102	148	329	147	329	PF00596.26	Aldolase_II	Domain	2	183	183	157.1	5.3e-46	1	No_Clan
BambuTx105	157	248	148	252	PF00640.28	PID	Domain	49	136	140	33.8	3.5e-08	1	CL0266
BambuTx105	561	616	561	616	PF11830.13	DUF3350	Family	1	63	63	80.6	8.3e-23	1	No_Clan
BambuTx105	675	884	674	885	PF00566.24	RabGAP-TBC	Family	2	215	216	191.5	1.8e-56	1	CL0816
BambuTx111	408	479	408	479	PF06743.20	FAST_1	Family	1	72	72	66.5	1.7e-18	1	No_Clan
BambuTx111	490	580	490	580	PF08368.17	FAST_2	Family	1	89	89	93.7	9e-27	1	No_Clan
BambuTx111	594	650	593	650	PF08373.15	RAP	Domain	2	58	58	66.5	1.9e-18	1	CL0236
BambuTx125	20	149	16	150	PF00134.28	Cyclin_N	Domain	6	126	127	72.7	2.7e-20	1	CL0065
BambuTx127	26	58	25	69	PF16093.10	PAC4	Family	2	36	77	31.4	1.7e-07	1	CL0765
BambuTx128	58	256	58	256	PF02146.22	SIR2	Family	1	180	180	160.1	6.4e-47	1	CL0063
BambuTx129	11	101	2	102	PF00125.29	Histone	Domain	27	121	122	90.7	9.3e-26	1	CL0012
BambuTx13	121	191	120	193	PF00538.24	Linker_histone	Domain	2	72	74	69.6	2.5e-19	1	CL0123
BambuTx13	228	290	218	291	PF00538.24	Linker_histone	Domain	11	73	74	41.6	1.3e-10	1	CL0123
BambuTx13	306	373	302	374	PF00538.24	Linker_histone	Domain	6	73	74	66.8	1.7e-18	1	CL0123
BambuTx132	62	108	59	108	PF07896.17	DUF1674	Family	4	50	50	78.7	3.8e-22	1	No_Clan
BambuTx134	2	58	1	58	PF04908.20	SH3BGR	Family	42	99	99	91.7	3.2e-26	1	CL0172
BambuTx153	3	67	1	70	PF02214.27	BTB_2	Domain	26	91	94	45.2	1.1e-11	1	CL0033
