isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype
ENST00000266395	7.71307943528732	9.97014040579222	268.541028926448	2.81566273672091e-09	1.55013182429592e-05	ENSG00000139053	PDE6H	protein_coding
ENST00000333151	-5.11310698299682	5.96210239533432	242.619763426581	3.89089313327288e-09	1.55013182429592e-05	ENSG00000276368	H2AC14	protein_coding
ENST00000409683	-3.12829833206911	7.11401711186503	263.076369687307	2.45851443504871e-09	1.55013182429592e-05	ENSG00000187514	PTMA	protein_coding
transcript21382	-4.08221255861605	6.31992268287776	244.505597457552	3.69642992295462e-09	1.55013182429592e-05	NA	NA	NA
ENST00000359842	5.82124748105022	5.50459444090825	184.996224004479	1.72678888985026e-08	5.50362154973074e-05	ENSG00000143171	RXRG	protein_coding
ENST00000359611	-3.35455520354967	6.5468529924448	174.601291752869	2.37062511739254e-08	6.29638031179459e-05	ENSG00000278677	H2AC17	protein_coding
ENST00000294964	-3.60265130992312	5.34429802851507	156.461532713495	4.31157643747103e-08	7.63436467861536e-05	ENSG00000162878	PKDCC	protein_coding
transcript191613	-3.15049898162039	6.02014642852619	156.71042030882	4.27449226670619e-08	7.63436467861536e-05	NA	NA	NA
transcript43059	4.4141141227723	5.45150891737096	160.811069056842	3.71419544946613e-08	7.63436467861536e-05	NA	NA	NA
ENST00000225831	-2.90090188203109	6.45537689916947	148.63879598937	5.6949435158528e-08	8.2504199880573e-05	ENSG00000108691	CCL2	protein_coding
ENST00000672860	3.60427175932789	7.82488170454427	149.952806349757	5.42975349139539e-08	8.2504199880573e-05	ENSG00000112715	VEGFA	protein_coding
ENST00000592299	-3.55121075074232	3.79844210712406	142.791672790777	7.07559521999486e-08	9.39639045215318e-05	ENSG00000176170	SPHK1	protein_coding
transcript286493	-2.40355351845517	6.4765922521423	139.357299466549	8.06910007887154e-08	9.89147529668438e-05	NA	NA	NA
transcript129902	-2.78282633926126	5.37581226297411	135.709108209515	9.3086978636739e-08	0.000105959577968219	NA	NA	NA
ENST00000511277	5.31372398486719	7.55122707779766	128.314588193155	1.40839516464375e-07	0.000140276158398517	ENSG00000167083	GNGT2	protein_coding
transcript211846	4.57543338383946	6.91620544019115	125.752797186483	1.40114273071214e-07	0.000140276158398517	NA	NA	NA
ENST00000242994	2.69540977291401	6.93827228241528	119.100997786484	1.87288597222599e-07	0.000157085846596808	ENSG00000123307	NEUROD4	protein_coding
ENST00000366718	4.43697677109456	6.53004760165683	119.55453064629	1.83533493927246e-07	0.000157085846596808	ENSG00000143774	GUK1	protein_coding_CDS_not_defined
ENST00000616661	4.45913674013793	7.20215085982901	128.731733330438	1.83496752316259e-07	0.000157085846596808	ENSG00000162496	DHRS3	protein_coding
ENST00000261366	-2.21186561811578	5.99715042709174	112.946641881126	2.48318667346565e-07	0.000165758771969297	ENSG00000113368	LMNB1	protein_coding
ENST00000393881	-2.53296310180448	5.13365957127879	112.833971283923	2.49636704773038e-07	0.000165758771969297	ENSG00000168256	NKIRAS2	protein_coding
ENST00000610745	-3.35850926954294	5.36423159768182	116.204685678847	2.36135709186112e-07	0.000165758771969297	ENSG00000138061	CYP1B1	protein_coding
transcript205181	4.64939437605904	5.36915380184063	114.260809152631	2.33532437434327e-07	0.000165758771969297	NA	NA	NA
transcript46634	-2.04095076235468	8.26718010079152	114.461170028708	2.31369925951959e-07	0.000165758771969297	NA	NA	NA
ENST00000476531	2.51508619805745	8.91693261296889	108.44693502272	3.07962611563685e-07	0.000181766376958477	ENSG00000102144	PGK1	protein_coding_CDS_not_defined
ENST00000556029	-2.54263006629875	5.70995285252994	108.634056639647	3.0516894654758e-07	0.000181766376958477	ENSG00000120802	TMPO	protein_coding
transcript204940	5.25587501169495	4.90100328247804	108.65274712496	3.048915390887e-07	0.000181766376958477	NA	NA	NA
ENST00000266674	-4.02820730734463	3.9682740007404	107.230439747467	3.26873530169464e-07	0.000186037734885021	ENSG00000139292	LGR5	protein_coding
