seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr1	65419	65433	15	+	ENST00000641515	OR4F5	OR4F5
chr1	852651	852670	20	+	ENST00000692194	LINC01128	LINC01128
chr1	930312	930336	25	+	ENST00000341065	SAMD11	SAMD11
chr1	935772	935793	22	+	ENST00000437963	SAMD11	SAMD11
chr1	1051032	1051043	12	+	ENST00000620552	AGRN	AGRN
chr1	1051032	1051043	12	+	ENST00000651234	AGRN	AGRN
chr1	1051993	1052016	24	+	ENST00000620552	AGRN	AGRN
chr1	1051993	1052016	24	+	ENST00000651234	AGRN	AGRN
chr1	1183920	1183927	8	+	ENST00000460998	TTLL10	TTLL10
chr1	1523955	1523964	10	+	ENST00000400830	ATAD3A	ATAD3A
chr1	1629385	1629404	20	+	ENST00000487053	MIB2	MIB2
chr1	1634451	1634474	24	+	ENST00000512731	MMP23B	MMP23B
chr1	2503617	2503643	27	+	ENST00000462379	PLCH2	PLCH2
chr1	2557813	2557834	22	+	ENST00000466750	TNFRSF14	TNFRSF14
chr1	2768091	2768091	1	+	ENST00000648684	ENSG00000285945	ENSG00000285945
chr1	3244132	3244137	6	+	ENST00000463591	PRDM16	PRDM16
chr1	3426051	3426072	22	+	ENST00000606170	PRDM16	PRDM16
chr1	3772771	3772788	18	+	ENST00000561886	SMIM1	SMIM1
chr1	3998056	3998058	3	+	ENST00000641562	LINC02780	LINC02780
chr1	6082195	6082218	24	+	ENST00000658691	KCNAB2	KCNAB2
chr1	6087501	6087511	11	+	ENST00000656607	KCNAB2	KCNAB2
chr1	6098485	6098508	24	+	ENST00000654144	KCNAB2	KCNAB2
chr1	6450444	6450470	27	+	ENST00000633239	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000434576	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000461727	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000475228	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000477679	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000633239	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000645284	ESPN	ESPN
chr1	6785552	6785575	24	+	ENST00000461311	CAMTA1	CAMTA1
chr1	7704887	7704898	12	+	ENST00000700425	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000495233	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700414	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700415	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700419	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700420	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700423	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700424	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700425	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700445	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700446	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000700447	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000710284	CAMTA1	CAMTA1
chr1	7749771	7749791	21	+	ENST00000710285	CAMTA1	CAMTA1
chr1	9629889	9629915	27	+	ENST00000698706	PIK3CD	PIK3CD
chr1	10273014	10273031	18	+	ENST00000377081	KIF1B	KIF1B
chr1	10273014	10273031	18	+	ENST00000377086	KIF1B	KIF1B
chr1	10273014	10273031	18	+	ENST00000620295	KIF1B	KIF1B
chr1	10273014	10273031	18	+	ENST00000622724	KIF1B	KIF1B
chr1	10273014	10273031	18	+	ENST00000676179	KIF1B	KIF1B
chr1	10355370	10355396	27	+	ENST00000635499	KIF1B	KIF1B
chr1	10399112	10399125	14	+	ENST00000483936	PGD	PGD
chr1	10474982	10475002	21	+	ENST00000491661	PEX14	PEX14
chr1	11018853	11018873	21	+	ENST00000610369	TARDBP	TARDBP
chr1	11029758	11029781	24	+	ENST00000612387	TARDBP	TARDBP
chr1	12135588	12135613	26	+	ENST00000263932	TNFRSF8	TNFRSF8
chr1	12135588	12135613	26	+	ENST00000413146	TNFRSF8	TNFRSF8
chr1	12135588	12135613	26	+	ENST00000417814	TNFRSF8	TNFRSF8
chr1	12135588	12135613	26	+	ENST00000479933	TNFRSF8	TNFRSF8
chr1	12135588	12135613	26	+	ENST00000514649	TNFRSF8	TNFRSF8
chr1	12192348	12192358	11	+	ENST00000536782	TNFRSF1B	TNFRSF1B
chr1	12244424	12244436	13	+	ENST00000476169	VPS13D	VPS13D
chr1	12257935	12257955	21	+	ENST00000489961	VPS13D	VPS13D
chr1	12400310	12400330	21	+	ENST00000466732	VPS13D	VPS13D
chr1	13615905	13615917	13	+	ENST00000487038	PDPN	PDPN
chr1	15327120	15327142	23	+	ENST00000471347	FHAD1	FHAD1
chr1	15410265	15410279	15	+	ENST00000445566	EFHD2	EFHD2
chr1	15774618	15774631	14	+	ENST00000502739	FBLIM1	FBLIM1
chr1	17358838	17358849	12	+	ENST00000467001	PADI4	PADI4
chr1	17634548	17634562	15	+	ENST00000361221	ARHGEF10L	ARHGEF10L
chr1	17634548	17634562	15	+	ENST00000375415	ARHGEF10L	ARHGEF10L
chr1	19312341	19312358	18	+	ENST00000400548	SLC66A1	SLC66A1
