seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr1	1629385	1629404	20	+	ENST00000487053	MIB2	MIB2
chr1	6450444	6450470	27	+	ENST00000633239	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000461727	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000633239	ESPN	ESPN
chr1	6457361	6457372	12	+	ENST00000645284	ESPN	ESPN
chr1	25763638	25763639	2	+	ENST00000611903	MAN1C1	MAN1C1
chr1	25781251	25781260	10	+	ENST00000611903	MAN1C1	MAN1C1
chr1	93278463	93278477	15	+	ENST00000343253	CCDC18	CCDC18
chr1	169106683	169106707	25	+	ENST00000689522	ATP1B1	ATP1B1
chr1	205061404	205061420	17	+	ENST00000638980	CNTN2	CNTN2
chr1	223757369	223757380	12	+	ENST00000295006	CAPN2	CAPN2
chr1	1299345	1299356	12	-	ENST00000354700	ACAP3	ACAP3
chr1	1356681	1356704	24	-	ENST00000309212	MXRA8	MXRA8
chr1	1356681	1356704	24	-	ENST00000477278	MXRA8	MXRA8
chr1	8868049	8868057	9	-	ENST00000489867	ENO1	ENO1
chr1	11080499	11080514	16	-	ENST00000474216	EXOSC10	EXOSC10
chr1	41160875	41160898	24	-	ENST00000695335	SCMH1	SCMH1
chr2	27772674	27772692	19	+	ENST00000296102	MRPL33	MRPL33
chr2	27772674	27772692	19	+	ENST00000379666	MRPL33	MRPL33
chr2	54135453	54135469	17	+	ENST00000394666	ACYP2	ACYP2
chr2	55232688	55232708	21	+	ENST00000272317	RPS27A	RPS27A
chr2	238347455	238347475	21	+	ENST00000373327	TRAF3IP1	TRAF3IP1
chr2	238347455	238347475	21	+	ENST00000391993	TRAF3IP1	TRAF3IP1
chr2	127053422	127053445	24	-	ENST00000357970	BIN1	BIN1
chr2	152677451	152677475	25	-	ENST00000410080	PRPF40A	PRPF40A
chr2	152690962	152690978	17	-	ENST00000410080	PRPF40A	PRPF40A
chr2	189104264	189104277	14	-	ENST00000374866	COL5A2	COL5A2
chr3	141916555	141916574	20	+	ENST00000465172	ATP1B3	ATP1B3
chr3	15695188	15695214	27	-	ENST00000399451	ANKRD28	ANKRD28
chr3	62493645	62493665	21	-	ENST00000383710	CADPS	CADPS
chr3	62512751	62512768	18	-	ENST00000383710	CADPS	CADPS
chr3	64182648	64182661	14	-	ENST00000485770	PRICKLE2	PRICKLE2
chr3	69249226	69249248	23	-	ENST00000398540	FRMD4B	FRMD4B
chr3	108050578	108050602	25	-	ENST00000361309	CD47	CD47
chr3	177196340	177196353	14	-	ENST00000491623	TBL1XR1	TBL1XR1
chr3	194437556	194437573	18	-	ENST00000645621	ATP13A3	ATP13A3
chr4	15979881	15979904	24	-	ENST00000508167	PROM1	PROM1
chr4	76145555	76145577	23	-	ENST00000695546	NUP54	NUP54
chr4	82374119	82374144	26	-	ENST00000507010	HNRNPD	HNRNPD
chr4	101195916	101195928	13	-	ENST00000492351	PPP3CA	PPP3CA
chr4	151688737	151688763	27	-	ENST00000505211	GATB	GATB
chr6	150823654	150823676	23	+	ENST00000358517	PLEKHG1	PLEKHG1
chr6	150823654	150823676	23	+	ENST00000696526	PLEKHG1	PLEKHG1
chr6	35479305	35479316	12	-	ENST00000338863	TEAD3	TEAD3
chr6	35479305	35479316	12	-	ENST00000639578	TEAD3	TEAD3
chr6	111708011	111708020	10	-	ENST00000518630	FYN	FYN
