isoform_id	gene_name
ENST00000335698	ATP5F1C
ENST00000358278	TPM1
ENST00000396603	CLTA
ENST00000452853	PFN2
ENST00000342503	RTN1
ENST00000409240	DCTN1
ENST00000267484	RTN1
ENST00000381006	RUFY3
transcript23424.chr19.nnic	PTPRS
ENST00000249837	VPS13C
ENST00000356708	ATP5F1C
ENST00000409197	DYNC1I2
transcript192033.chr2.nnic	LRP2
ENST00000439356	MAP4
ENST00000348257	TPD52L2
ENST00000355841	PDLIM7
ENST00000263574	APLP2
ENST00000262570	CHCHD3
transcript180604.chr6.nnic	SFT2D1
ENST00000355572	PDLIM7
ENST00000649046	LRP2
ENST00000414183	EWSR1
transcript185202.chr5.nnic	RNF130
ENST00000334895	TPM1
ENST00000358548	TPD52L2
ENST00000226328	RUFY3
ENST00000309244	ETFB
ENST00000354232	ETFB
ENST00000378567	PRKCZ
ENST00000645819	VPS13C
ENST00000303635	CAMTA1
ENST00000400921	PRKCZ
ENST00000225394	GIT1
transcript101707.chr2.nnic	CD207
ENST00000361731	SFT2D1
ENST00000379370	AGRN
ENST00000340296	DYNC1I2
ENST00000443831	LRP2
transcript61214.chr5.nnic	MRPS27
ENST00000345519	CLTA
transcript91961.chr15.nnic	PKM
ENST00000409400	BIN1
ENST00000346798	APP
transcript94194.chr15.nnic	PARP6
ENST00000316724	BIN1
transcript42044.chr19.nnic	ELAVL1
ENST00000370558	SH3GLB1
ENST00000338167	APLP2
ENST00000407627	ELAVL1
ENST00000481563	PAX6
