#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000616016.5	3465	845	0.41608	8.709694862365723	1	1	coding
ENST00000618323.5	3468	846	0.41608	8.709694862365723	1	1	coding
ENST00000342066.8	2557	682	0.42995000000000005	7.337368202209473	1	1	coding
ENST00000341065.8	2191	585	0.43303	6.61875286102295	1	1	coding
ENST00000428771.6	1040	248	0.38166	11.277341651916505	1	0.988662	coding
ENST00000304952.11	885	222	0.38166	11.114494514465331	1	0.972887	coding
ENST00000481869.1	1038	140	0.38619	11.386099815368652	1	0.574428	coding
ENST00000484667.2	667	190	0.40831	10.988652229309082	1	0.962297	coding
ENST00000379339.5	2429	381	0.35573999999999995	10.071073722839355	1	0.999944	coding
ENST00000421241.7	1832	199	0.36376	9.953612327575684	1	0.938846	coding
ENST00000379325.7	2010	190	0.30528	9.49472637176514	1	0.700508	coding
ENST00000487177.5	3315	156	0.2545	10.041740608215331	1	0.224896	noncoding
ENST00000477196.5	3214	255	0.27673	11.331366157531736	1	0.612579	coding
ENST00000482816.5	982	190	0.35085	9.49472637176514	1	0.899659	coding
ENST00000472741.5	661	84	0.24705000000000002	11.6381067276001	1	0.073385	noncoding
ENST00000480643.1	579	50	0.36376	11.999967765808105	1	0.0278148	noncoding
ENST00000360001.12	1933	363	0.49151	4.758412742614746	1	1	coding
ENST00000263741.12	2079	349	0.45797	4.988838005065917	1	1	coding
ENST00000494748.1	3516	131	0.33101	4.316375923156738	1	0.826597	coding
ENST00000478938.1	2591	176	0.39291000000000004	4.501557350158691	1	0.995845	coding
ENST00000470030.6	2369	252	0.45408999999999994	7.153437232971191	1	0.999935	coding
ENST00000540437.5	2629	607	0.43943000000000004	8.09099178314209	1	1	coding
ENST00000545578.5	2263	572	0.42819	8.134894752502444	1	1	coding
ENST00000497304.6	932	103	0.4288	10.884858131408691	1	0.460172	noncoding
ENST00000435064.6	2114	601	0.41794	8.27479114532471	1	1	coding
ENST00000462432.5	2863	323	0.39213000000000003	9.383389472961426	1	0.999957	coding
ENST00000478641.5	3079	126	0.29612000000000005	10.583468437194824	1	0.167533	noncoding
ENST00000429572.5	1104	290	0.3765	8.841983985900882	1	0.999713	coding
ENST00000496353.1	2428	208	0.28308	9.730616188049318	1	0.660544	coding
ENST00000474033.5	1171	61	0.3202900000000001	9.302675056457517	1	0.0290844	noncoding
ENST00000342753.8	2231	342	0.40895000000000004	6.462843513488769	1	1	coding
ENST00000309212.11	2293	443	0.42212000000000005	6.746299552917481	1	1	coding
ENST00000445648.5	2001	451	0.42627999999999994	6.422942543029785	1	1	coding
ENST00000477278.3	2728	434	0.3956799999999999	6.62261791229248	1	1	coding
ENST00000476718.1	1001	77	0.42529	7.6640218734741214	1	0.141167	noncoding
ENST00000464351.1	405	0	0.38190999999999997	0.0	-1	1.15804e-05	noncoding
ENST00000480479.5	2792	142	0.35019000000000006	6.8254194259643555	1	0.704567	coding
ENST00000400809.8	3112	521	0.32084999999999997	10.268991661071777	1	0.999992	coding
ENST00000463260.5	1941	60	0.30091	10.710729026794432	1	0.0340554	noncoding
ENST00000496007.5	4452	227	0.29576	9.14453411102295	1	0.880275	coding
BambuTx2	4253	299	0.32445999999999997	10.787059593200684	1	0.984443	coding
ENST00000481223.6	2815	299	0.36865	10.787059593200684	1	0.998338	coding
ENST00000492998.5	745	142	0.45883999999999997	6.8254194259643555	1	0.938321	coding
BambuTx3	2317	112	0.32883	8.931852912902833	1	0.192425	noncoding
ENST00000537107.6	2024	400	0.41057	6.094242668151854	1	1	coding
ENST00000520296.5	1632	88	0.32247000000000003	8.953901100158692	1	0.0768122	noncoding
ENST00000427211.3	1976	175	0.30805000000000005	5.284116554260252	1	0.944267	coding
ENST00000454272.2	1506	400	0.39974000000000004	6.094242668151854	1	1	coding
ENST00000673477.1	4098	649	0.45494	9.30377101898193	1	1	coding
ENST00000308647.8	2114	543	0.42102999999999996	9.237755393981931	1	1	coding
ENST00000472194.6	4314	603	0.45700999999999997	9.171095085144042	1	1	coding
ENST00000485748.5	3233	202	0.43024	7.52010555267334	1	0.997164	coding
ENST00000474481.1	3367	178	0.31998	8.866868782043458	1	0.743286	coding
ENST00000479659.5	4247	600	0.39172999999999997	8.176670265197757	1	1	coding
ENST00000489635.5	3034	855	0.40134	8.364531135559083	1	1	coding
ENST00000355826.10	3206	1000	0.39111	8.719107246398927	1	1	coding
ENST00000505820.7	3248	1014	0.39111	8.80755786895752	1	1	coding
ENST00000511502.5	3326	673	0.37515	8.938106346130372	1	1	coding
ENST00000477990.1	2821	122	0.27469	5.10228862762451	1	0.56532	coding
ENST00000487053.5	3252	817	0.39452	8.24287929534912	1	1	coding
ENST00000378712.5	2890	754	0.39576	7.41046314239502	1	1	coding
ENST00000507082.1	1578	55	0.33296000000000003	6.707308006286621	1	0.0203479	noncoding
ENST00000463492.1	486	47	0.34931	7.776192665100098	1	0.0143668	noncoding
ENST00000504599.6	3311	970	0.39111	8.38735294342041	1	1	coding
ENST00000470373.1	546	97	0.3388	9.007667732238769	1	0.127375	noncoding
ENST00000610897.4	3145	341	0.33359	5.603949546813964	1	0.999995	coding
ENST00000378609.9	3163	341	0.32987	5.603949546813964	1	0.999994	coding
BambuTx5	2933	341	0.33943	5.603949546813964	1	0.999996	coding
ENST00000378567.8	2385	593	0.44007	5.48583812713623	1	1	coding
ENST00000484419.1	519	99	0.3293	7.668966865539551	1	0.132355	noncoding
ENST00000400921.6	2294	410	0.44778	4.64581470489502	1	1	coding
ENST00000461106.6	1916	489	0.40992	5.611907005310059	1	1	coding
ENST00000481140.5	713	95	0.3147	4.435510444641113	-1	0.0550367	noncoding
ENST00000503672.1	1213	161	0.39612	9.56048412322998	1	0.892582	coding
ENST00000478770.6	1542	348	0.46016	5.13400478363037	1	1	coding
ENST00000505322.5	1859	458	0.48202999999999996	5.587920951843262	1	1	coding
ENST00000378531.8	1645	498	0.41037999999999997	6.644898796081543	1	1	coding
ENST00000606372.5	1960	464	0.36117	7.3213396072387695	1	1	coding
ENST00000378529.7	1500	351	0.369	6.0559900283813475	1	0.999999	coding
ENST00000469374.5	1907	136	0.35025	8.790473747253419	1	0.5	coding
ENST00000449373.2	4764	178	0.30229999999999996	10.062177085876463	1	0.537329	coding
ENST00000378525.2	1648	201	0.34113	8.864805793762208	1	0.9332	coding
ENST00000607031.1	3138	117	0.30615000000000003	11.165295600891113	1	0.137255	noncoding
ENST00000378295.9	5192	637	0.42058999999999996	6.47165355682373	1	1	coding
ENST00000354437.8	2140	500	0.44883999999999996	6.8308191299438485	1	1	coding
ENST00000346387.8	4854	541	0.40009	6.259246253967285	1	1	coding
ENST00000378288.8	5120	588	0.42058999999999996	7.970564842224121	1	1	coding
ENST00000603364.5	1551	351	0.45435000000000003	8.737029457092284	1	1	coding
ENST00000604194.1	1092	100	0.3739	9.390480995178223	1	0.219923	noncoding
ENST00000675966.1	7766	629	0.33595	8.537112998962403	1	1	coding
ENST00000378230.8	6431	926	0.3965	7.54323902130127	1	1	coding
ENST00000674623.1	6559	962	0.3965	7.535054206848145	1	1	coding
ENST00000674879.1	7030	527	0.30781000000000003	8.864741325378418	1	0.999999	coding
ENST00000674985.1	6435	527	0.36009	8.864741325378418	1	1	coding
ENST00000675108.1	6700	672	0.36009	6.613409996032716	1	1	coding
ENST00000675200.1	6344	678	0.40859	7.961410331726074	1	1	coding
ENST00000675666.1	6363	965	0.37395	6.796317863464354	1	1	coding
ENST00000675677.1	6233	860	0.38264000000000004	8.443053627014162	1	1	coding
ENST00000676009.1	6394	738	0.36009	7.0291872024536115	1	1	coding
ENST00000676052.1	6449	932	0.3965	7.536020469665529	1	1	coding
ENST00000675334.1	4953	859	0.40154	7.109216499328612	1	1	coding
ENST00000675375.1	5326	868	0.39546000000000003	7.546194648742676	1	1	coding
ENST00000428079.6	3152	894	0.47150000000000003	6.5789087295532225	1	1	coding
ENST00000461667.2	3328	867	0.43365000000000004	6.337229347229004	1	1	coding
ENST00000460696.1	3967	96	0.34160999999999997	5.096775245666502	1	0.28415	noncoding
ENST00000378161.5	4370	158	0.34380999999999995	9.117779731750488	1	0.682107	coding
ENST00000478423.6	4467	915	0.44217999999999996	8.417975425720218	1	1	coding
ENST00000378156.9	4955	1427	0.50048	8.402567481994634	1	1	coding
ENST00000489180.6	5548	912	0.40819999999999995	8.555937767028809	1	1	coding
ENST00000378169.7	4213	914	0.44671999999999995	8.417975425720218	1	1	coding
ENST00000468253.1	781	81	0.26552000000000003	9.359471702575682	-1	0.165671	noncoding
ENST00000470763.1	3156	171	0.27115	10.888855171203613	1	0.267897	noncoding
ENST00000622020.4	3004	912	0.46845000000000003	8.555937767028809	1	1	coding
ENST00000466897.1	1192	137	0.35545	8.709501457214355	1	0.543244	coding
ENST00000608083.5	1403	339	0.46064999999999995	6.804218482971191	1	1	coding
ENST00000361521.9	1806	371	0.47753	6.836957740783691	1	1	coding
ENST00000377855.6	1614	381	0.45316999999999996	8.854619789123536	1	1	coding
ENST00000645284.1	3543	855	0.45919	6.469379997253417	1	1	coding
