gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000007372	chr11	31801762	31801776	15	-	ENST00000423822.7	PAX6	PAX6
ENSG00000007372	chr11	31801762	31801776	15	-	ENST00000640613.1	PAX6	PAX6
ENSG00000030110	chr6	33574506	33574525	20	-	ENST00000442998.6	BAK1	BAK1
ENSG00000054523	chr1	10273014	10273031	18	+	ENST00000676179.1	KIF1B	KIF1B
ENSG00000054523	chr1	10273014	10273031	18	+	transcript6589.chr1.nic	KIF1B	KIF1B
ENSG00000097033	chr1	86730088	86730111	24	+	transcript46757.chr1.nnic	SH3GLB1	SH3GLB1
ENSG00000103197	chr16	2048041	2048065	25	+	ENST00000642797.1	TSC2	TSC2
ENSG00000105426	chr19	5218787	5218798	12	-	ENST00000262963.11	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	ENST00000588012.5	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	ENST00000588552.5	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	transcript24473.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	transcript24483.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	transcript24497.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	transcript24503.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5256108	5256119	12	-	ENST00000262963.11	PTPRS	PTPRS
ENSG00000105426	chr19	5256108	5256119	12	-	transcript24473.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5260805	5260822	18	-	ENST00000262963.11	PTPRS	PTPRS
ENSG00000105426	chr19	5260805	5260822	18	-	transcript24473.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5262964	5262972	9	-	ENST00000262963.11	PTPRS	PTPRS
ENSG00000105426	chr19	5262964	5262972	9	-	transcript24473.chr19.nic	PTPRS	PTPRS
ENSG00000112983	chr5	138178596	138178599	4	-	ENST00000454473.5	BRD8	BRD8
ENSG00000127948	chr7	75915155	75915179	25	+	ENST00000461988.6	POR	POR
ENSG00000127948	chr7	75915164	75915179	16	+	ENST00000394893.5	POR	POR
ENSG00000130706	chr20	62304461	62304485	25	+	transcript23697.chr20.nnic	ADRM1	ADRM1
ENSG00000136717	chr2	127053422	127053445	24	-	ENST00000316724.10	BIN1	BIN1
ENSG00000136717	chr2	127053422	127053445	24	-	ENST00000357970.7	BIN1	BIN1
ENSG00000136717	chr2	127053422	127053445	24	-	transcript42621.chr2.nic	BIN1	BIN1
ENSG00000136717	chr2	127053422	127053445	24	-	transcript42624.chr2.nnic	BIN1	BIN1
ENSG00000138443	chr2	203382189	203382206	18	+	ENST00000261018.12	ABI2	ABI2
ENSG00000142949	chr1	43575910	43575927	18	+	ENST00000436724.5	PTPRF	PTPRF
ENSG00000163539	chr3	33566732	33566734	3	-	ENST00000461133.8	CLASP2	CLASP2
ENSG00000163539	chr3	33574473	33574496	24	-	ENST00000399362.8	CLASP2	CLASP2
ENSG00000163539	chr3	33574473	33574496	24	-	transcript10302.chr3.nic	CLASP2	CLASP2
ENSG00000163539	chr3	33594951	33594968	18	-	ENST00000399362.8	CLASP2	CLASP2
ENSG00000163539	chr3	33594951	33594968	18	-	ENST00000461133.8	CLASP2	CLASP2
ENSG00000163539	chr3	33594951	33594968	18	-	transcript10302.chr3.nic	CLASP2	CLASP2
ENSG00000163539	chr3	33596711	33596734	24	-	ENST00000399362.8	CLASP2	CLASP2
ENSG00000163539	chr3	33596711	33596734	24	-	ENST00000461133.8	CLASP2	CLASP2
ENSG00000163539	chr3	33596711	33596734	24	-	transcript10302.chr3.nic	CLASP2	CLASP2
ENSG00000167371	chr16	29807511	29807526	16	+	transcript15015.chr16.nnic	PRRT2	PRRT2
ENSG00000168894	chr2	85596907	85596931	25	+	transcript32072.chr2.nnic	RNF181	RNF181
ENSG00000171735	chr1	7749771	7749791	21	+	ENST00000710284.1	CAMTA1	CAMTA1
ENSG00000171735	chr1	7749771	7749791	21	+	transcript5308.chr1.nic	CAMTA1	CAMTA1
ENSG00000171735	chr1	7749771	7749791	21	+	transcript5346.chr1.nic	CAMTA1	CAMTA1
ENSG00000172292	chr2	168766322	168766345	24	+	ENST00000392687.4	CERS6	CERS6
ENSG00000172292	chr2	168766322	168766345	24	+	transcript52470.chr2.nnic	CERS6	CERS6
ENSG00000174437	chr12	110282604	110282621	18	+	ENST00000308664.10	ATP2A2	ATP2A2
