gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	significant	condition_1	condition_2	label
ENSG00000223953	10.283503542648981	4.327690748654333	16.15977067833581	0.001519803174525602	0.1630377830687937	C1QTNF5	protein_coding	11	0.7877117386831809	FALSE	H2_Stage2	H2_Stage3	C1QTNF5
ENSG00000163914	9.2296044075843	5.936710663059332	28.10263351084905	2.038612534436975e-4	0.06617946316035826	RHO	protein_coding	3	1.1792767601051428	FALSE	H2_Stage2	H2_Stage3	RHO
ENSG00000118231	-9.141395036336684	7.796699315574072	6.712613424166181	0.022719773164083214	0.4037748969955919	CRYGD	protein_coding	2	0.39386068498421356	FALSE	H2_Stage2	H2_Stage3	CRYGD
ENSG00000143257	8.879810114261295	5.369009873233388	8.141064425365595	0.01298350747929956	0.3587977807261201	NR1I3	protein_coding	1	0.4451502518636774	FALSE	H2_Stage2	H2_Stage3	NR1I3
ENSG00000130561	8.676681985212563	5.987211496673623	66.28174193565363	7.924752474549503e-7	0.0024072800365410214	SAG	protein_coding	2	2.618473385732302	TRUE	H2_Stage2	H2_Stage3	SAG
ENSG00000108255	-8.16659953439815	10.784971567803028	13.264806729874303	0.002252188538184136	0.19217846570569302	CRYBA1	protein_coding	17	0.7162952782134933	FALSE	H2_Stage2	H2_Stage3	CRYBA1
ENSG00000042813	8.162188172366191	2.545268165792972	14.005161716505766	0.004029918714382299	0.22781581977072385	ZPBP	protein_coding	7	0.6424161213430486	FALSE	H2_Stage2	H2_Stage3	ZPBP
ENSG00000187908	8.078167634949468	3.0551901537417683	13.309080598496378	0.003466973791310888	0.21533467216638597	DMBT1	protein_coding	10	0.6668860365109589	FALSE	H2_Stage2	H2_Stage3	DMBT1
ENSG00000179774	-7.898181733931991	8.162079316746985	10.179330069974721	0.005795377574773276	0.26701056950840946	ATOH7	protein_coding	10	0.5734715469188507	FALSE	H2_Stage2	H2_Stage3	ATOH7
ENSG00000139112	7.792423930894015	3.1454448212596926	8.86932201587463	0.01090406217363403	0.33829142359480874	GABARAPL1	protein_coding	12	0.4707090123588213	FALSE	H2_Stage2	H2_Stage3	GABARAPL1
ENSG00000286522	-7.6203876699190225	5.46987927063106	10.325076006778682	0.005924520199435277	0.26808027298094433	H3C2	protein_coding	6	0.571735142938909	FALSE	H2_Stage2	H2_Stage3	H3C2
ENSG00000136267	7.595182678309041	4.246373613347197	9.540154067499156	0.008176332188655065	0.30947508911735755	DGKB	protein_coding	7	0.5093743033297364	FALSE	H2_Stage2	H2_Stage3	DGKB
ENSG00000185527	7.480241321678949	7.467840103945502	22.07715774185906	2.5301415958518266e-4	0.07061487705545273	PDE6G	protein_coding	17	1.151103792681311	FALSE	H2_Stage2	H2_Stage3	PDE6G
ENSG00000100053	-7.4767270359316225	8.361942213078224	46.17355558748518	6.682951457974853e-6	0.00936475636943439	CRYBB3	protein_coding	22	2.028503516610856	TRUE	H2_Stage2	H2_Stage3	CRYBB3
ENSG00000132915	7.2963922513295785	6.05237753051369	38.216898772566175	2.6143974274988313e-5	0.025441821823031483	PDE6A	protein_coding	5	1.5944517932059847	TRUE	H2_Stage2	H2_Stage3	PDE6A
ENSG00000038945	7.277309123327423	3.214726474064015	11.792138249747206	0.0057949011399119855	0.26701056950840946	MSR1	protein_coding	8	0.5734715469188507	FALSE	H2_Stage2	H2_Stage3	MSR1
ENSG00000052841	-7.254304780092147	3.8656283116997416	12.883374570766291	0.0027574037466468744	0.2001673738155392	TTC17	protein_coding	11	0.6986067087077447	FALSE	H2_Stage2	H2_Stage3	TTC17
ENSG00000105954	7.185982592362951	4.1203513265317255	27.794378002561196	2.1363959331375862e-4	0.06629491797817301	NPVF	protein_coding	7	1.1785197623739552	FALSE	H2_Stage2	H2_Stage3	NPVF
ENSG00000151812	7.120609132586768	2.6605897312126268	13.774243028153368	0.0024006213408993967	0.19467895921674633	SLC35F4	protein_coding	14	0.7106809842265185	FALSE	H2_Stage2	H2_Stage3	SLC35F4
ENSG00000138378	7.051318852109669	3.3693022690595194	14.198496161311505	0.002433365416745322	0.19519634461433014	STAT4	protein_coding	2	0.7095283195007307	FALSE	H2_Stage2	H2_Stage3	STAT4
ENSG00000187033	7.005480607144835	1.9086380872748292	19.815176387901307	0.00328565679604742	0.21114994428938705	SAMD7	protein_coding	3	0.6754090288249839	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000100122	-6.960043006235458	4.776606906802398	18.268214333839726	8.062713983896003e-4	0.13234507869469778	CRYBB1	protein_coding	22	0.8782922034784179	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000261873	6.958322285104124	2.258604544318857	7.948333002540819	0.02335534850872941	0.40846375877141144	SMIM36	protein_coding	17	0.3888464704995358	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000198336	6.946604204731385	2.028220291456555	13.062957263965183	0.005929428535675775	0.26808027298094433	MYL4	protein_coding	17	0.571735142938909	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000119715	6.8983666425962005	2.8796913639130093	12.75557272906908	0.005320749973015531	0.25951638721128695	ESRRB	protein_coding	14	0.5858352133425647	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000113430	6.867114708373538	2.0467851733320996	12.480507384227904	0.004273510386721731	0.23367455563326842	IRX4	protein_coding	5	0.6313885745126538	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000174080	6.843602138386018	2.7007843050483764	7.284178372911327	0.018530101098553048	0.3906358654034891	CTSF	protein_coding	11	0.4082278853908187	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000120498	6.837960909586383	2.4906965027598167	8.460102223994003	0.014586306388579884	0.3698364542862117	TEX11	protein_coding	X	0.4319902832388971	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000132470	6.749833320824719	2.504020579682086	12.368190378527519	0.004399072627139015	0.2378292280640553	ITGB4	protein_coding	17	0.6237347737420804	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000151615	-6.746844852595559	6.565793446062669	63.18088974478769	1.060164431829575e-6	0.0024072800365410214	POU4F2	protein_coding	4	2.618473385732302	TRUE	H2_Stage2	H2_Stage3	NA
ENSG00000115966	-6.699757519558587	4.132324435875116	4.4026827640947674	0.05490900296663897	0.5395490436003502	ATF2	protein_coding	2	0.2679690729515115	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000114779	6.698963296943567	2.341849417356024	5.188253974483219	0.049656836552546386	0.523624047261955	ABHD14B	protein_coding	3	0.28098041683220815	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000179388	6.6260649434361705	2.8956464013781513	6.965499875685954	0.019700689828423636	0.3906358654034891	EGR3	protein_coding	8	0.4082278853908187	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000164334	6.556906574205387	1.99278020717585	10.341702542495435	0.0076242319248640365	0.30420554283035145	FAM170A	protein_coding	5	0.5168328770722872	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000089505	-6.5337907620466185	2.964190676659876	9.592725115360082	0.00804064634078633	0.3077571639954052	CMTM1	protein_coding	16	0.5117918287379614	FALSE	H2_Stage2	H2_Stage3	NA
ENSG00000126545	6.514532162861942	1.87400499131944	8.749718782813733	0.014773328191759832	0.3698364542862117	CSN1S1	protein_coding	4	0.4319902832388971	FALSE	H2_Stage2	H2_Stage3	NA
