isoform_id	MES	MES_genomic_start	MES_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000544440	1	77103209;77118340	77103310;77118519	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000402886	1	35480312;35484560	35480374;35484624	ENSG00000007866	TEAD3	35474541,35476462,35476470,35476472,35477772,35478587,35479796,35481937,35483169,35484768,35484777,35484855,35485056,35488848,35490503,35493695,35493948
BambuTx495	1	113806489;113807951	113806584;113808136	ENSG00000048028	USP28	113798283,113799103,113800835,113803706,113806374,113806562,113809364,113810487,113810489,113810491,113812484,113812486,113816570,113817289,113819443,113821680,113823961,113824016,113826787,113830032,113830453,113831208,113837335,113840750,113843918,113844502,113849414,113849912,113854974,113858362,113858961,113859205,113859207,113859419,113859497,113867052,113867961,113868063,113870030,113871243,113872082,113873787
ENST00000628915	1	135616152;135616668	135616193;135616757	ENSG00000048991	R3HDM1	135533969,135536884,135538989,135540551,135547263,135548379,135548884,135551197,135555705,135556503,135557971,135559092,135560458,135561584,135563204,135566037,135566649,135578128,135579467,135579469,135580118,135583407,135589884,135592042,135597376,135598135,135601423,135603751,135604750,135605829,135609912,135611536,135614972,135617493,135618641,135622466,135622925,135628475,135629492,135629865,135630145,135631188,135632904,135641310,135641439,135646531,135648484,135648511,135648985,135651493,135653285,135657882,135658858,135660398,135660400,135662453,135665585,135670592,135673147,135697921,135698120,135699333,135701429,135701749,135703173,135703388,135704467,135704469,135704471,135704615,135705242,135709498,135710487,135710524,135712404,135714942,135715043,135717665,135718384,135720253,135720796,135721091
ENST00000396595	1	41620424;41626708;41629492;41631148;41632749;41632977;41633548	41620690;41627010;41629734;41631477;41632867;41633085;41633808	ENSG00000064042	LIMCH1	41363202,41363204,41366813,41368786,41370599,41370800,41373095,41373234,41373389,41373703,41373961,41374393,41375622,41377327,41382935,41385482,41386835,41387117,41387313,41387978,41392900,41396339,41397466,41398084,41400490,41400492,41402518,41404046,41405057,41405763,41407050,41409240,41411289,41412576,41413044,41417264,41417266,41418424,41418426,41421951,41425950,41429047,41429892,41433098,41435779,41437065,41437154,41438782,41439174,41439356,41439943,41441057,41441575,41447935,41450452,41453682,41454185,41454789,41456060,41456177,41456358,41458642,41458905,41460828,41460830,41461811,41464261,41464871,41464873,41467217,41472564,41473211,41475759,41479392,41479394,41480475,41482801,41485626,41486139,41486141,41486926,41494033,41496143,41496584,41496586,41498024,41508985,41512288,41512592,41513603,41513874,41515582,41516017,41517235,41518696,41519311,41520050,41521270,41523039,41523041,41523230,41524256,41526060,41526813,41527924,41530577,41531829,41533512,41535030,41547919,41551344,41554281,41556438,41557718,41561317,41561861,41562196,41563714,41568454,41569321,41570513,41573372,41573832,41576490,41576967,41577131,41578167,41578846,41579759,41580081,41581674,41582183,41582244,41583599,41587526,41589068,41592298,41593974,41594856,41597364,41602176,41603314,41603316,41603490,41606169,41606171,41606505,41608334,41611714,41613066,41613253,41616945,41618609,41618818,41619118,41619865,41620728,41623068,41623793,41626410,41627014,41629058,41631509,41633286,41633371,41636778,41637801,41638374,41639015,41639945,41639956,41641699,41643310,41645021,41645023,41646505,41648563,41648599,41649806,41651151,41653174,41653281,41655398,41656651,41657146,41660236,41666695,41667294,41669093,41672681,41675250,41678177,41679866,41680184,41680805,41681703,41683529,41683531,41683533,41685443,41685595,41689447,41693029,41693521,41693523,41696582,41696903,41698730,41699068,41699112
BambuTx214	1	38051899;38053106	38052060;38053225	ENSG00000065882	TBC1D1	37892761,37894643,37895842,37895980,37896026,37900940,37906730,37907525,37907536,37907698,37909131,37909210,37909831,37909970,37910560,37911591,37912439,37918111,37920631,37922146,37923198,37923419,37924736,37925106,37925223,37927609,37928010,37929990,37930320,37930763,37931031,37935713,37936049,37938991,37939836,37942421,37946332,37946414,37946416,37946418,37946878,37950587,37953091,37953395,37957000,37959873,37964304,37964306,37965312,37965457,37966950,37970919,37972156,37972349,37972770,37974528,37974530,37976616,37978350,37978496,37979307,37979309,37982096,37983674,37985414,37988113,37989210,37989627,37991483,37991551,37991917,37994648,38003736,38009066,38009664,38010966,38011221,38014472,38016854,38017012,38017347,38017838,38019630,38019818,38020346,38025721,38026923,38027497,38030245,38030492,38030771,38031401,38031930,38032902,38036049,38036184,38038445,38039498,38039521,38040204,38044767,38046035,38046517,38048340,38050130,38052148,38052689,38052691,38053825,38055002,38058028,38060187,38060189,38060191,38066682,38069392,38074357,38075704,38077176,38078826,38080375,38080864,38084406,38086720,38086883,38091073,38091276,38091469,38095351,38098370,38099819,38101100,38101539,38101734,38101736,38101838,38104407,38105796,38112023,38113991,38114018,38114887,38125244,38126433,38127022,38127659,38127661,38129434,38131838,38135529
ENST00000341590	1	52861014;52862591	52861034;52863677	ENSG00000073712	FERMT2	52857904,52858003,52861159,52861488,52865663,52874923,52882708,52883436,52889571,52891605,52891884,52891949,52893559,52895522,52897511,52907157,52913350,52913666,52914036,52914238,52915224,52915226,52916771,52921408,52923354,52924268,52928491,52932440,52933959,52935936,52936084,52944783
ENST00000700755	1	121444939;121445449	121444962;121445496	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000435136	1	2818185;2818814	2818390;2819070	ENSG00000087266	SH3BP2	2795694,2795769,2797399,2797440,2797672,2797674,2798457,2801049,2803044,2803291,2805592,2806182,2806937,2807626,2808699,2813697,2813772,2813868,2813870,2814137,2814491,2814567,2817812,2819769,2825445,2825503,2825531,2825559,2825591,2825610,2825622,2825624,2826222,2826250,2826278,2826343,2826375,2826403,2826435,2826463,2826491,2826521,2826555,2826563,2826585,2826617,2826647,2826675,2826705,2826733,2826990,2827022,2827054,2827086,2827534,2827536,2827599,2828522,2828695,2834738,2838474,2838557,2838559,2839855
ENST00000503393	1	2812291;2818185;2818814	2812477;2818390;2819070	ENSG00000087266	SH3BP2	2795694,2795769,2797399,2797440,2797672,2797674,2798457,2801049,2803044,2803291,2805592,2806182,2806937,2807626,2808699,2813697,2813772,2813868,2813870,2814137,2814491,2814567,2817812,2819769,2825445,2825503,2825531,2825559,2825591,2825610,2825622,2825624,2826222,2826250,2826278,2826343,2826375,2826403,2826435,2826463,2826491,2826521,2826555,2826563,2826585,2826617,2826647,2826675,2826705,2826733,2826990,2827022,2827054,2827086,2827534,2827536,2827599,2828522,2828695,2834738,2838474,2838557,2838559,2839855
