gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype
ENSG00000120500	ENSG00000120500.19	6.61089263883807	5.71836680059566	489.340762846988	8.72021138983524e-08	0.000803683749058515	ARR3	protein_coding
ENSG00000165521	ENSG00000165521.16	3.92325239114718	5.4458722983591	516.47924661583	6.36515389318924e-08	0.000803683749058515	EML5	protein_coding
ENSG00000283782	ENSG00000283782.2	5.54564036067163	5.93504662596229	598.768947477808	3.77757881270178e-08	0.000803683749058515		protein_coding
ENSG00000139053	ENSG00000139053.3	8.60936589313715	8.09179628896255	337.084152442535	3.18887540252731e-07	0.000881692160044775	PDE6H	protein_coding
ENSG00000139445	ENSG00000139445.18	-5.28211620778106	6.20730565643022	380.993896433757	2.08449357772757e-07	0.000881692160044775	FOXN4	protein_coding
ENSG00000164318	ENSG00000164318.18	5.42682581109587	6.76780898711759	347.725960347944	2.86290979159302e-07	0.000881692160044775	EGFLAM	protein_coding
ENSG00000168843	ENSG00000168843.14	7.19270978110738	8.01399149496519	392.567277365895	1.87854455926302e-07	0.000881692160044775	FSTL5	protein_coding
ENSG00000187416	ENSG00000187416.13	6.14794049424178	4.95593170531777	342.952176223394	3.00357428863118e-07	0.000881692160044775	LHFPL3	protein_coding
ENSG00000264084	ENSG00000264084.1	-9.79944193985314	6.96567984437211	344.748624248928	2.94962112077973e-07	0.000881692160044775	MIR5688	miRNA
ENSG00000290147	ENSG00000290147.1	11.2268944840209	7.14921556248643	374.432770727546	2.21419985891737e-07	0.000881692160044775	GUCA1ANB-GUCA1A	protein_coding
ENSG00000047617	ENSG00000047617.17	6.06397516803932	6.49427126027101	264.025168638604	7.42512847465188e-07	0.00100863871639161	ANO2	protein_coding
ENSG00000071909	ENSG00000071909.19	6.61892266151228	7.44460660494464	267.193086106389	7.12568613145813e-07	0.00100863871639161	MYO3B	protein_coding
ENSG00000102755	ENSG00000102755.13	6.38593530250268	6.31402102927753	304.389236620151	4.54112368841846e-07	0.00100863871639161	FLT1	protein_coding
ENSG00000107099	ENSG00000107099.18	7.51127052893818	5.72672091862514	312.670002266533	4.13811690496131e-07	0.00100863871639161	DOCK8	protein_coding
ENSG00000111664	ENSG00000111664.11	4.78104629544971	7.83699666522186	270.563830100239	6.82387113534294e-07	0.00100863871639161	GNB3	protein_coding
ENSG00000112041	ENSG00000112041.13	5.01772794263325	6.59955484530585	264.483856826958	7.38078503485785e-07	0.00100863871639161	TULP1	protein_coding
ENSG00000112619	ENSG00000112619.8	9.21791686713772	6.45329211867404	267.988709353071	7.05292627782801e-07	0.00100863871639161	PRPH2	protein_coding
ENSG00000118985	ENSG00000118985.16	-2.57947394121087	6.4206317330285	265.343933485857	6.58504754216201e-07	0.00100863871639161	ELL2	protein_coding
ENSG00000159217	ENSG00000159217.10	-3.12736959378859	6.95246390371119	285.353292496843	5.10970944900991e-07	0.00100863871639161	IGF2BP1	protein_coding
ENSG00000173976	ENSG00000173976.16	9.29599657098438	5.28597488722052	261.047789872021	7.72143559699833e-07	0.00100863871639161	RAX2	protein_coding
ENSG00000198570	ENSG00000198570.7	5.93048497360795	6.19670305704196	258.139957459322	8.0256254333305e-07	0.00100863871639161	RD3	protein_coding
ENSG00000278677	ENSG00000278677.2	-6.30229792223266	5.09338415957185	280.591322867098	6.01782744910319e-07	0.00100863871639161	H2AC17	protein_coding
ENSG00000082126	ENSG00000082126.18	6.49972375687175	6.95781301436984	239.890368077154	1.03325070720296e-06	0.00105808699272054	MPP4	protein_coding
ENSG00000092200	ENSG00000092200.13	5.08878651298898	6.40446067589393	243.780580399999	9.77571229797841e-07	0.00105808699272054	RPGRIP1	protein_coding
ENSG00000100504	ENSG00000100504.17	3.1136087217524	5.27481886894076	236.733307318798	9.7962609453156e-07	0.00105808699272054	PYGL	protein_coding
ENSG00000102104	ENSG00000102104.9	9.16567550938011	5.61611555028945	248.22868922869	9.18534611486098e-07	0.00105808699272054	RS1	protein_coding
ENSG00000226950	ENSG00000226950.8	-2.62210990734013	6.32104511777763	234.451726329705	1.01316453268149e-06	0.00105808699272054	DANCR	lncRNA
ENSG00000113522	ENSG00000113522.14	-2.40056067696618	5.76706305738208	228.146521602582	1.1138168536976e-06	0.00109908233317776	RAD50	protein_coding
ENSG00000116703	ENSG00000116703.14	6.20208783691587	7.09152890746884	232.37946276432	1.15278627299921e-06	0.00109908233317776	PDC	protein_coding
ENSG00000104888	ENSG00000104888.10	4.50999452303565	5.70705426622217	228.425510986258	1.22287370680148e-06	0.00110296583736783	SLC17A7	protein_coding
ENSG00000272398	ENSG00000272398.6	-3.73787526699391	7.0693702894853	227.682845843117	1.23664295122437e-06	0.00110296583736783	CD24	protein_coding
ENSG00000008086	ENSG00000008086.13	2.82446723120416	6.57243098542404	205.103150209254	1.61128359893768e-06	0.00114037008706902	CDKL5	protein_coding
ENSG00000035499	ENSG00000035499.13	-2.92739164200328	5.17212524036345	204.002378510111	1.64158572261282e-06	0.00114037008706902	DEPDC1B	protein_coding
ENSG00000053524	ENSG00000053524.13	4.253275244207	5.44985185653483	197.679270392551	2.00827035605359e-06	0.00114037008706902	MCF2L2	protein_coding
ENSG00000104237	ENSG00000104237.11	5.90143466540909	6.988556165743	200.402342891113	1.9163387217856e-06	0.00114037008706902	RP1	protein_coding
ENSG00000105392	ENSG00000105392.17	4.53569987463662	8.05333602935437	216.547181682174	1.46915594899543e-06	0.00114037008706902	CRX	protein_coding
ENSG00000106348	ENSG00000106348.19	2.95306606123785	6.02809372118021	193.591496788147	2.02098210663611e-06	0.00114037008706902	IMPDH1	protein_coding
ENSG00000117154	ENSG00000117154.12	4.19732290225536	4.59032795843101	201.499259304582	1.71555905584701e-06	0.00114037008706902	IGSF21	protein_coding
ENSG00000124507	ENSG00000124507.11	5.32430119718498	4.37737542325932	198.369178674987	1.97116566273776e-06	0.00114037008706902	PACSIN1	protein_coding
ENSG00000134602	ENSG00000134602.16	-3.43151480570225	4.92816501785273	196.673050459972	1.87320725952973e-06	0.00114037008706902	STK26	protein_coding
ENSG00000137766	ENSG00000137766.18	5.15195826938722	3.72893777567138	202.768708623503	1.67641886215146e-06	0.00114037008706902	UNC13C	protein_coding
ENSG00000148600	ENSG00000148600.15	5.68888555297758	6.51178700439304	219.521385079764	1.401920994545e-06	0.00114037008706902	CDHR1	protein_coding
