"gene","gene_name","logFC","logCPM","F","PValue","FDR","median_tx_length","median_gc_pct","n_transcripts","max_tx_length"
"ENSG00000069431","ABCC9",6.0898913424981,5.09498142106954,1165.10484227107,6.01371877648703e-12,7.01491159896671e-08,3237.5,39.96,20,8844
"ENSG00000288920","RPSA2",5.13136709858935,8.11932603296246,1041.46770356007,1.03297181548619e-11,7.01491159896671e-08,2140,41.46,13,4461
"ENSG00000105792","CFAP69",5.47737795007751,5.44348151975084,954.932483192561,1.62387627294732e-11,7.35182917972351e-08,1489,38.72,13,6966
"ENSG00000151131","NOPCHAP1",3.6591070434099,7.33667324796307,844.468448189683,3.01850470895925e-11,8.52866859600286e-08,1178.5,46.36,6,23524
"ENSG00000276966","H4C5",5.64636576736295,4.45867678886314,845.083885583037,3.13969540421251e-11,8.52866859600286e-08,412,55.34,1,412
"ENSG00000157551","KCNJ15",7.61081036235304,5.24560169719044,798.857068432938,4.96236172098998e-11,1.12331328157477e-07,721,50.26,22,8407
"ENSG00000196600","SLC22A25",5.65296816799799,3.12291772400866,771.798128253702,6.3110085385149e-11,1.22451597100156e-07,2743.5,47.85,4,8192
"ENSG00000181588","MEX3D",5.46878207970444,3.54254846767427,685.043522692501,9.96885427125957e-11,1.69246223390309e-07,2623,65.88,2,3114
"ENSG00000124593","ENSG00000124593",3.8468613256719,4.89260697568479,628.855877987602,1.36063877768914e-10,1.88870057187703e-07,3043,58.6,3,3947
"ENSG00000183684","ALYREF",4.51443539121721,4.86784428946536,626.488566640043,1.3905909084649e-10,1.88870057187703e-07,487,58.19,4,1097
"ENSG00000250021","ARPIN-AP3S2",-4.56733222466424,6.07872591223865,591.027916015591,1.8708341067241e-10,2.30996989432062e-07,669.5,51.13,4,2439
"ENSG00000197140","ADAM32",7.39137847424498,6.72824872716748,571.265817141575,2.2469632310536e-10,2.52262417856116e-07,712,39.62,11,6871
"ENSG00000214753","HNRNPUL2",3.42670388938708,4.71765222986317,561.706316193813,2.4145276337281e-10,2.52262417856116e-07,2826.5,47.95,2,5214
"ENSG00000221944","TIGD1",4.7403013969968,7.72229760261751,519.06706095148,3.59852063990343e-10,3.49107909508345e-07,6675,49.47,1,6675
"ENSG00000143951","WDPCP",3.47414055402072,5.91907034183379,500.885281199821,4.31485672590026e-10,3.90695893674516e-07,1476,42.84,17,5408
"ENSG00000264364","DYNLL2",3.35717986065256,5.01933727667139,479.558341361341,5.38208478893645e-10,4.32954886318591e-07,6807,47.7,1,6807
"ENSG00000173852","DPY19L1",2.94494525004665,5.02485721347122,478.871621728028,5.41910842837289e-10,4.32954886318591e-07,4950,37.55,14,6292
"ENSG00000160113","NR2F6",3.31848663225413,4.7170880727212,471.647368641437,5.85772761080387e-10,4.41998091166323e-07,1557,71.11,2,2383
"ENSG00000186222","BLOC1S4",4.27230587918142,2.93682975798481,447.48268997783,8.08105923108713e-10,5.39267319071842e-07,1491,52.72,1,1491
"ENSG00000141858","SAMD1",3.73047016585601,4.24680066780099,441.211243424358,8.23295657240542e-10,5.39267319071842e-07,750,64.71,3,2196
"ENSG00000166896","ATP23",2.76411375750298,4.49600849636735,438.879084944935,8.43021502628456e-10,5.39267319071842e-07,564,44.86,5,3134
"ENSG00000178531","CTXN1",5.34097629046175,5.69368013985322,432.558326741152,9.09684658685358e-10,5.39267319071842e-07,1237,72.84,1,1237
"ENSG00000129951","PLPPR3",3.03943912909665,4.95768326358102,431.963106123232,9.13204854855866e-10,5.39267319071842e-07,1544,71.22,4,2387
"ENSG00000278677","H2AC17",5.29423793736936,4.85662239954686,428.363730598862,9.63157054431252e-10,5.45066629720219e-07,487,58.11,1,487
"ENSG00000224578","HNRNPA1L3",4.06083236993737,3.96105504883216,419.132880261641,1.07250170107128e-09,5.6682411795165e-07,1623.5,44.74,2,1924
"ENSG00000134046","MBD2",3.51394614266061,3.7078477743296,410.086787390806,1.19503221963561e-09,5.6682411795165e-07,1182,45.12,5,5064
"ENSG00000198707","CEP290",2.86279970904205,5.5437352776355,408.998238655928,1.20282143893537e-09,5.6682411795165e-07,4569,35.6,34,13334
"ENSG00000110880","CORO1C",-2.76688619419614,8.23263831198885,407.220924936204,1.22900316822366e-09,5.6682411795165e-07,804,48.3,19,3921
"ENSG00000133275","CSNK1G2",2.72553783532773,4.63567201244483,403.589417830955,1.2873265296126e-09,5.6682411795165e-07,756,65.33,11,2895
"ENSG00000154237","LRRK1",4.28901988685235,5.43894924465907,399.643679963219,1.35336587255052e-09,5.6682411795165e-07,1241,57.97,11,15674
"ENSG00000164105","SAP30",4.18099119721594,4.15177834506536,399.699689646274,1.36125802829746e-09,5.6682411795165e-07,753.5,54.75,2,1097
"ENSG00000276644","DACH1",2.36828213699589,6.33036431417526,398.978473808535,1.36264401199173e-09,5.6682411795165e-07,4711.5,43.81,4,5401
"ENSG00000184207","PGP",3.65634610053202,4.04832438866943,393.8625251374,1.4617216172611e-09,5.6682411795165e-07,2034.5,57.85,2,3164
"ENSG00000162496","DHRS3",-5.56981390030032,7.93564203076365,393.116357331014,1.47017682852264e-09,5.6682411795165e-07,931,57.26,4,2201
"ENSG00000173212","MAB21L3",4.4406553269514,6.67539560272666,391.940866579227,1.49163690798835e-09,5.6682411795165e-07,6252.5,43.82,4,6376
"ENSG00000099385","BCL7C",3.02022739369393,4.43011500737277,391.45482064172,1.50240526036367e-09,5.6682411795165e-07,1206,65.04,5,2409
"ENSG00000133138","TBC1D8B",2.31991415780738,4.67570135826712,380.382437197729,1.73479578123501e-09,5.91356235145159e-07,2589,37.61,7,5729
"ENSG00000182512","GLRX5",3.49159642106392,4.79211799118968,377.47973121163,1.80454878250139e-09,5.91356235145159e-07,1103,45.95,3,1863
"ENSG00000184260","H2AC20",4.92275108304794,3.76653219714861,379.808015256397,1.80992942929164e-09,5.91356235145159e-07,494,58.3,1,494
"ENSG00000111328","CDK2AP1",2.25426275920771,6.3285432959036,377.078003923925,1.8114339326177e-09,5.91356235145159e-07,1127,48.26,12,3828
"ENSG00000089127","OAS1",5.36700148114345,5.52711444425313,376.45925066123,1.83531600825641e-09,5.91356235145159e-07,1603,50.64,33,7546
"ENSG00000151773","CCDC122",4.88242536096409,4.41954134160712,374.340393578086,1.90300532524237e-09,5.91356235145159e-07,704,37.87,5,3467
"ENSG00000072518","MARK2",2.96838211887158,4.0886241560298,373.444206521588,1.90646507826445e-09,5.91356235145159e-07,2821.5,56.94,24,5298
"ENSG00000173457","PPP1R14B",3.76383764136193,5.83809765181301,370.283633481844,1.98659526622403e-09,5.91356235145159e-07,920,62.07,3,989
"ENSG00000181458","TMEM45A",3.28453311304338,6.44817316573497,369.926243295474,1.99493196557986e-09,5.91356235145159e-07,874,42.51,7,4615
"ENSG00000137177","KIF13A",2.91639051038585,4.36398542387505,369.128959428865,2.01985186824138e-09,5.91356235145159e-07,4009,46.4,13,6924
"ENSG00000168209","DDIT4",-3.38153631460423,9.91599837474047,367.255307066138,2.06901633614328e-09,5.91356235145159e-07,1744,58.42,5,1966
"ENSG00000188290","HES4",5.46599589195579,4.75783874857371,367.726538423111,2.08990570512205e-09,5.91356235145159e-07,961.5,74.16,4,1040
"ENSG00000134539","KLRD1",4.88875037003463,3.38721819913009,367.625264766994,2.18601401799322e-09,6.05927395762936e-07,789,38.02,11,15563
"ENSG00000129757","CDKN1C",3.19332596854969,5.53388800058124,360.907447939299,2.26041015804832e-09,6.14017815332245e-07,1193,62.94,7,1936
"ENSG00000255508","ENSG00000255508",5.24639132164307,5.41610809820282,355.44833493137,2.45055702842427e-09,6.46502468045019e-07,1954,55.58,3,5064
"ENSG00000228623","ZNF883",4.26548912983765,5.26499362418454,354.549965760046,2.4751971976396e-09,6.46502468045019e-07,11370,38.72,1,11370
"ENSG00000126464","PRR12",4.18227788978251,3.63455358050165,351.228257327062,2.63239397364229e-09,6.74588206603955e-07,3840.5,63.93,2,7416
"ENSG00000167470","MIDN",3.60126523452222,5.26878241062708,348.506770348003,2.6962627877647e-09,6.78160021915189e-07,3261,64.44,5,3892
"ENSG00000169592","INO80E",2.61948571734405,3.66402612391045,339.589392469894,3.07855519145643e-09,7.60235211097476e-07,881.5,62.1,14,4469
"ENSG00000173559","NABP1",4.8254151785058,3.88138528963095,339.467623315638,3.15206710658736e-09,7.64488847172669e-07,2635.5,39.27,16,12359
"ENSG00000156968","MPV17L",4.41501777624024,4.70179453038622,328.901211247474,3.61937276547971e-09,8.62426682469217e-07,5820,44.55,3,5894
"ENSG00000130958","SLC35D2",4.44587586447493,3.99820063578248,327.23618129467,3.74369443420728e-09,8.76669962162126e-07,1111.5,48.02,6,2679
"ENSG00000119318","RAD23B",2.31633785872395,6.4215805982378,320.700658016632,4.08986539579604e-09,9.31328810046204e-07,811,39.69,5,4114
"ENSG00000130725","UBE2M",4.24048876359989,4.81615578234429,320.533371334347,4.11424890316391e-09,9.31328810046204e-07,447,54.8,5,1159
"ENSG00000181191","PJA1",-2.98091834067101,8.2104538284183,316.817002839741,4.34762434106689e-09,9.68023504924107e-07,2115,50.38,7,2755
"ENSG00000076984","MAP2K7",3.42639508618584,3.48051619300512,314.849021250586,4.5238414585867e-09,9.91013140169752e-07,1554,63.33,8,3430
"ENSG00000166987","MBD6",3.5097151958379,4.15237286404624,310.708026810139,4.81116132114009e-09,1.0074497380868e-06,553.5,61.37,14,4202
"ENSG00000130396","AFDN",2.31191858560997,6.06822109436433,310.371676952058,4.81971330962356e-09,1.0074497380868e-06,4686,48.65,23,8000
"ENSG00000139445","FOXN4",2.62775702016668,5.24922295896488,310.388096911917,4.82139839314105e-09,1.0074497380868e-06,2275.5,57.61,4,3416
"ENSG00000090905","TNRC6A",2.08893637472887,5.66465369016537,307.77987137748,5.02667467143239e-09,1.03192511639209e-06,609.5,46.11,18,8491
"ENSG00000223496","EXOSC6",2.4653153274682,5.0462747032903,305.388571000383,5.2302548014757e-09,1.03192511639209e-06,5163,45.77,1,5163
"ENSG00000178623","GPR35",4.39440625457774,2.47422728251165,311.564201620008,5.31395587845575e-09,1.03192511639209e-06,2250,61.66,5,3821
"ENSG00000109881","CCDC34",2.87599637913651,6.17799347029841,304.184051512138,5.33155526829751e-09,1.03192511639209e-06,1452,38.69,3,2109
"ENSG00000110955","ATP5F1B",-2.07332969756642,10.5892329660658,302.620911023713,5.47077865296316e-09,1.03192511639209e-06,814,50.23,11,1759
"ENSG00000139644","TMBIM6",-2.39963961593202,10.4031592930937,301.754971788843,5.54987127485461e-09,1.03192511639209e-06,576,48.22,28,3254
"ENSG00000072062","PRKACA",4.28852991962276,4.61884001766429,301.746727114065,5.57455971468403e-09,1.03192511639209e-06,1524,54.77,13,3996
"ENSG00000099954","CECR2",3.19482582392707,4.28143878265806,300.741281341937,5.65631648932145e-09,1.03192511639209e-06,9648.5,49.5,6,10090
"ENSG00000112787","FBRSL1",4.06208254614198,4.38734346912377,300.475111568114,5.69495916101968e-09,1.03192511639209e-06,1246,68.47,9,5568
"ENSG00000088247","KHSRP",2.64796078124811,6.31344121156398,299.288089854022,5.78290993168044e-09,1.03192511639209e-06,773,58.9,12,4276
"ENSG00000162924","REL",2.60283113883102,5.03838994811335,298.91714862595,5.82264273423318e-09,1.03192511639209e-06,3632.5,38.93,8,11255
"ENSG00000125503","PPP1R12C",5.17845730508269,2.82512253406883,309.422110996513,5.85026019453624e-09,1.03192511639209e-06,1262,65.64,9,4141
"ENSG00000198752","CDC42BPB",2.54038367901048,4.7539090899485,295.991373972475,6.11685183170183e-09,1.06511643048941e-06,646,55.93,9,6844
"ENSG00000131409","LRRC4B",3.69348189885577,3.23325936093092,294.712038191695,6.34528779466666e-09,1.09090758009067e-06,2988.5,67.32,4,3348
"ENSG00000198840","MT-ND3",6.42960404220175,7.86823210150308,289.473038739545,6.83886494269304e-09,1.12590313792002e-06,346,40.17,1,346
"ENSG00000130522","JUND",3.19622933386788,5.63979357854577,289.352251393056,6.85158645229463e-09,1.12590313792002e-06,1214.5,69.87,2,1929
"ENSG00000181789","COPG1",-2.75156285744483,7.70623505719758,288.76519398552,6.9178548631148e-09,1.12590313792002e-06,635.5,52.68,10,3231
"ENSG00000065883","CDK13",2.28232266786765,5.18017301020977,288.245174040366,6.98275856755808e-09,1.12590313792002e-06,2672,42.74,23,9525
"ENSG00000171055","FEZ2",2.17606000725672,4.42378284146439,287.800668257255,7.04006060312004e-09,1.12590313792002e-06,1151,39.56,16,4495
"ENSG00000094631","HDAC6",-2.36724158475631,7.56950416314912,287.701181350518,7.04622049206312e-09,1.12590313792002e-06,4131.5,56.7,84,5807
"ENSG00000100836","PABPN1",2.18438845802188,6.94781951385281,285.427199284504,7.33144832596666e-09,1.1578573391079e-06,893,53.63,8,2768
"ENSG00000090447","TFAP4",2.9213751418499,2.84669614783102,282.589616489648,7.80189458405083e-09,1.21483281613005e-06,1326,60.51,7,6491
"ENSG00000163864","NMNAT3",2.91897306141067,6.80525593823772,281.400979399852,7.87110056099577e-09,1.21483281613005e-06,1787,51.58,22,6881
"ENSG00000196787","H2AC11",3.23710930049895,3.09609126691514,277.709927735586,8.50531384960485e-09,1.26884478386777e-06,493,61.05,1,493
"ENSG00000219626","FAM228B",2.69268691153498,5.21987268923907,277.102893403342,8.5054858289722e-09,1.26884478386777e-06,866,43.94,10,2616
"ENSG00000075624","ACTB",-2.11875932310912,13.1940019406837,276.596648261464,8.57820371537246e-09,1.26884478386777e-06,1300,57.1,23,2554
"ENSG00000160714","UBE2Q1",2.68000985666653,4.42082180646566,276.319063352865,8.63113161313541e-09,1.26884478386777e-06,524,51.62,7,3239
"ENSG00000185896","LAMP1",3.26333315838812,4.30268348969111,276.00822288219,8.68815821673556e-09,1.26884478386777e-06,2701,55.16,3,5242
"ENSG00000163249","CCNYL1",3.32210792137819,4.18253185988948,274.592318408922,8.91935079033615e-09,1.27799852538847e-06,1452,43.41,8,3813
"ENSG00000165689","ENTR1",2.93334226135327,3.38606722536767,274.390440703714,8.98012772720402e-09,1.27799852538847e-06,686,56.63,11,2391
"ENSG00000071626","DAZAP1",3.44252760118627,4.37630195844766,273.873316479178,9.03312166376773e-09,1.27799852538847e-06,2157,57.28,11,3943
"ENSG00000144579","CTDSP1",3.0745354301206,3.52024476845672,270.791582859369,9.58845407183289e-09,1.34258127014056e-06,1118,61.05,19,2584
"ENSG00000144426","NBEAL1",2.8798388764155,5.22669969951068,269.277957231422,9.81333664067965e-09,1.35748852813429e-06,2306,39.58,24,16349
"ENSG00000100918","REC8",5.59189505636149,2.8758349885521,281.864661997768,9.89481403955929e-09,1.35748852813429e-06,653,58.7,13,2720
"ENSG00000106689","LHX2",2.31082101743179,5.75149252038441,267.59598113211,1.01189838142123e-08,1.37436038164631e-06,1340,60.29,4,2396
"ENSG00000031698","SARS1",-1.98838814443958,8.29975237113346,266.705099046291,1.02884094205069e-08,1.38353640345866e-06,1216.5,50.3,6,1914
"ENSG00000055163","CYFIP2",-2.56254603315641,8.21246549662478,264.254057193091,1.07733251362628e-08,1.41815281284507e-06,915,53.87,25,6452
"ENSG00000151693","ASAP2",3.08997628259153,4.62613878330718,264.054337940681,1.08263156614623e-08,1.41815281284507e-06,2409,46.29,6,5665
"ENSG00000204304","PBX2",2.57894220170049,4.45661011746942,263.016684905411,1.10396291275129e-08,1.41815281284507e-06,1050,57.05,5,3229
"ENSG00000136026","CKAP4",2.09476215523496,6.23328529714427,262.585449999394,1.11191962948482e-08,1.41815281284507e-06,831,52.47,3,3121
"ENSG00000169871","TRIM56",2.27667972927189,5.3112987943767,262.435494387182,1.11549939788657e-08,1.41815281284507e-06,932,56.55,4,10910
"ENSG00000104897","SF3A2",2.88160561735654,4.97503783895913,262.369149180729,1.11723126913873e-08,1.41815281284507e-06,724,63.16,7,1619
"ENSG00000183323","CCDC125",4.046375066116,3.50958293941673,262.082217607815,1.13943507319507e-08,1.43294510779032e-06,2273,42.01,7,4283
"ENSG00000100422","CERK",2.1592706395585,5.77786768304553,260.496794686363,1.15710012684404e-08,1.43457341457492e-06,1163.5,54.87,4,4442
"ENSG00000139718","SETD1B",2.5891464595416,3.6168384173907,260.447961368313,1.16185448095451e-08,1.43457341457492e-06,8185,61.41,3,8557
"ENSG00000091527","CDV3",2.04534865912171,6.46957799160559,259.071062185325,1.18916670832602e-08,1.45506866959315e-06,808,46.9,10,3621
"ENSG00000173198","CYSLTR1",4.72267912953786,3.3449600127232,260.152388738902,1.21866062139863e-08,1.47784362141394e-06,2700,36.14,3,3034
"ENSG00000139746","RBM26",2.74802618470857,5.18291811456846,256.352084111396,1.25411217700615e-08,1.50207863616915e-06,3662,40.8,7,5258
"ENSG00000063169","BICRA",3.11541173974542,2.96999294277413,256.602213411882,1.26221547556106e-08,1.50207863616915e-06,5693,68.4,4,5739
"ENSG00000174749","FAM241A",3.56328249764936,6.27817679259085,255.615603059629,1.27182331880027e-08,1.50207863616915e-06,8844,38.33,1,8844
"ENSG00000171858","RPS21",2.66685746486099,8.81302489385078,254.852455537144,1.29051691458547e-08,1.51101730464654e-06,418,52.23,5,1002
"ENSG00000170160","CCDC144A",4.58730024443807,4.09878372106447,253.868097911499,1.3314944762288e-08,1.53297076725505e-06,2815,38.47,13,8686
"ENSG00000234719","NPIPB2",2.57249899241911,3.47509774013959,252.717033069577,1.35066766841956e-08,1.53297076725505e-06,950,49.5,8,2613
"ENSG00000163785","RYK",2.18771362043426,4.67787309806236,252.44893131455,1.3537434900252e-08,1.53297076725505e-06,922,41.65,8,5270
"ENSG00000248483","POU5F2",6.04777540076074,3.79649838355037,259.386376069346,1.35446792638072e-08,1.53297076725505e-06,8381,39.57,1,8381
"ENSG00000164182","NDUFAF2",2.23854615539791,5.44522079671679,251.068638275824,1.39073180525189e-08,1.53297076725505e-06,696,39.67,7,4520
"ENSG00000106367","AP1S1",2.41043393677048,3.86662334639601,250.899530758555,1.39775632144404e-08,1.53297076725505e-06,710,55.65,6,1226
"ENSG00000130511","SSBP4",2.54060247127526,4.93539114830073,250.55515612898,1.40543720592954e-08,1.53297076725505e-06,622,67.48,15,1725
"ENSG00000110367","DDX6",1.97173946073513,6.82224103424965,250.381778797527,1.40941301153696e-08,1.53297076725505e-06,1936,42.06,7,6152
"ENSG00000105176","URI1",3.45229254287315,5.75087323306373,250.360182146832,1.41084778314594e-08,1.53297076725505e-06,578,42.61,13,3460
"ENSG00000130204","TOMM40",2.93931264088107,4.36522992093574,249.86178987302,1.42618893046213e-08,1.53734111536005e-06,1707,63.19,7,3415
"ENSG00000185800","DMWD",2.3596384215854,3.86917516097387,249.419876562484,1.43948486315777e-08,1.5394553867251e-06,812.5,62,8,3410
"ENSG00000142279","WTIP",3.16202337536997,2.63466635191409,248.169166334434,1.50327500774572e-08,1.58645869704951e-06,7106,58.31,2,13545
"ENSG00000003096","KLHL13",-2.57503879180941,6.25582060034701,247.052192099931,1.50679702488137e-08,1.58645869704951e-06,3245,41.46,8,5331
