isoform_id	ES	ES_genomic_start	ES_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000265577	1	8141969	8142055	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000478079	2	105038126;105089226	105038199;105089361	ENSG00000005483	KMT2E	104943993,104946823,104946825,104948471,104948607,104955559,104956193,104959922,104961372,104965663,104969244,104973469,104977439,104980207,104983476,104983478,104985458,104992054,104993292,104993602,104993923,104994744,104996276,104999613,105002811,105003209,105004451,105015728,105019656,105019658,105023812,105042135,105046025,105054880,105055712,105056505,105056984,105058596,105059325,105060297,105061744,105062336,105064525,105065289,105066746,105068124,105069641,105070234,105074487,105083116,105084018,105084077,105085012,105086231,105088534,105089168,105090027,105093063,105094103,105095702,105098384,105100056,105105683,105106760,105109032,105109646
ENST00000544440	2	77129156;77158230	77129230;77158268	ENSG00000005810	MYCBP2	77042648,77044231,77045135,77047106,77050319,77052059,77053360,77053362,77053722,77054123,77055340,77055831,77056717,77057716,77058260,77058676,77060418,77062877,77063710,77063783,77063785,77066617,77071250,77071252,77076862,77081367,77083404,77083475,77084166,77084776,77087403,77092065,77094299,77097714,77097763,77099847,77100174,77100252,77101371,77101373,77103003,77103194,77109321,77109323,77111975,77111977,77112484,77113043,77114546,77115746,77118129,77118919,77119893,77122891,77124415,77127581,77131250,77131700,77131937,77132535,77133152,77136169,77136817,77139430,77140497,77143656,77144981,77146786,77146861,77155257,77155737,77156829,77156997,77158177,77158342,77163845,77166888,77167927,77171760,77172045,77176617,77185271,77185425,77186416,77190653,77191317,77193875,77194320,77204590,77206669,77206745,77208649,77210981,77214816,77214978,77220520,77223593,77224042,77224141,77225903,77225905,77228932,77229438,77230649,77230749,77234744,77234746,77238988,77241580,77241892,77245522,77249184,77251231,77251256,77253523,77253708,77253710,77254550,77260230,77261964,77262189,77262592,77264282,77264337,77264658,77266661,77266978,77267787,77268940,77269211,77270150,77275316,77277552,77283164,77291635,77292002,77293048,77294377,77299319,77306626,77307696,77310494,77310783,77312419,77318281,77318309,77319748,77320742,77322028,77322212,77322779
ENST00000389341	1	42091867	42091940	ENSG00000028277	POU2F2	42090068,42093412,42096414,42096876,42098085,42102038,42104463,42106569,42106894,42107845,42111264,42115018,42115373,42116661,42120061,42124472,42125816,42128977,42130059,42130278,42131949,42133560,42133562,42133655,42141626,42142768,42142909,42143232,42144878,42147121,42153196,42155229,42155375,42156827,42159264,42159307,42160161,42160442,42162923,42165545,42165547,42167963,42169648,42169658,42170702,42170714,42170758,42171939,42172466,42172656,42174240,42174679,42174696,42174698,42175338,42178239,42179413,42179634,42180873,42181047,42181154,42181248,42181365,42181402,42183144,42183578,42183580,42184530,42184702,42193719,42193800,42193880,42194254
ENST00000374467	1	33574506	33574525	ENSG00000030110	BAK1	33573614,33575223,33575458,33578460
ENST00000348476	2	58331287;58366024	58331518;58366230	ENSG00000032219	ARID4A	58303809,58305436,58306154,58306747,58306926,58306950,58308493,58310566,58315947,58318085,58320515,58325716,58327948,58327950,58328861,58335458,58339115,58342781,58346078,58351787,58354420,58356384,58357384,58357608,58358429,58359361,58359363,58359365,58362065,58368820
ENST00000437179	3	27379249;27431298;27456651	27379356;27431669;27456754	ENSG00000033867	SLC4A7	27373833,27377537,27383113,27388954,27399255,27408354,27413159,27414342,27414898,27416571,27416573,27418045,27418047,27418115,27419714,27423908,27424511,27425916,27426753,27429134,27430296,27430298,27431169,27432479,27432553,27432666,27443722,27443724,27447410,27447483,27449572,27452736,27452961,27454684,27462970,27468761,27468763,27468843,27471094,27471517,27475877,27476715,27481062
BambuTx597	1	29094278	29094313	ENSG00000034053	APBA2	28885256,28888058,28888795,28889289,28893603,28894872,28898164,28898493,28898642,28899608,28900905,28900907,28906475,28907091,28908171,28914575,28914910,28915669,28915728,28915888,28920392,28920424,28921321,28922860,28922867,28927745,28932426,28935284,28935323,28935699,28935877,28935957,28936895,28939701,28942998,28944256,28946053,28946055,28947329,28949384,28950248,28951538,28952033,28952686,28954537,28954941,28956005,28956368,28958472,28959133,28963316,28963926,28964018,28964193,28965790,28966065,28967320,28969321,28969323,28969325,28970875,28970950,28971552,28971761,28973107,28976270,28976547,28979989,28981697,28983152,28988631,28993344,28995828,28996390,28996801,28999803,29007935,29010099,29014168,29014201,29014203,29016367,29016369,29019536,29024048,29024823,29025316,29028117,29028472,29029909,29031411,29031653,29031925,29033146,29034173,29034588,29034763,29035836,29038972,29039069,29039490,29042417,29042992,29049714,29051000,29052082,29057748,29057929,29058599,29059979,29060798,29069478,29069715,29069717,29071994,29072280,29073748,29074822,29077073,29078896,29079412,29079897,29080377,29081392,29082042,29084205,29091481,29093010,29096500,29098430,29100011,29100366,29106090,29107224,29111532,29112449,29112770,29112979,29113792,29114043,29114616,29114727,29118251,29118253
ENST00000515144	2	14440119;14464508	14441360;14465403	ENSG00000038382	TRIO	14146429,14149136,14150216,14150418,14151050,14151280,14151879,14152276,14153118,14160857,14162857,14163125,14163127,14163669,14164437,14164811,14165317,14165356,14166268,14168608,14169080,14169842,14170441,14171199,14173355,14174204,14175767,14177383,14179581,14180992,14186722,14189610,14190940,14191129,14193115,14194046,14206820,14207575,14208380,14208422,14212007,14214058,14215226,14216085,14216487,14217061,14220646,14226404,14228386,14230478,14233682,14235720,14237458,14238241,14238380,14238536,14238588,14239720,14242986,14249137,14249532,14249756,14249896,14250340,14252945,14253168,14254466,14255501,14259740,14260454,14261971,14262128,14263269,14263736,14263848,14267486,14270123,14274750,14276313,14278294,14278907,14279760,14279762,14283514,14283528,14283649,14287211,14287506,14295004,14295262,14299305,14299337,14301761,14305238,14306614,14307534,14309104,14311044,14312209,14313417,14316767,14321422,14321517,14322380,14324848,14325084,14327789,14328061,14329636,14329831,14330511,14330513,14331744,14331746,14332496,14333725,14335960,14337204,14338472,14343132,14343502,14345239,14347766,14348506,14348582,14348588,14348590,14348617,14348635,14348637,14348699,14348779,14348896,14349058,14349115,14349117,14349991,14350709,14350971,14351626,14355142,14356762,14357143,14357570,14357981,14358749,14363603,14363687,14363831,14365314,14367814,14370034,14374379,14375237,14376429,14376784,14376786,14379540,14380759,14383386,14383388,14385284,14385582,14387050,14387138,14389369,14390727,14390970,14391753,14392620,14393722,14393739,14394976,14396614,14397132,14398313,14399505,14399812,14400422,14401892,14401915,14402468,14405049,14406263,14411162,14411203,14413358,14415996,14418939,14420109,14420631,14422161,14423006,14429405,14430353,14433440,14434964,14434966,14436025,14436711,14437625,14440569,14442155,14442512,14446482,14446603,14446605,14448457,14452088,14452571,14452573,14452678,14457770,14461906,14463263,14463327,14463329,14463875,14467682,14468992,14470613,14472371,14472562,14473893,14474107,14477088,14481288,14482022,14482251,14483718,14486914,14489185,14490560,14490562,14491718,14491898,14493425,14496357,14498082,14499060,14499421,14503020,14505696,14507756,14507758,14510095,14513089,14514437,14515081,14515083,14516925,14518960,14524678,14524703,14526592,14529326
ENST00000512629	1	34813574	34813660	ENSG00000039560	RAI14	34659532,34659911,34660822,34660885,34662400,34666569,34676423,34682786,34683425,34684506,34688984,34689740,34690147,34691105,34692131,34692405,34693051,34693530,34696999,34699503,34700680,34705792,34710478,34712456,34717141,34720817,34722325,34724161,34727703,34727812,34728106,34730544,34735547,34735797,34746549,34747785,34748238,34748854,34751512,34751514,34751743,34752155,34755508,34755565,34758091,34760193,34761194,34761908,34762488,34762926,34763669,34764595,34777039,34778086,34780912,34785360,34792723,34792725,34793890,34793946,34795117,34795119,34795420,34795422,34796266,34799035,34799070,34805709,34807430,34809962,34813407,34813409,34830024
