isoform_id	genes	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype	condition_1	condition_2
ENST00000281321	ENST00000281321.3	-9.853046128141882	7.992406885707191	520.6861508794007	2.0266486581552363e-15	4.2456262739694044e-11	ENSG00000151615	POU4F2	protein_coding	FT	RGC
ENST00000297785	ENST00000297785.8	7.518633871274819	8.181646139136413	428.13275445446357	1.2464109627526727e-14	1.1007106895417289e-10	ENSG00000165092	ALDH1A1	protein_coding	FT	RGC
ENST00000439696	ENST00000439696.3	6.974611963785736	9.0134575296435	417.3923017786922	1.5762719311781884e-14	1.1007106895417289e-10	ENSG00000185650	ZFP36L1	protein_coding	FT	RGC
ENST00000399808	ENST00000399808.5	7.005257488709483	8.243849019077029	389.2995727105746	2.9971944946264266e-14	1.5697056866982252e-10	ENSG00000142089	IFITM3	protein_coding	FT	RGC
ENST00000232424	ENST00000232424.4	6.795173359676284	7.8570012330196155	369.4077107134373	4.855313649534343e-14	1.695232760734916e-10	ENSG00000114315	HES1	protein_coding	FT	RGC
ENST00000416167	ENST00000416167.7	6.182199553923068	8.301002285105596	370.79369094429455	4.6911076957945517e-14	1.695232760734916e-10	ENSG00000167244	IGF2	protein_coding	FT	RGC
ENST00000610854	ENST00000610854.2	-5.7813388666246235	7.735754786131693	354.4407523186524	7.09680892845715e-14	2.1238721463178404e-10	ENSG00000277586	NEFL	protein_coding	FT	RGC
ENST00000367976	ENST00000367976.4	8.335704873259731	7.091116888322708	346.43705773328526	8.748896831405072e-14	2.2910079965138107e-10	ENSG00000118523	CCN2	protein_coding	FT	RGC
ENST00000266058	ENST00000266058.9	-6.073905579053189	7.9219127924064345	329.9826692751065	1.3653572622062869e-13	3.178096587328833e-10	ENSG00000187122	SLIT1	protein_coding	FT	RGC
ENST00000294117	ENST00000294117.6	-5.431430042475452	8.325581863714888	322.47089962932563	1.6847880840786552e-13	3.5294625573363747e-10	ENSG00000162188	GNG3	protein_coding	FT	RGC
ENST00000644641	ENST00000644641.2	-6.526822889192226	7.326138111086776	310.6096915522589	2.3707631355723676e-13	4.5150106297368665e-10	ENSG00000165646	SLC18A2	protein_coding	FT	RGC
ENST00000342503	ENST00000342503.8	-5.706075215666798	7.518770260784617	301.62417996960977	3.09650756501421e-13	5.405728081623556e-10	ENSG00000139970	RTN1	protein_coding	FT	RGC
ENST00000380518	ENST00000380518.8	5.39387530803868	7.453877367395031	290.42615812223426	4.365784302522122e-13	7.035293488733534e-10	ENSG00000139219	COL2A1	protein_coding	FT	RGC
ENST00000303177	ENST00000303177.8	-5.545617507994881	8.564932644218317	280.68718611045864	5.946775430788094e-13	8.898499892827128e-10	ENSG00000170091	NSG2	protein_coding	FT	RGC
ENST00000358278	ENST00000358278.7	6.2565897495618525	6.577916335498721	273.64266006944615	7.483775027716741e-13	1.04518402037092e-9	ENSG00000140416	TPM1	protein_coding	FT	RGC
ENST00000491143	ENST00000491143.3	-4.645327849473441	8.820302078130274	269.16181423224873	8.687354030995731e-13	1.13744612247081e-9	ENSG00000119547	ONECUT2	protein_coding	FT	RGC
ENST00000297268	ENST00000297268.11	7.376828752013195	6.164070218653845	261.1470314960148	1.1410211121934516e-12	1.406073604667095e-9	ENSG00000164692	COL1A2	protein_coding	FT	RGC
ENST00000616316	ENST00000616316.3	5.627162899221216	7.022073957735983	250.09205213001522	1.6838820246283062e-12	1.9597580296632436e-9	ENSG00000185201	IFITM2	protein_coding	FT	RGC
