COUNT_ONE,CONTIG
291388,chr1
314625,chr2
259147,chr3
267881,chr4
230409,chr5
231697,chr6
203095,chr7
197920,chr8
154576,chr9
186120,chr10
187556,chr11
178076,chr12
142561,chr13
120993,chr14
108520,chr15
114000,chr16
102669,chr17
107692,chr18
80918,chr19
80522,chr20
54271,chr21
49581,chr22
103636,chrX
333,chrY
10,chrM
23,GL000008.2
8,GL000009.2
9,GL000194.1
20,GL000195.1
497,GL000205.2
113,GL000208.1
3,GL000214.1
306,GL000216.2
4,GL000218.1
47,GL000219.1
5,GL000220.1
22,GL000224.1
116,GL000225.1
1,KI270317.1
1,KI270320.1
3,KI270340.1
3,KI270411.1
2,KI270417.1
2,KI270422.1
20,KI270435.1
125,KI270438.1
361,KI270442.1
2,KI270448.1
2,KI270466.1
8,KI270467.1
1,KI270468.1
1,KI270507.1
1,KI270508.1
3,KI270509.1
15,KI270511.1
4,KI270512.1
10,KI270515.1
2,KI270516.1
8,KI270517.1
41,KI270519.1
1,KI270521.1
8,KI270522.1
1,KI270529.1
122,KI270538.1
8,KI270584.1
1,KI270587.1
23,KI270589.1
6,KI270590.1
5,KI270591.1
2,KI270708.1
5,KI270709.1
9,KI270712.1
14,KI270713.1
1,KI270714.1
6,KI270716.1
1,KI270717.1
1,KI270718.1
4,KI270719.1
1,KI270720.1
100,KI270722.1
11,KI270723.1
1,KI270724.1
15,KI270725.1
1,KI270727.1
5,KI270728.1
185,KI270729.1
45,KI270730.1
1,KI270731.1
20,KI270732.1
39,KI270733.1
21,KI270735.1
117,KI270736.1
1,KI270737.1
116,KI270738.1
1,KI270741.1
7,KI270742.1
1,KI270743.1
10,KI270744.1
38,KI270746.1
6,KI270747.1
9,KI270749.1
17,KI270750.1
10,KI270751.1
1,KI270753.1
43,KI270756.1
35,KI270757.1
