#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000428771.6	1040	248	0.38166	11.277341651916505	1	0.988662	coding
ENST00000304952.11	885	222	0.38166	11.114494514465331	1	0.972887	coding
ENST00000481869.1	1038	140	0.38619	11.386099815368652	1	0.574428	coding
ENST00000484667.2	667	190	0.40831	10.988652229309082	1	0.962297	coding
ENST00000360001.12	1933	363	0.49151	4.758412742614746	1	1	coding
ENST00000263741.12	2079	349	0.45797	4.988838005065917	1	1	coding
ENST00000494748.1	3516	131	0.33101	4.316375923156738	1	0.826597	coding
ENST00000478938.1	2591	176	0.39291000000000004	4.501557350158691	1	0.995845	coding
BambuTx3	2317	112	0.32883	8.931852912902833	1	0.192425	noncoding
ENST00000537107.6	2024	400	0.41057	6.094242668151854	1	1	coding
ENST00000520296.5	1632	88	0.32247000000000003	8.953901100158692	1	0.0768122	noncoding
ENST00000427211.3	1976	175	0.30805000000000005	5.284116554260252	1	0.944267	coding
ENST00000454272.2	1506	400	0.39974000000000004	6.094242668151854	1	1	coding
ENST00000610897.4	3145	341	0.33359	5.603949546813964	1	0.999995	coding
ENST00000378609.9	3163	341	0.32987	5.603949546813964	1	0.999994	coding
BambuTx5	2933	341	0.33943	5.603949546813964	1	0.999996	coding
ENST00000378567.8	2385	593	0.44007	5.48583812713623	1	1	coding
ENST00000484419.1	519	99	0.3293	7.668966865539551	1	0.132355	noncoding
ENST00000400921.6	2294	410	0.44778	4.64581470489502	1	1	coding
ENST00000461106.6	1916	489	0.40992	5.611907005310059	1	1	coding
ENST00000470596.5	788	98	0.40214000000000005	4.5361722946167	-1	0.0439661	noncoding
ENST00000481140.5	713	95	0.3147	4.435510444641113	-1	0.0550367	noncoding
ENST00000503672.1	1213	161	0.39612	9.56048412322998	1	0.892582	coding
ENST00000478770.6	1542	348	0.46016	5.13400478363037	1	1	coding
ENST00000505322.5	1859	458	0.48202999999999996	5.587920951843262	1	1	coding
ENST00000378295.9	5192	637	0.42058999999999996	6.47165355682373	1	1	coding
ENST00000354437.8	2140	500	0.44883999999999996	6.8308191299438485	1	1	coding
ENST00000346387.8	4854	541	0.40009	6.259246253967285	1	1	coding
ENST00000378288.8	5120	588	0.42058999999999996	7.970564842224121	1	1	coding
ENST00000603364.5	1551	351	0.45435000000000003	8.737029457092284	1	1	coding
ENST00000604194.1	1092	100	0.3739	9.390480995178223	1	0.219923	noncoding
ENST00000460696.1	3967	96	0.34160999999999997	5.096775245666502	1	0.28415	noncoding
ENST00000378161.5	4370	158	0.34380999999999995	9.117779731750488	1	0.682107	coding
ENST00000478423.6	4467	915	0.44217999999999996	8.417975425720218	1	1	coding
ENST00000378156.9	4955	1427	0.50048	8.402567481994634	1	1	coding
ENST00000489180.6	5548	912	0.40819999999999995	8.555937767028809	1	1	coding
ENST00000378169.7	4213	914	0.44671999999999995	8.417975425720218	1	1	coding
ENST00000468253.1	781	81	0.26552000000000003	9.359471702575682	-1	0.165671	noncoding
ENST00000470763.1	3156	171	0.27115	10.888855171203613	1	0.267897	noncoding
ENST00000622020.4	3004	912	0.46845000000000003	8.555937767028809	1	1	coding
ENST00000466897.1	1192	137	0.35545	8.709501457214355	1	0.543244	coding
ENST00000645284.1	3543	855	0.45919	6.469379997253417	1	1	coding
ENST00000636330.1	4731	1363	0.41362000000000004	6.169326972961425	1	1	coding
ENST00000461727.6	1339	289	0.43792	7.73211498260498	1	0.999987	coding
ENST00000633239.1	1494	211	0.46149999999999997	8.705439949035647	1	0.99888	coding
ENST00000434576.2	747	88	0.41392	7.951869010925293	1	0.212452	noncoding
ENST00000468561.2	661	107	0.29152999999999996	8.511390113830569	1	0.115616	noncoding
ENST00000377298.9	4760	982	0.43652	4.810420417785645	1	1	coding
