isoform_id	MEE	MEE_genomic_start	MEE_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000338863	1	35480312	35480374	ENSG00000007866	TEAD3	35474541,35476462,35476470,35476472,35477772,35478587,35479796,35481937,35483169,35484768,35484777,35484855,35485056,35488848,35490503,35493695,35493948
ENST00000510158	1	80411646	80411773	ENSG00000039319	ZFYVE16	80408630,80410081,80414507,80417338,80417388,80420537,80420761,80424606,80425710,80426411,80426749,80426751,80429713,80433129,80434616,80434816,80436383,80437097,80443420,80447798,80449100,80450470,80459859,80460263,80460265,80462505,80462858,80463355,80467275,80467717,80468014,80469677,80470923,80470925,80471126,80472157,80475744,80476512,80479392,80479602
ENST00000505560	1	80427492	80427545	ENSG00000039319	ZFYVE16	80408630,80410081,80414507,80417338,80417388,80420537,80420761,80424606,80425710,80426411,80426749,80426751,80429713,80433129,80434616,80434816,80436383,80437097,80443420,80447798,80449100,80450470,80459859,80460263,80460265,80462505,80462858,80463355,80467275,80467717,80468014,80469677,80470923,80470925,80471126,80472157,80475744,80476512,80479392,80479602
ENST00000490316	1	150714479	150714529	ENSG00000063601	MTMR1	150694498,150694925,150700882,150701338,150702373,150708266,150709229,150711570,150711713,150712802,150712977,150712979,150713240,150713979,150714458,150714892,150715215,150716602,150718039,150718041,150718043,150719118,150721645,150722192,150723320,150724374,150728236,150729259,150730184,150730237,150730239,150731429,150733763,150734623,150735401,150736874,150738478,150739186,150739611,150741863,150746364,150748840,150754180,150763185
ENST00000440486	1	1803692	1803836	ENSG00000068078	FGFR3	1796107,1796660,1798057,1798059,1808038,1808774
ENST00000340107	1	1802914	1803064	ENSG00000068078	FGFR3	1796107,1796660,1798057,1798059,1808038,1808774
ENST00000455322	1	121444939	121444962	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000541377	1	121445449	121445496	ENSG00000074054	CLASP1	121340152,121342941,121342943,121343453,121345697,121346605,121348140,121350597,121352234,121352340,121352342,121353785,121355121,121356073,121356681,121356683,121358398,121358589,121361832,121362793,121363573,121364197,121364227,121364881,121370702,121372533,121374746,121376825,121378783,121379635,121382645,121382647,121383274,121386475,121389436,121389500,121389502,121393911,121394493,121395475,121395940,121396541,121396951,121400142,121401899,121403542,121404029,121404329,121404820,121406390,121407826,121408010,121414119,121414641,121414764,121415605,121416796,121417533,121418462,121419632,121427504,121429306,121429388,121430346,121435592,121436831,121436956,121438131,121440343,121441819,121443941,121444090,121444833,121448019,121449475,121452191,121453161,121453448,121454621,121455568,121455950,121457312,121457314,121459104,121461229,121463707,121464311,121466628,121466840,121467587,121469148,121469332,121473629,121474993,121477598,121479217,121479296,121479298,121483988,121484463,121484503,121488458,121491548,121496307,121496543,121501736,121502346,121504483,121506607,121508219,121508805,121511456,121513690,121515180,121516470,121516897,121516899,121517050,121520015,121521521,121522008,121522895,121523122,121523965,121528517,121528625,121528627,121528982,121533574,121535147,121535428,121538280,121540111,121541339,121542052,121543823,121544533,121546016,121547486,121549200,121552562,121552882,121552884,121553106,121554950,121556814,121556897,121560339,121560709,121565313,121565433,121565764,121568072,121570548,121573788,121577274,121577808,121578290,121578596,121580758,121580791,121583324,121586674,121586812,121591221,121592184,121593877,121595336,121595338,121595498,121597799,121599456,121600241,121604894,121609050,121613575,121613608,121613919,121614142,121618085,121625281,121627003,121632498,121632712,121633177,121634622,121637754,121639912,121641598,121642843,121644826,121646341
ENST00000377122	1	20808510	20808659	ENSG00000078114	NEBL	20781463,20783022,20783098,20783313,20784976,20786705,20787251,20787310,20787520,20789721,20793698,20797292,20798602,20798604,20800215,20803366,20803998,20804130,20806420,20806684,20808315,20808420,20808815,20812369,20816853,20817159,20818991,20819045,20821463,20823271,20824318,20824648,20827733,20832256,20832258,20833598,20835076,20835263,20835271,20835670,20835819,20839298,20839889,20840289,20841200,20841837,20843400,20846160,20846306,20846730,20848627,20848629,20851653,20853656,20854709,20857162,20857164,20858311,20860520,20860832,20862592,20862957,20865196,20868091,20869146,20870779,20875245,20875766,20878729,20878731,20879322,20879905,20879907,20881379,20885871,20885903,20886061,20887563,20888422,20891586,20893074,20893121,20893123,20899932,20903559,20903781,20904100,20904667,20905362,20908094,20909391,20910392,20910535,20910616,20914931,20915721,20916551,20918002,20921738,20921760,20921780,20921808,20923212,20923783,20925191,20925201,20927084,20931667,20932871,20932960,20932962,20933043,20933045,20933057,20934514,20934671,20937316,20943131,20943550,20944510,20944564,20945497,20945667,20949023,20949212,20949342,20950513,20951299,20951872,20953075,20953302,20953861,20955463,20955477,20956016,20956901,20956903,20958904,20962089,20966220,20966245,20966615,20967820,20968857,20974924,20978627,20978884,20980533,20982290,20986228,20987720,20988935,20990457,20991859,20992443,20993226,20994951,20995251,20999467,21003283,21003483,21006662,21008179,21014394,21016776,21021457,21022478,21023838,21025842,21027084,21028459,21028654,21030838,21034924,21037337,21037339,21038185,21038241,21038321,21038323,21038453,21038677,21040396,21043518,21043520,21044525,21044758,21044833,21047077,21048157,21055535,21056562,21056788,21056886,21058698,21061425,21063188,21067938,21068362,21069210,21069363,21073081,21080330,21080999,21090886,21091229,21093848,21096612,21102335,21102768,21105231,21105652,21106499,21110809,21111435,21112282,21116062,21120233,21121803,21123176,21124829,21125211,21125219,21128935,21133011,21137360,21138233,21140839,21140841,21140919,21141167,21146216,21146306,21155901,21157144,21158839,21159663,21161020,21163307,21164332,21164334,21165456,21165852,21168115,21168681,21168683,21168685,21169462,21172067,21177935,21179178,21181225,21181694,21185832,21186581,21187144,21188552,21188573,21190353,21191265,21193871,21194119,21195693,21196934,21198745,21199640,21205859,21205992,21210705,21210955,21210957,21214202,21214472,21214499,21214509,21214517,21214542,21214579,21214604,21214614,21214641,21214649,21218701,21220444,21221024,21221211,21221928,21222907,21224072,21224284,21226047,21229948,21230349,21230351,21232227,21232587,21234391,21238022,21238578,21240298,21241641,21242384,21243064,21243335,21245339,21246702,21247720,21248412,21254638,21257609,21261839,21261933,21266552,21267690,21268040,21268132,21268622,21269994,21271266,21275074,21277595,21278136,21278138,21278140,21278180,21278929,21283004,21284292,21286473,21289342,21290224,21290426,21290897,21290913,21291374
ENST00000676125	1	20793333	20793376	ENSG00000078114	NEBL	20781463,20783022,20783098,20783313,20784976,20786705,20787251,20787310,20787520,20789721,20793698,20797292,20798602,20798604,20800215,20803366,20803998,20804130,20806420,20806684,20808315,20808420,20808815,20812369,20816853,20817159,20818991,20819045,20821463,20823271,20824318,20824648,20827733,20832256,20832258,20833598,20835076,20835263,20835271,20835670,20835819,20839298,20839889,20840289,20841200,20841837,20843400,20846160,20846306,20846730,20848627,20848629,20851653,20853656,20854709,20857162,20857164,20858311,20860520,20860832,20862592,20862957,20865196,20868091,20869146,20870779,20875245,20875766,20878729,20878731,20879322,20879905,20879907,20881379,20885871,20885903,20886061,20887563,20888422,20891586,20893074,20893121,20893123,20899932,20903559,20903781,20904100,20904667,20905362,20908094,20909391,20910392,20910535,20910616,20914931,20915721,20916551,20918002,20921738,20921760,20921780,20921808,20923212,20923783,20925191,20925201,20927084,20931667,20932871,20932960,20932962,20933043,20933045,20933057,20934514,20934671,20937316,20943131,20943550,20944510,20944564,20945497,20945667,20949023,20949212,20949342,20950513,20951299,20951872,20953075,20953302,20953861,20955463,20955477,20956016,20956901,20956903,20958904,20962089,20966220,20966245,20966615,20967820,20968857,20974924,20978627,20978884,20980533,20982290,20986228,20987720,20988935,20990457,20991859,20992443,20993226,20994951,20995251,20999467,21003283,21003483,21006662,21008179,21014394,21016776,21021457,21022478,21023838,21025842,21027084,21028459,21028654,21030838,21034924,21037337,21037339,21038185,21038241,21038321,21038323,21038453,21038677,21040396,21043518,21043520,21044525,21044758,21044833,21047077,21048157,21055535,21056562,21056788,21056886,21058698,21061425,21063188,21067938,21068362,21069210,21069363,21073081,21080330,21080999,21090886,21091229,21093848,21096612,21102335,21102768,21105231,21105652,21106499,21110809,21111435,21112282,21116062,21120233,21121803,21123176,21124829,21125211,21125219,21128935,21133011,21137360,21138233,21140839,21140841,21140919,21141167,21146216,21146306,21155901,21157144,21158839,21159663,21161020,21163307,21164332,21164334,21165456,21165852,21168115,21168681,21168683,21168685,21169462,21172067,21177935,21179178,21181225,21181694,21185832,21186581,21187144,21188552,21188573,21190353,21191265,21193871,21194119,21195693,21196934,21198745,21199640,21205859,21205992,21210705,21210955,21210957,21214202,21214472,21214499,21214509,21214517,21214542,21214579,21214604,21214614,21214641,21214649,21218701,21220444,21221024,21221211,21221928,21222907,21224072,21224284,21226047,21229948,21230349,21230351,21232227,21232587,21234391,21238022,21238578,21240298,21241641,21242384,21243064,21243335,21245339,21246702,21247720,21248412,21254638,21257609,21261839,21261933,21266552,21267690,21268040,21268132,21268622,21269994,21271266,21275074,21277595,21278136,21278138,21278140,21278180,21278929,21283004,21284292,21286473,21289342,21290224,21290426,21290897,21290913,21291374
