isoform_id	ATSS	ATSS_genomic_start	ATSS_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000686149	1	92240993;92242034;92244002;92244902;92245427;92245790	92241152;92242137;92244149;92245171;92245595;92246166	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000265577	1	8262206;8262440	8262273;8262612	ENSG00000003147	ICA1	8113186,8113924,8114764,8119345,8121514,8123076,8123186,8124744,8124746,8126103,8128709,8131855,8131928,8134140,8136980,8137995,8138990,8139094,8139435,8140698,8143229,8143376,8143434,8145628,8146548,8150876,8150935,8153116,8153829,8155667,8155669,8156002,8160143,8160145,8161650,8161652,8167165,8167389,8169181,8175494,8175496,8175555,8175596,8176230,8176232,8176584,8176789,8180610,8182979,8183746,8183748,8183996,8184344,8184692,8185357,8186741,8190666,8192423,8193214,8193268,8193270,8193272,8194864,8199823,8201115,8201921,8202233,8202930,8203231,8203233,8205074,8205482,8205514,8206842,8207301,8209034,8209905,8210258,8211745,8212089,8212811,8212813,8213870,8216424,8217840,8218008,8218653,8220760,8225655,8226457,8227724,8229687,8229689,8230648,8231557,8237554,8242282,8245102,8247531,8249624,8249749,8250974,8257758,8259944
ENST00000392973	1	90019311;90019728	90019456;90019890	ENSG00000003249	DBNDD1	90006619,90009716,90010190,90010865,90011007,90013445,90013940,90015393,90015558,90015560,90015707,90015709,90018800
ENST00000002501	1	90019728	90019890	ENSG00000003249	DBNDD1	90006619,90009716,90010190,90010865,90011007,90013445,90013940,90015393,90015558,90015560,90015707,90015709,90018800
ENST00000478079	1	105014164	105014222	ENSG00000005483	KMT2E	104943993,104946823,104946825,104948471,104948607,104955559,104956193,104959922,104961372,104965663,104969244,104973469,104977439,104980207,104983476,104983478,104985458,104992054,104993292,104993602,104993923,104994744,104996276,104999613,105002811,105003209,105004451,105015728,105019656,105019658,105023812,105042135,105046025,105054880,105055712,105056505,105056984,105058596,105059325,105060297,105061744,105062336,105064525,105065289,105066746,105068124,105069641,105070234,105074487,105083116,105084018,105084077,105085012,105086231,105088534,105089168,105090027,105093063,105094103,105095702,105098384,105100056,105105683,105106760,105109032,105109646
ENST00000402886	1	35496950	35497079	ENSG00000007866	TEAD3	35474541,35476462,35476470,35476472,35477772,35478587,35479796,35481937,35483169,35484768,35484777,35484855,35485056,35488848,35490503,35493695,35493948
ENST00000226328	1	70704801;70721964	70705294;70722011	ENSG00000018189	RUFY3	70705911,70706422,70709488,70710249,70710251,70710253,70710255,70710257,70713168,70716465,70719667,70724106,70725528,70730987,70732429,70732449,70734704,70736014,70737311,70737360,70741579,70741979,70745695,70746737,70753814,70756311,70757867,70757980,70757982,70760157,70762720,70762722,70763784,70764323,70766389,70769026,70769966,70771225,70777775,70778101,70778999,70780438,70782781,70783309,70784062,70785705,70788153,70794218,70797359,70798720,70804109,70804519,70804521,70805547,70805700,70808124
ENST00000607609	1	150149916;150150912	150150287;150151058	ENSG00000023902	PLEKHO1	150153332,150154627,150157991,150163418,150163430,150163462,150164296,150164488,150164660
ENST00000692977	1	42132446	42132478	ENSG00000028277	POU2F2	42090068,42093412,42096414,42096876,42098085,42102038,42104463,42106569,42106894,42107845,42111264,42115018,42115373,42116661,42120061,42124472,42125816,42128977,42130059,42130278,42131949,42133560,42133562,42133655,42141626,42142768,42142909,42143232,42144878,42147121,42153196,42155229,42155375,42156827,42159264,42159307,42160161,42160442,42162923,42165545,42165547,42167963,42169648,42169658,42170702,42170714,42170758,42171939,42172466,42172656,42174240,42174679,42174696,42174698,42175338,42178239,42179413,42179634,42180873,42181047,42181154,42181248,42181365,42181402,42183144,42183578,42183580,42184530,42184702,42193719,42193800,42193880,42194254
ENST00000374467	1	33580276	33580293	ENSG00000030110	BAK1	33573614,33575223,33575458,33578460
ENST00000437179	1	27484347	27484420	ENSG00000033867	SLC4A7	27373833,27377537,27383113,27388954,27399255,27408354,27413159,27414342,27414898,27416571,27416573,27418045,27418047,27418115,27419714,27423908,27424511,27425916,27426753,27429134,27430296,27430298,27431169,27432479,27432553,27432666,27443722,27443724,27447410,27447483,27449572,27452736,27452961,27454684,27462970,27468761,27468763,27468843,27471094,27471517,27475877,27476715,27481062
