ensembl_transcript_id	TXNAME	H9-FT_1	transcript_length
ENST00000000233	ENST00000000233.10	93.19064	1032
ENST00000000412	ENST00000000412.8	18.33073	2450
ENST00000001008	ENST00000001008.6	47.57663	3715
ENST00000001146	ENST00000001146.7	1.32831	4556
ENST00000002125	ENST00000002125.9	9.60656	2184
ENST00000002165	ENST00000002165.11	15.44434	2385
ENST00000002501	ENST00000002501.11	9.86945	2056
ENST00000002829	ENST00000002829.8	8.74771	3607
ENST00000003100	ENST00000003100.13	50.63032	3155
ENST00000003583	ENST00000003583.12	1.03414	2544
ENST00000004103	ENST00000004103.8	19.7967	1033
ENST00000004982	ENST00000004982.6	0.24151	1460
ENST00000005082	ENST00000005082.13	1.74319	2021
ENST00000005178	ENST00000005178.6	2.41511	3601
ENST00000005257	ENST00000005257.7	39.24128	2787
ENST00000005260	ENST00000005260.9	20.16545	3645
ENST00000005284	ENST00000005284.4	0.60378	1917
ENST00000005340	ENST00000005340.10	23.0472	2989
ENST00000005386	ENST00000005386.8	28.5973	4339
ENST00000005558	ENST00000005558.8	1.83801	1834
ENST00000005756	ENST00000005756.5	0.12076	2406
ENST00000006053	ENST00000006053.7	0.52578	3285
ENST00000006658	ENST00000006658.11	5.68064	2634
ENST00000006777	ENST00000006777.11	40.79605	1721
ENST00000007264	ENST00000007264.7	2.96189	2048
ENST00000007390	ENST00000007390.3	30.30966	1210
ENST00000007414	ENST00000007414.8	5.25014	3664
ENST00000007510	ENST00000007510.9	18.90044	4352
ENST00000007722	ENST00000007722.11	0.1476	3665
ENST00000007969	ENST00000007969.12	3.34296	1615
ENST00000008391	ENST00000008391.4	0.36227	2058
ENST00000008440	ENST00000008440.9	0.1565	1667
ENST00000008527	ENST00000008527.10	32.01211	2987
ENST00000009041	ENST00000009041.12	28.80554	1703
ENST00000009180	ENST00000009180.10	7.22226	1225
ENST00000009530	ENST00000009530.13	2.80648	1653
ENST00000010132	ENST00000010132.6	11.71051	1840
ENST00000010299	ENST00000010299.10	0.24731	1050
ENST00000011473	ENST00000011473.6	2.09327	2127
ENST00000011619	ENST00000011619.6	32.54963	3384
ENST00000011653	ENST00000011653.9	2.36679	3049
ENST00000011691	ENST00000011691.6	0.35352	2697
ENST00000011898	ENST00000011898.10	14.24287	4322
ENST00000012049	ENST00000012049.10	1.17759	2125
ENST00000012443	ENST00000012443.9	28.01493	2139
ENST00000013125	ENST00000013125.9	16.44542	4354
ENST00000013222	ENST00000013222.5	3.01889	2559
ENST00000013807	ENST00000013807.9	1.47005	1278
ENST00000014930	ENST00000014930.9	32.00353	1159
ENST00000014935	ENST00000014935.7	2.47982	2652
ENST00000017003	ENST00000017003.7	13.3735	3507
ENST00000019019	ENST00000019019.6	0.50045	1986
ENST00000019103	ENST00000019103.8	0.12076	1854
ENST00000019317	ENST00000019317.8	0.97818	4368
ENST00000020673	ENST00000020673.6	4.55724	3824
ENST00000020945	ENST00000020945.4	1.0868	2180
ENST00000022615	ENST00000022615.9	68.82849	1418
ENST00000023939	ENST00000023939.8	0.16727	1745
ENST00000026218	ENST00000026218.9	6.34162	2846
ENST00000029410	ENST00000029410.10	13.04822	1698
ENST00000034275	ENST00000034275.12	5.72803	1762
ENST00000035307	ENST00000035307.7	7.45208	3989
ENST00000037869	ENST00000037869.8	37.13784	1786
ENST00000038176	ENST00000038176.8	17.01999	3574
ENST00000039989	ENST00000039989.9	18.65163	4488
ENST00000040663	ENST00000040663.8	8.28022	3178
ENST00000042381	ENST00000042381.9	20.8012	4092
ENST00000043402	ENST00000043402.8	6.5208	1944
ENST00000044462	ENST00000044462.12	70.25803	4378
ENST00000045083	ENST00000045083.6	0.06038	4279
ENST00000046640	ENST00000046640.9	2.59498	4139
ENST00000052569	ENST00000052569.10	33.95736	4590
ENST00000053468	ENST00000053468.4	17.38881	2100
ENST00000053867	ENST00000053867.8	76.55907	2130
ENST00000054650	ENST00000054650.9	13.61921	1361
ENST00000054666	ENST00000054666.11	43.67177	2178
ENST00000054950	ENST00000054950.4	159.69837	2369
ENST00000055077	ENST00000055077.8	9.17518	1685
ENST00000055335	ENST00000055335.11	3.09139	3477
ENST00000056233	ENST00000056233.4	4.07562	3740
ENST00000057513	ENST00000057513.8	0.22238	2397
ENST00000064571	ENST00000064571.3	0.12076	3154
ENST00000064724	ENST00000064724.8	20.16619	2758
ENST00000064780	ENST00000064780.7	0.87945	3402
ENST00000072516	ENST00000072516.7	0.61242	4697
ENST00000072644	ENST00000072644.7	3.84506	1821
ENST00000072869	ENST00000072869.9	9.90196	2574
ENST00000075120	ENST00000075120.12	61.50981	3827
ENST00000075322	ENST00000075322.11	9.38892	3086
ENST00000075430	ENST00000075430.11	1.44907	3538
ENST00000078429	ENST00000078429.9	23.18054	4190
ENST00000080059	ENST00000080059.12	10.27982	4213
ENST00000081029	ENST00000081029.8	29.70405	1829
ENST00000082468	ENST00000082468.11	0.9672	3442
ENST00000084798	ENST00000084798.9	27.39586	1715
ENST00000085068	ENST00000085068.7	0.86047	1122
ENST00000085079	ENST00000085079.11	2.6918	2355
ENST00000085219	ENST00000085219.10	1.20756	3274
ENST00000155840	ENST00000155840.12	0.60378	3224
ENST00000155926	ENST00000155926.9	26.01534	4344
ENST00000158009	ENST00000158009.6	0.84529	1352
ENST00000158166	ENST00000158166.5	0.16788	2459
ENST00000158526	ENST00000158526.9	0.24455	1240
ENST00000158771	ENST00000158771.9	22.43739	4167
ENST00000159060	ENST00000159060.3	0.12076	1980
ENST00000159087	ENST00000159087.7	17.75108	4178
ENST00000160262	ENST00000160262.10	0.10496	1735
ENST00000160298	ENST00000160298.9	8.81108	4137
ENST00000160382	ENST00000160382.10	0.07526	1524
ENST00000160827	ENST00000160827.9	27.50542	2081
ENST00000162044	ENST00000162044.14	15.22592	2251
ENST00000162330	ENST00000162330.10	0.96605	4085
ENST00000162749	ENST00000162749.7	15.90778	2171
ENST00000163416	ENST00000163416.7	16.0605	2879
ENST00000163678	ENST00000163678.11	7.91191	1510
ENST00000164133	ENST00000164133.7	9.77972	2729
ENST00000164139	ENST00000164139.4	1.69576	2866
ENST00000164227	ENST00000164227.10	5.61439	1877
ENST00000164305	ENST00000164305.10	2.29704	1910
ENST00000164640	ENST00000164640.8	7.2148	3689
ENST00000165698	ENST00000165698.9	5.33593	3857
ENST00000166139	ENST00000166139.9	5.82453	2501
ENST00000166345	ENST00000166345.8	6.03778	2431
ENST00000166534	ENST00000166534.8	2.78614	2230
ENST00000167218	ENST00000167218.9	1.45419	1118
ENST00000167462	ENST00000167462.9	0.48775	3480
ENST00000168712	ENST00000168712.3	0.12076	3165
ENST00000168869	ENST00000168869.12	1.05523	2236
ENST00000168977	ENST00000168977.7	2.64512	1160
ENST00000169298	ENST00000169298.8	13.59538	4604
ENST00000169551	ENST00000169551.11	15.33597	3084
ENST00000170168	ENST00000170168.9	16.5474	4609
ENST00000170447	ENST00000170447.12	17.12753	2775
ENST00000170564	ENST00000170564.7	6.20674	3191
ENST00000170630	ENST00000170630.6	1.82843	3380
ENST00000171111	ENST00000171111.10	1.65076	2565
ENST00000172229	ENST00000172229.8	1.56982	3408
ENST00000173527	ENST00000173527.6	19.68317	1942
ENST00000173898	ENST00000173898.12	21.12192	4634
ENST00000174618	ENST00000174618.5	30.24447	4925
ENST00000175091	ENST00000175091.5	170.98998	1365
ENST00000175506	ENST00000175506.8	1.22774	2356
ENST00000175756	ENST00000175756.10	8.57416	3616
ENST00000176183	ENST00000176183.6	0.12076	1399
ENST00000176643	ENST00000176643.11	25.21454	3703
ENST00000177648	ENST00000177648.13	0.33587	4537
ENST00000177742	ENST00000177742.7	1.95269	1040
ENST00000178640	ENST00000178640.10	18.33117	2344
ENST00000181383	ENST00000181383.10	0.04025	1724
ENST00000181796	ENST00000181796.7	0.1903	3788
ENST00000182290	ENST00000182290.9	0.21686	1380
ENST00000183605	ENST00000183605.10	2.59625	3355
ENST00000185150	ENST00000185150.9	21.09808	2446
ENST00000187762	ENST00000187762.7	9.17743	2631
ENST00000188312	ENST00000188312.7	16.1779	1737
ENST00000188376	ENST00000188376.9	44.30252	1909
ENST00000188790	ENST00000188790.9	0.72453	2696
ENST00000190165	ENST00000190165.3	0.84529	2493
ENST00000191018	ENST00000191018.9	0.32866	1898
ENST00000191063	ENST00000191063.8	0.65868	1567
ENST00000193322	ENST00000193322.8	8.13192	4471
ENST00000193403	ENST00000193403.10	18.54587	3779
ENST00000194118	ENST00000194118.8	0.57388	2203
ENST00000194530	ENST00000194530.8	24.63415	2222
ENST00000195649	ENST00000195649.10	5.71513	4434
ENST00000196061	ENST00000196061.5	86.71797	2976
ENST00000196169	ENST00000196169.7	4.67009	3019
ENST00000196371	ENST00000196371.10	14.84647	3294
ENST00000196489	ENST00000196489.4	1.0868	2545
ENST00000197268	ENST00000197268.13	14.9737	4711
ENST00000198536	ENST00000198536.7	0.28967	1271
ENST00000198939	ENST00000198939.6	3.60517	4084
ENST00000199320	ENST00000199320.9	8.02774	2831
ENST00000199389	ENST00000199389.11	53.37399	4411
ENST00000199447	ENST00000199447.9	0.12076	2308
ENST00000199448	ENST00000199448.9	3.25174	2515
ENST00000199706	ENST00000199706.13	39.12876	1524
ENST00000199814	ENST00000199814.9	30.97583	2299
ENST00000199936	ENST00000199936.9	74.3131	1434
ENST00000200135	ENST00000200135.8	11.35103	2873
ENST00000200453	ENST00000200453.6	66.9091	2350
ENST00000200457	ENST00000200457.9	28.65144	1693
ENST00000200557	ENST00000200557.11	4.10569	4614
ENST00000200652	ENST00000200652.4	0.48302	2234
ENST00000201031	ENST00000201031.3	1.0868	2862
