isoform_id	ATSS	ATSS_genomic_start	ATSS_genomic_end	gene_id	gene_name	all_motif_starts
ENST00000367771	1	169893896;169894007	169893959;169894267	ENSG00000000457	SCYL3	169852705,169855079,169857701,169860324,169861813,169864091,169865333,169866476,169869715,169870067,169872428,169874595,169875394,169879245,169888504,169890092
ENST00000286031	1	169662007;169683469;169683756;169783811;169784877;169795037	169662523;169683625;169683932;169783928;169784913;169795213	ENSG00000000460	C1orf112	169662784,169668081,169668986,169670309,169673341,169673343,169673345,169673784,169674023,169674827,169675091,169675093,169675095,169675543,169676116,169680002,169680687,169682730,169690705,169692322,169698239,169698909,169699347,169702714,169702771,169703353,169704106,169704534,169707426,169707786,169707788,169712356,169715170,169716951,169718899,169719435,169720091,169720255,169721816,169723996,169724523,169724525,169727182,169729363,169729808,169730479,169731751,169732545,169734312,169734551,169737588,169737683,169741225,169742830,169744291,169745981,169746887,169750043,169755011,169755117,169755368,169758077,169765080,169766630,169770132,169772576,169773245,169776286,169777695,169777919,169778585,169778778,169784476,169786604,169788146,169788211,169790331,169791018,169791223,169794335,169797347,169804189,169805611,169806051,169806921,169807490,169808217,169808334,169813646,169814274,169815653,169819194,169823522,169825484,169826507,169827171,169830321,169833550,169839654,169839936,169846278,169849183,169852705
ENST00000337248	1	24413782	24416934	ENSG00000001460	STPG1	24359420,24362890,24366189,24366306,24366308,24369999,24370299,24372728,24373197,24375483,24375942,24376681,24378103,24380900,24381496,24383755,24383914,24385557,24386159,24392275,24392277,24393618,24401438,24405709,24406537,24406713,24408290,24408378,24408380,24408859,24412101,24412281
ENST00000003583	1	24413725	24416934	ENSG00000001460	STPG1	24359420,24362890,24366189,24366306,24366308,24369999,24370299,24372728,24373197,24375483,24375942,24376681,24378103,24380900,24381496,24383755,24383914,24385557,24386159,24392275,24392277,24393618,24401438,24405709,24406537,24406713,24408290,24408378,24408380,24408859,24412101,24412281
ENST00000374811	1	65534787	65534810	ENSG00000001497	LAS1L	65441098,65442484,65446369,65453424,65453986,65461394,65465443,65471350,65472632,65474307,65475543,65476966,65477288,65478673,65478675,65478811,65482497,65482529,65483353,65483844,65484064,65484608,65486734,65487193,65488733,65492481,65497228,65497827,65500572,65501177,65502136,65502234,65502375,65502680,65502951,65503507,65504079,65504177,65504941,65505353,65512804,65514830,65518001,65518776,65519783,65527404,65528487,65533596
ENST00000677834	1	65534754	65534810	ENSG00000001497	LAS1L	65441098,65442484,65446369,65453424,65453986,65461394,65465443,65471350,65472632,65474307,65475543,65476966,65477288,65478673,65478675,65478811,65482497,65482529,65483353,65483844,65484064,65484608,65486734,65487193,65488733,65492481,65497228,65497827,65500572,65501177,65502136,65502234,65502375,65502680,65502951,65503507,65504079,65504177,65504941,65505353,65512804,65514830,65518001,65518776,65519783,65527404,65528487,65533596
ENST00000374807	1	65534754	65534810	ENSG00000001497	LAS1L	65441098,65442484,65446369,65453424,65453986,65461394,65465443,65471350,65472632,65474307,65475543,65476966,65477288,65478673,65478675,65478811,65482497,65482529,65483353,65483844,65484064,65484608,65486734,65487193,65488733,65492481,65497228,65497827,65500572,65501177,65502136,65502234,65502375,65502680,65502951,65503507,65504079,65504177,65504941,65505353,65512804,65514830,65518001,65518776,65519783,65527404,65528487,65533596
ENST00000686149	1	92238734;92239760;92242034;92244002;92244902;92245427;92245790	92238843;92241152;92242137;92244149;92245171;92245676;92246166	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000394505	1	92245914	92246166	ENSG00000001631	KRIT1	92204635,92210480,92211743,92214588,92219099,92229056,92230653,92230655,92232992,92234080,92234452,92235625,92235842,92236592,92241140,92244004
ENST00000395891	1	43112645	43112647	ENSG00000002746	HECW1	43113395,43115178,43117636,43118005,43118314,43119097,43121040,43121435,43122861,43123055,43129894,43131928,43134262,43134650,43135649,43137985,43138922,43139427,43141644,43142395,43143115,43144369,43145222,43146743,43148420,43149551,43149826,43155083,43158356,43158489,43159090,43161542,43161966,43163344,43163346,43164201,43164338,43164772,43164823,43165864,43168152,43168829,43169053,43170177,43170494,43170651,43171602,43171604,43173257,43173582,43173982,43176682,43176684,43176746,43185891,43190878,43191413,43196566,43197619,43200390,43200392,43201385,43201651,43202755,43204258,43207191,43210400,43210611,43211875,43212210,43213169,43217411,43219618,43219620,43224235,43226657,43227926,43228550,43233365,43234112,43234685,43234857,43236139,43237503,43237696,43242104,43242542,43244150,43244846,43244960,43245006,43246721,43248870,43249626,43252498,43252548,43255687,43255833,43255835,43259255,43262658,43264328,43269750,43269752,43269898,43270420,43272358,43272869,43273022,43273024,43273026,43274242,43275364,43275366,43275368,43280944,43281892,43282173,43283532,43285369,43285682,43286293,43289431,43290390,43290733,43292730,43293963,43295672,43296884,43297112,43297406,43300983,43305659,43306797,43307714,43310952,43312226,43315638,43316903,43318108,43318110,43320105,43320113,43321420,43321586,43321688,43321943,43322738,43322826,43323109,43325325,43327794,43328195,43328472,43328639,43328988,43329005,43335167,43336607,43337536,43337598,43339398,43340851,43341075,43343508,43343732,43344716,43345672,43346474,43348809,43348955,43349548,43349700,43351713,43352302,43353175,43353661,43356221,43356978,43357478,43358198,43359712,43362459,43365426,43365971,43367631,43367975,43373171,43379139,43379141,43381476,43381478,43382811,43382893,43383248,43383742,43386486,43386609,43387536,43388230,43388827,43389382,43392739,43393838,43394412,43394794,43395153,43396059,43397413,43397415,43399555,43399557,43399949,43401625,43402365,43402416,43402781,43406086,43406088,43407947,43407949,43408076,43408078,43409934,43412919,43418533,43428268,43431622,43439097,43439599,43440129,43440329,43442468,43445428,43445715,43446728,43447576,43449896,43450016,43452288,43452334,43453018,43459682,43459881,43459883,43460798,43463395,43464235,43464855,43464946,43465271,43465759,43467485,43470360,43470509,43471665,43472882,43479306,43482405,43482407,43483131,43483537,43484577,43487214,43488178,43492810,43495186,43498133,43499337,43499729,43503344,43505536,43505728,43506800,43508339,43508447,43508601,43508603,43508605,43511451,43511759,43515938,43517460,43518892,43518911,43518913,43519226,43523832,43524256,43524691,43532370,43533273,43535674,43536503,43537976,43541619,43543287,43543873,43544195,43545194,43545526,43545647,43548380,43548812,43551478,43552782,43552993,43555821,43555994,43556556,43557256,43557776,43561170,43561402,43562076,43565304
