gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000130208	ENSG00000130208.10	4.307574186913692	5.324587838976862	319.0754078235383	1.3686748535331483e-8	2.5651704104918266e-4	APOC1	protein_coding	A_RO_D200	B_RO_D100
ENSG00000174788	ENSG00000174788.10	6.2837517639013205	3.9319936806211815	259.9071144659217	3.5011931548563263e-8	3.280968105415863e-4	PCP2	protein_coding	A_RO_D200	B_RO_D100
ENSG00000130203	ENSG00000130203.10	2.3658877080438683	7.841326830612571	203.89398093714777	1.0555179300461623e-7	3.3094773831321395e-4	APOE	protein_coding	A_RO_D200	B_RO_D100
ENSG00000139445	ENSG00000139445.18	-4.500812233510593	5.635230974574374	221.69725377936427	7.22196165261376e-8	3.3094773831321395e-4	FOXN4	protein_coding	A_RO_D200	B_RO_D100
ENSG00000169085	ENSG00000169085.14	-3.549151371299227	6.472612419483959	222.76222689095042	7.06650210418373e-8	3.3094773831321395e-4	VXN	protein_coding	A_RO_D200	B_RO_D100
ENSG00000182534	ENSG00000182534.14	1.9495469984697475	7.357460954406823	203.725052395636	1.0594848094543185e-7	3.3094773831321395e-4	MXRA7	protein_coding	A_RO_D200	B_RO_D100
ENSG00000107679	ENSG00000107679.15	-2.406811521398659	7.165154937864744	163.24548787836275	2.873425873301864e-7	4.4523155714270223e-4	PLEKHA1	protein_coding	A_RO_D200	B_RO_D100
ENSG00000109906	ENSG00000109906.15	-2.587701456091883	5.009225420321169	182.55128436418954	1.7389744228914547e-7	4.4523155714270223e-4	ZBTB16	protein_coding	A_RO_D200	B_RO_D100
ENSG00000111249	ENSG00000111249.14	-2.821665300561792	4.987719075002138	160.63874100090584	3.0882564522757067e-7	4.4523155714270223e-4	CUX2	protein_coding	A_RO_D200	B_RO_D100
ENSG00000118985	ENSG00000118985.16	-2.0874596338216347	5.728293286948348	166.26228231073932	2.6469685729140275e-7	4.4523155714270223e-4	ELL2	protein_coding	A_RO_D200	B_RO_D100
ENSG00000120500	ENSG00000120500.19	3.491247426131275	6.352503637002896	192.81077412800462	2.9323510781298554e-7	4.4523155714270223e-4	ARR3	protein_coding	A_RO_D200	B_RO_D100
ENSG00000170525	ENSG00000170525.21	-2.762034950222129	6.585886316820343	165.94891195788858	2.6694593338477293e-7	4.4523155714270223e-4	PFKFB3	protein_coding	A_RO_D200	B_RO_D100
ENSG00000184144	ENSG00000184144.12	-5.719158616840703	6.7894033426736105	234.07849244876252	2.0129767805347806e-7	4.4523155714270223e-4	CNTN2	protein_coding	A_RO_D200	B_RO_D100
ENSG00000137868	ENSG00000137868.19	-2.257269837624959	6.341470057297056	151.542574281052	4.007660301757466e-7	4.6944730859711515e-4	STRA6	protein_coding	A_RO_D200	B_RO_D100
ENSG00000170385	ENSG00000170385.10	1.9053393066192852	5.195565319140776	152.2256962070876	3.927991967641562e-7	4.6944730859711515e-4	SLC30A1	protein_coding	A_RO_D200	B_RO_D100
ENSG00000272398	ENSG00000272398.6	-2.707144580956347	7.638337135631372	155.88671630503597	3.5323095218801453e-7	4.6944730859711515e-4	CD24	protein_coding	A_RO_D200	B_RO_D100
ENSG00000221869	ENSG00000221869.5	2.599964926415798	4.708530424164373	148.22446612085992	4.423685684072586e-7	4.876983358287553e-4	CEBPD	protein_coding	A_RO_D200	B_RO_D100
ENSG00000134602	ENSG00000134602.16	-3.1961429245832265	4.777896012653286	145.30062652420042	4.834374122849703e-7	5.033657767247174e-4	STK26	protein_coding	A_RO_D200	B_RO_D100
ENSG00000079215	ENSG00000079215.15	2.321331960833196	5.511275351520053	140.84713655442104	5.55263208601009e-7	5.211011963915771e-4	SLC1A3	protein_coding	A_RO_D200	B_RO_D100
ENSG00000145920	ENSG00000145920.15	-2.983331841570374	5.277112564578723	140.8006595065819	5.560785363265148e-7	5.211011963915771e-4	CPLX2	protein_coding	A_RO_D200	B_RO_D100
ENSG00000149489	ENSG00000149489.9	4.641553822109805	6.83824812997144	205.71991443833275	6.440703543736144e-7	5.3514041274513e-4	ROM1	protein_coding	A_RO_D200	B_RO_D100
